Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.34,13.35,12.785,12.87,7540467.0,0.0,1.0,13.34,13.35,12.785,12.87,7540467.0
2018-03-26,13.15,13.34,13.09,13.29,5839125.0,0.0,1.0,13.15,13.34,13.09,13.29,5839125.0
2018-03-23,13.48,13.48,12.97,13.01,5115545.0,0.0,1.0,13.48,13.48,12.97,13.01,5115545.0
2018-03-22,13.83,13.85,13.47,13.48,7212415.0,0.0,1.0,13.83,13.85,13.47,13.48,7212415.0
2018-03-21,14.09,14.185,13.945,14.08,3520041.0,0.0,1.0,14.09,14.185,13.945,14.08,3520041.0
2018-03-20,14.13,14.2,14.03,14.05,3651957.0,0.0,1.0,14.13,14.2,14.03,14.05,3651957.0
2018-03-19,14.12,14.13,13.92,14.08,3306219.0,0.0,1.0,14.12,14.13,13.92,14.08,3306219.0
2018-03-16,14.19,14.315,14.11,14.11,14875943.0,0.0,1.0,14.19,14.315,14.11,14.11,14875943.0
2018-03-15,14.22,14.23,14.08,14.17,4004476.0,0.0,1.0,14.22,14.23,14.08,14.17,4004476.0
2018-03-14,14.4,14.445,14.13,14.16,3853057.0,0.0,1.0,14.4,14.445,14.13,14.16,3853057.0
2018-03-13,14.48,14.49,14.35,14.38,3213765.0,0.0,1.0,14.48,14.49,14.35,14.38,3213765.0
2018-03-12,14.45,14.53,14.4,14.46,5303285.0,0.0,1.0,14.45,14.53,14.4,14.46,5303285.0
2018-03-09,14.41,14.49,14.315,14.48,2685239.0,0.0,1.0,14.41,14.49,14.315,14.48,2685239.0
2018-03-08,14.45,14.465,14.2,14.28,2972481.0,0.0,1.0,14.45,14.465,14.2,14.28,2972481.0
2018-03-07,14.23,14.44,14.23,14.42,3444078.0,0.0,1.0,14.23,14.44,14.23,14.42,3444078.0
2018-03-06,14.3,14.39,14.12,14.36,4395354.0,0.0,1.0,14.3,14.39,14.12,14.36,4395354.0
2018-03-05,14.05,14.345,13.9,14.24,6313132.0,0.0,1.0,14.05,14.345,13.9,14.24,6313132.0
2018-03-02,13.72,14.16,13.575,14.15,4768582.0,0.0,1.0,13.72,14.16,13.575,14.15,4768582.0
2018-03-01,13.58,13.91,13.53,13.79,4420762.0,0.0,1.0,13.58,13.91,13.53,13.79,4420762.0
2018-02-28,14.07,14.135,13.57,13.62,13131981.0,0.0,1.0,14.07,14.135,13.57,13.62,13131981.0
2018-02-27,14.1,14.15,13.96,14.01,5984144.0,0.0,1.0,14.1,14.15,13.96,14.01,5984144.0
2018-02-26,14.08,14.1,13.9,14.07,4098401.0,0.0,1.0,14.08,14.1,13.9,14.07,4098401.0
2018-02-23,13.95,14.07,13.91,14.07,2840757.0,0.0,1.0,13.95,14.07,13.91,14.07,2840757.0
2018-02-22,14.15,14.19,13.87,13.91,3228615.0,0.0,1.0,14.15,14.19,13.87,13.91,3228615.0
2018-02-21,14.09,14.23,14.04,14.12,3904104.0,0.0,1.0,14.09,14.23,14.04,14.12,3904104.0
2018-02-20,14.12,14.22,14.03,14.09,4482955.0,0.0,1.0,14.12,14.22,14.03,14.09,4482955.0
2018-02-16,14.01,14.225,13.94,14.17,4856145.0,0.0,1.0,14.01,14.225,13.94,14.17,4856145.0
2018-02-15,13.9,14.03,13.85,14.03,3958327.0,0.0,1.0,13.9,14.03,13.85,14.03,3958327.0
2018-02-14,13.5,13.87,13.46,13.85,5496896.0,0.0,1.0,13.5,13.87,13.46,13.85,5496896.0
2018-02-13,13.4,13.54,13.33,13.54,3965308.0,0.0,1.0,13.4,13.54,13.33,13.54,3965308.0
2018-02-12,13.55,13.59,13.32,13.44,6024375.0,0.0,1.0,13.55,13.59,13.32,13.44,6024375.0
2018-02-09,13.44,13.66,13.275,13.59,6537384.0,0.0,1.0,13.44,13.66,13.275,13.59,6537384.0
2018-02-08,13.7,13.7,13.25,13.25,4516982.0,0.0,1.0,13.7,13.7,13.25,13.25,4516982.0
2018-02-07,13.61,13.79,13.5,13.64,4998258.0,0.0,1.0,13.61,13.79,13.5,13.64,4998258.0
2018-02-06,13.24,13.62,13.175,13.61,6237669.0,0.0,1.0,13.24,13.62,13.175,13.61,6237669.0
2018-02-05,13.81,13.96,13.45,13.52,5627521.0,0.0,1.0,13.81,13.96,13.45,13.52,5627521.0
2018-02-02,14.18,14.21,13.89,13.92,5361955.0,0.0,1.0,14.18,14.21,13.89,13.92,5361955.0
2018-02-01,14.16,14.2,13.81,14.2,5185136.0,0.0,1.0,14.16,14.2,13.81,14.2,5185136.0
2018-01-31,14.1,14.41,14.1,14.16,8163620.0,0.0,1.0,14.1,14.41,14.1,14.16,8163620.0
2018-01-30,14.01,14.14,13.94,13.94,6060015.0,0.0,1.0,14.01,14.14,13.94,13.94,6060015.0
2018-01-29,13.98,14.21,13.96,14.1,5973374.0,0.0,1.0,13.98,14.21,13.96,14.1,5973374.0
2018-01-26,13.93,14.01,13.85,14.0,4164966.0,0.0,1.0,13.93,14.01,13.85,14.0,4164966.0
2018-01-25,13.92,13.955,13.75,13.95,3903470.0,0.0,1.0,13.92,13.955,13.75,13.95,3903470.0
2018-01-24,13.94,13.98,13.81,13.88,2797627.0,0.0,1.0,13.94,13.98,13.81,13.88,2797627.0
2018-01-23,13.91,13.99,13.8587,13.91,3324886.0,0.0,1.0,13.91,13.99,13.8587,13.91,3324886.0
2018-01-22,13.92,14.0,13.8,13.98,3407559.0,0.0,1.0,13.92,14.0,13.8,13.98,3407559.0
