Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,19.63,19.63,18.65,18.77,731145.0,0.0,1.0,19.63,19.63,18.65,18.77,731145.0
2018-03-26,19.49,19.62,18.96,19.58,978758.0,0.0,1.0,19.49,19.62,18.96,19.58,978758.0
2018-03-23,19.38,19.79,19.12,19.33,1199795.0,0.0,1.0,19.38,19.79,19.12,19.33,1199795.0
2018-03-22,19.74,19.93,19.17,19.17,1208632.0,0.0,1.0,19.74,19.93,19.17,19.17,1208632.0
2018-03-21,19.16,20.26,18.96,20.12,1031671.0,0.0,1.0,19.16,20.26,18.96,20.12,1031671.0
2018-03-20,18.85,19.2,18.81,19.01,1025952.0,0.0,1.0,18.85,19.2,18.81,19.01,1025952.0
2018-03-19,19.12,19.165,18.42,18.77,1340184.0,0.0,1.0,19.12,19.165,18.42,18.77,1340184.0
2018-03-16,18.28,19.37,18.25,19.26,2500460.0,0.0,1.0,18.28,19.37,18.25,19.26,2500460.0
2018-03-15,19.2,19.2,17.93,18.24,1788081.0,0.0,1.0,19.2,19.2,17.93,18.24,1788081.0
2018-03-14,19.3,19.5699,18.94,19.14,1855532.0,0.0,1.0,19.3,19.5699,18.94,19.14,1855532.0
2018-03-13,19.26,19.29,18.6,18.82,1337820.0,0.0,1.0,19.26,19.29,18.6,18.82,1337820.0
2018-03-12,19.01,19.3,18.75,19.22,928909.0,0.0,1.0,19.01,19.3,18.75,19.22,928909.0
2018-03-09,18.84,19.52,18.84,19.1,1109449.0,0.0,1.0,18.84,19.52,18.84,19.1,1109449.0
2018-03-08,18.33,18.83,18.33,18.78,1002597.0,0.0,1.0,18.33,18.83,18.33,18.78,1002597.0
2018-03-07,18.53,19.01,18.01,18.33,1313612.0,0.0,1.0,18.53,19.01,18.01,18.33,1313612.0
2018-03-06,18.9,19.35,18.58,18.78,1489463.0,0.0,1.0,18.9,19.35,18.58,18.78,1489463.0
2018-03-05,17.94,18.9,17.82,18.82,1353538.0,0.0,1.0,17.94,18.9,17.82,18.82,1353538.0
2018-03-02,17.73,18.21,17.43,18.16,1199417.0,0.0,1.0,17.73,18.21,17.43,18.16,1199417.0
2018-03-01,18.27,18.55,17.93,18.0,1264188.0,0.0,1.0,18.27,18.55,17.93,18.0,1264188.0
2018-02-28,18.81,19.02,18.325,18.38,1834440.0,0.0,1.0,18.81,19.02,18.325,18.38,1834440.0
2018-02-27,19.16,19.75,18.7,18.71,1598481.0,0.0,1.0,19.16,19.75,18.7,18.71,1598481.0
2018-02-26,19.9,19.9,18.66,19.3,2912068.0,0.0,1.0,19.9,19.9,18.66,19.3,2912068.0
2018-02-23,19.24,20.28,18.13,19.92,3054001.0,0.0,1.0,19.24,20.28,18.13,19.92,3054001.0
2018-02-22,18.99,19.475,18.66,19.0,1129505.0,0.0,1.0,18.99,19.475,18.66,19.0,1129505.0
2018-02-21,18.74,19.46,18.6,18.71,1528661.0,0.0,1.0,18.74,19.46,18.6,18.71,1528661.0
2018-02-20,18.45,19.17,18.45,18.8,1221759.0,0.0,1.0,18.45,19.17,18.45,18.8,1221759.0
2018-02-16,17.83,18.66,17.8,18.45,1478659.0,0.0,1.0,17.83,18.66,17.8,18.45,1478659.0
2018-02-15,18.4,18.4,17.59,17.87,1414653.0,0.0,1.0,18.4,18.4,17.59,17.87,1414653.0
2018-02-14,17.65,18.63,17.65,18.25,1588610.0,0.0,1.0,17.65,18.63,17.65,18.25,1588610.0
