Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,31.21,31.24,29.78,29.96,1601216.0,0.0,1.0,31.21,31.24,29.78,29.96,1601216.0
2018-03-26,30.69,31.19,30.46,31.13,2513937.0,0.0,1.0,30.69,31.19,30.46,31.13,2513937.0
2018-03-23,31.1,31.1,30.18,30.35,2826822.0,0.0,1.0,31.1,31.1,30.18,30.35,2826822.0
2018-03-22,30.37,31.01,30.21,30.6,2994909.0,0.0,1.0,30.37,31.01,30.21,30.6,2994909.0
2018-03-21,29.88,31.235,29.66,30.78,3207961.0,0.0,1.0,29.88,31.235,29.66,30.78,3207961.0
2018-03-20,30.08,30.46,29.72,29.78,2873556.0,0.0,1.0,30.08,30.46,29.72,29.78,2873556.0
2018-03-19,31.02,31.08,29.91,30.04,3787621.0,0.0,1.0,31.02,31.08,29.91,30.04,3787621.0
2018-03-16,31.39,31.68,30.92,31.14,3685216.0,0.0,1.0,31.39,31.68,30.92,31.14,3685216.0
2018-03-15,31.63,31.72,31.28,31.3,3396114.0,0.0,1.0,31.63,31.72,31.28,31.3,3396114.0
2018-03-14,32.89,32.95,31.38,31.54,4211704.0,0.0,1.0,32.89,32.95,31.38,31.54,4211704.0
2018-03-13,33.33,33.51,32.7,32.78,1211778.0,0.0,1.0,33.33,33.51,32.7,32.78,1211778.0
2018-03-12,33.08,33.58,32.99,33.14,1077005.0,0.0,1.0,33.08,33.58,32.99,33.14,1077005.0
2018-03-09,32.95,33.3,32.802,33.01,1280808.0,0.0,1.0,32.95,33.3,32.802,33.01,1280808.0
2018-03-08,32.84,33.01,32.09,32.43,748319.0,0.0,1.0,32.84,33.01,32.09,32.43,748319.0
2018-03-07,32.71,33.15,32.53,32.85,1411915.0,0.0,1.0,32.71,33.15,32.53,32.85,1411915.0
2018-03-06,32.44,33.1,32.44,32.96,2613304.0,0.0,1.0,32.44,33.1,32.44,32.96,2613304.0
2018-03-05,31.09,32.435,31.09,32.21,1763835.0,0.0,1.0,31.09,32.435,31.09,32.21,1763835.0
2018-03-02,31.32,31.48,30.66,31.32,2442059.0,0.0,1.0,31.32,31.48,30.66,31.32,2442059.0
2018-03-01,32.58,33.03,31.66,31.68,2238543.0,0.0,1.0,32.58,33.03,31.66,31.68,2238543.0
2018-02-28,32.31,32.8,32.2,32.5,4111055.0,0.0,1.0,32.31,32.8,32.2,32.5,4111055.0
2018-02-27,33.01,33.16,31.94,32.11,1699885.0,0.0,1.0,33.01,33.16,31.94,32.11,1699885.0
2018-02-26,33.18,33.21,32.35,33.11,1425392.0,0.0,1.0,33.18,33.21,32.35,33.11,1425392.0
2018-02-23,33.31,33.57,32.96,33.2,918638.0,0.0,1.0,33.31,33.57,32.96,33.2,918638.0
2018-02-22,33.28,33.78,33.07,33.15,843671.0,0.0,1.0,33.28,33.78,33.07,33.15,843671.0
2018-02-21,33.06,33.83,33.06,33.22,1443957.0,0.0,1.0,33.06,33.83,33.06,33.22,1443957.0
2018-02-20,32.7,33.57,32.5,33.05,1850652.0,0.0,1.0,32.7,33.57,32.5,33.05,1850652.0
2018-02-16,32.98,33.31,32.57,32.67,1575874.0,0.0,1.0,32.98,33.31,32.57,32.67,1575874.0
2018-02-15,33.51,33.6,32.4,33.23,2304347.0,0.0,1.0,33.51,33.6,32.4,33.23,2304347.0
2018-02-14,31.93,32.85,31.83,32.72,1584491.0,0.0,1.0,31.93,32.85,31.83,32.72,1584491.0
2018-02-13,31.32,32.48,31.14,32.27,2604406.0,0.0,1.0,31.32,32.48,31.14,32.27,2604406.0
2018-02-12,30.81,31.6,30.6,31.32,4755595.0,0.0,1.0,30.81,31.6,30.6,31.32,4755595.0
2018-02-09,31.08,31.229,29.57,30.55,5850953.0,0.0,1.0,31.08,31.229,29.57,30.55,5850953.0
2018-02-08,32.89,33.35,30.77,30.97,5467637.0,0.0,1.0,32.89,33.35,30.77,30.97,5467637.0
2018-02-07,35.24,35.9,33.15,33.25,5164405.0,0.0,1.0,35.24,35.9,33.15,33.25,5164405.0
2018-02-06,34.87,35.95,34.5,35.95,4448903.0,0.0,1.0,34.87,35.95,34.5,35.95,4448903.0
2018-02-05,35.86,36.56,34.75,35.4,3477172.0,0.0,1.0,35.86,36.56,34.75,35.4,3477172.0
2018-02-02,36.77,37.04,36.03,36.06,2511111.0,0.0,1.0,36.77,37.04,36.03,36.06,2511111.0
2018-02-01,37.06,37.73,36.73,36.95,1170999.0,0.0,1.0,37.06,37.73,36.73,36.95,1170999.0
2018-01-31,37.25,38.13,36.9,37.28,1903533.0,0.0,1.0,37.25,38.13,36.9,37.28,1903533.0
2018-01-30,37.27,37.62,36.88,36.89,1020474.0,0.0,1.0,37.27,37.62,36.88,36.89,1020474.0
2018-01-29,37.66,37.9,37.25,37.66,2563838.0,0.0,1.0,37.66,37.9,37.25,37.66,2563838.0
2018-01-26,38.07,38.4,37.49,37.69,1620317.0,0.0,1.0,38.07,38.4,37.49,37.69,1620317.0
2018-01-25,37.69,38.75,37.69,38.07,1339686.0,0.0,1.0,37.69,38.75,37.69,38.07,1339686.0
2018-01-24,36.94,38.56,36.75,37.39,2000694.0,0.0,1.0,36.94,38.56,36.75,37.39,2000694.0
2018-01-23,36.91,36.91,36.12,36.37,1726999.0,0.0,1.0,36.91,36.91,36.12,36.37,1726999.0
2018-01-22,36.7,37.25,36.68,36.94,1311232.0,0.0,1.0,36.7,37.25,36.68,36.94,1311232.0
2018-01-19,36.82,37.06,36.19,36.88,1293196.0,0.0,1.0,36.82,37.06,36.19,36.88,1293196.0
2018-01-18,36.5,36.92,36.14,36.64,2027151.0,0.0,1.0,36.5,36.92,36.14,36.64,2027151.0
2018-01-17,37.98,38.29,36.04,36.5,3157008.0,0.0,1.0,37.98,38.29,36.04,36.5,3157008.0
2018-01-16,38.18,38.34,37.29,37.75,1565813.0,0.0,1.0,38.18,38.34,37.29,37.75,1565813.0
2018-01-12,38.07,38.13,37.47,38.07,1445375.0,0.0,1.0,38.07,38.13,37.47,38.07,1445375.0
2018-01-11,37.49,38.16,37.33,37.95,1783892.0,0.0,1.0,37.49,38.16,37.33,37.95,1783892.0
2018-01-10,37.66,37.67,36.72,37.31,2272420.0,0.0,1.0,37.66,37.67,36.72,37.31,2272420.0
2018-01-09,38.57,38.61,37.66,37.75,2469188.0,0.0,1.0,38.57,38.61,37.66,37.75,2469188.0
2018-01-08,38.7,38.8422,38.26,38.3,2111444.0,0.0,1.0,38.7,38.8422,38.26,38.3,2111444.0
2018-01-05,37.95,38.8,37.78,38.6,1616217.0,0.0,1.0,37.95,38.8,37.78,38.6,1616217.0
2018-01-04,37.74,38.08,37.62,37.73,1576024.0,0.0,1.0,37.74,38.08,37.62,37.73,1576024.0
2018-01-03,37.02,37.62,36.62,37.41,1934425.0,0.0,1.0,37.02,37.62,36.62,37.41,1934425.0
2018-01-02,35.7,36.75,35.535,36.62,1617397.0,0.0,1.0,35.7,36.75,35.535,36.62,1617397.0
2017-12-29,35.8,35.885,35.35,35.58,1353386.0,0.0,1.0,35.8,35.885,35.35,35.58,1353386.0
2017-12-28,35.33,35.62,34.93,35.62,834674.0,0.0,1.0,35.33,35.62,34.93,35.62,834674.0
2017-12-27,35.07,35.385,34.91,35.22,962033.0,0.0,1.0,35.07,35.385,34.91,35.22,962033.0
2017-12-26,34.26,34.98,34.12,34.95,838586.0,0.0,1.0,34.26,34.98,34.12,34.95,838586.0
