Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,49.74,49.74,48.2,48.52,1149117.0,0.0,1.0,49.74,49.74,48.2,48.52,1149117.0
2018-03-26,48.84,49.695,48.52,49.55,824834.0,0.0,1.0,48.84,49.695,48.52,49.55,824834.0
2018-03-23,49.79,50.16,48.1,48.17,855112.0,0.0,1.0,49.79,50.16,48.1,48.17,855112.0
2018-03-22,51.18,51.27,49.44,49.52,720822.0,0.0,1.0,51.18,51.27,49.44,49.52,720822.0
2018-03-21,51.75,52.17,51.26,51.68,651978.0,0.0,1.0,51.75,52.17,51.26,51.68,651978.0
2018-03-20,52.26,52.545,51.7,51.81,715073.0,0.0,1.0,52.26,52.545,51.7,51.81,715073.0
2018-03-19,52.73,52.85,51.71,52.27,927087.0,0.0,1.0,52.73,52.85,51.71,52.27,927087.0
2018-03-16,52.65,53.39,52.56,52.96,3148124.0,0.0,1.0,52.65,53.39,52.56,52.96,3148124.0
2018-03-15,52.17,52.5,51.74,52.32,657373.0,0.0,1.0,52.17,52.5,51.74,52.32,657373.0
2018-03-14,53.27,53.27,51.89,52.16,726541.0,0.0,1.0,53.27,53.27,51.89,52.16,726541.0
2018-03-13,53.72,53.76,52.4,52.91,1403886.0,0.0,1.0,53.72,53.76,52.4,52.91,1403886.0
2018-03-12,54.31,54.31,53.17,53.39,875109.0,0.0,1.0,54.31,54.31,53.17,53.39,875109.0
2018-03-09,54.22,54.41,53.78,54.12,944957.0,0.0,1.0,54.22,54.41,53.78,54.12,944957.0
2018-03-08,54.48,54.55,53.22,53.62,382011.0,0.0,1.0,54.48,54.55,53.22,53.62,382011.0
2018-03-07,53.22,54.54,53.22,54.26,840592.0,0.0,1.0,53.22,54.54,53.22,54.26,840592.0
2018-03-06,53.48,54.37,52.56,53.96,900613.0,0.0,1.0,53.48,54.37,52.56,53.96,900613.0
2018-03-05,52.46,53.48,52.0,53.17,1022302.0,0.0,1.0,52.46,53.48,52.0,53.17,1022302.0
2018-03-02,51.73,53.12,51.45,52.93,599542.0,0.0,1.0,51.73,53.12,51.45,52.93,599542.0
2018-03-01,52.14,52.88,51.8,52.12,741205.0,0.0,1.0,52.14,52.88,51.8,52.12,741205.0
2018-02-28,53.31,53.718999999999994,52.12,52.14,555917.0,0.0,1.0,53.31,53.718999999999994,52.12,52.14,555917.0
2018-02-27,53.84,54.69,51.55,53.05,801302.0,0.0,1.0,53.84,54.69,51.55,53.05,801302.0
2018-02-26,53.96,54.0,53.19,53.73,459611.0,0.0,1.0,53.96,54.0,53.19,53.73,459611.0
2018-02-23,53.02,53.8,52.9,53.78,399688.0,0.0,1.0,53.02,53.8,52.9,53.78,399688.0
2018-02-22,54.01,54.09,52.65,52.74,612230.0,0.0,1.0,54.01,54.09,52.65,52.74,612230.0
