Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,12.91,13.09,12.83,12.96,1861267.0,0.0,1.0,12.91,13.09,12.83,12.96,1861267.0
2018-03-06,12.83,13.085,12.39,13.04,3503538.0,0.0,1.0,12.83,13.085,12.39,13.04,3503538.0
2018-03-05,12.74,12.855,12.55,12.83,2576309.0,0.0,1.0,12.74,12.855,12.55,12.83,2576309.0
2018-03-02,12.39,12.86,12.28,12.82,1558145.0,0.0,1.0,12.39,12.86,12.28,12.82,1558145.0
2018-03-01,12.43,12.59,12.25,12.48,1334476.0,0.0,1.0,12.43,12.59,12.25,12.48,1334476.0
2017-04-25,13.38,13.51,13.355,13.41,1749450.0,0.0,1.0,13.38,13.51,13.355,13.41,1749450.0
2017-04-24,13.3,13.41,13.26,13.32,2050278.0,0.0,1.0,13.3,13.41,13.26,13.32,2050278.0
2017-04-21,13.19,13.19,13.0,13.11,1109229.0,0.0,1.0,13.19,13.19,13.0,13.11,1109229.0
2017-04-20,13.16,13.25,13.01,13.17,967288.0,0.0,1.0,13.16,13.25,13.01,13.17,967288.0
2017-04-19,13.19,13.2452,13.06,13.07,2140225.0,0.0,1.0,13.19,13.2452,13.06,13.07,2140225.0
2017-04-18,13.06,13.18,13.0,13.11,1469829.0,0.0,1.0,13.06,13.18,13.0,13.11,1469829.0
2017-04-17,12.93,13.1,12.91,13.1,1057656.0,0.0,1.0,12.93,13.1,12.91,13.1,1057656.0
2017-04-13,12.89,12.95,12.76,12.91,2023040.0,0.0,1.0,12.89,12.95,12.76,12.91,2023040.0
2017-04-12,13.11,13.16,12.9,12.91,1784680.0,0.0,1.0,13.11,13.16,12.9,12.91,1784680.0
2017-04-11,13.09,13.18,12.99,13.14,1389658.0,0.0,1.0,13.09,13.18,12.99,13.14,1389658.0
2017-04-10,12.99,13.27,12.96,13.14,1852083.0,0.0,1.0,12.99,13.27,12.96,13.14,1852083.0
2017-04-07,13.01,13.015,12.845,12.99,1479620.0,0.0,1.0,13.01,13.015,12.845,12.99,1479620.0
2017-04-06,12.96,13.18,12.86,13.09,2044951.0,0.0,1.0,12.96,13.18,12.86,13.09,2044951.0
2017-04-05,12.96,13.22,12.925,12.99,3441835.0,0.0,1.0,12.96,13.22,12.925,12.99,3441835.0
2017-04-04,12.82,12.94,12.77,12.93,2560600.0,0.0,1.0,12.82,12.94,12.77,12.93,2560600.0
2017-04-03,13.12,13.1492,12.7,12.84,3104479.0,0.0,1.0,13.12,13.1492,12.7,12.84,3104479.0
2017-03-31,13.0,13.2,12.98,13.11,2515518.0,0.0,1.0,13.0,13.2,12.98,13.11,2515518.0
2017-03-30,12.83,13.03,12.76,13.0,1594864.0,0.0,1.0,12.83,13.03,12.76,13.0,1594864.0
2017-03-29,12.63,12.87,12.555,12.85,2029059.0,0.0,1.0,12.63,12.87,12.555,12.85,2029059.0
2017-03-28,12.55,12.78,12.435,12.63,1832480.0,0.0,1.0,12.55,12.78,12.435,12.63,1832480.0
2017-03-27,12.39,12.6,12.31,12.51,1756858.0,0.0,1.0,12.39,12.6,12.31,12.51,1756858.0
2017-03-24,12.62,12.67,12.45,12.54,1117043.0,0.0,1.0,12.62,12.67,12.45,12.54,1117043.0
2017-03-23,12.51,12.795,12.49,12.57,2245813.0,0.0,1.0,12.51,12.795,12.49,12.57,2245813.0
2017-03-22,12.61,12.61,12.35,12.49,2032768.0,0.0,1.0,12.61,12.61,12.35,12.49,2032768.0
2017-03-21,12.85,12.87,12.505,12.61,2388656.0,0.0,1.0,12.85,12.87,12.505,12.61,2388656.0
2017-03-20,12.88,13.02,12.7,12.78,3336123.0,0.0,1.0,12.88,13.02,12.7,12.78,3336123.0
2017-03-17,13.41,13.45,12.84,12.84,14273229.0,0.0,1.0,13.41,13.45,12.84,12.84,14273229.0
2017-03-16,13.4,13.48,13.225,13.44,2420346.0,0.0,1.0,13.4,13.48,13.225,13.44,2420346.0
2017-03-15,13.25,13.38,13.15,13.37,2840031.0,0.0,1.0,13.25,13.38,13.15,13.37,2840031.0
2017-03-14,13.39,13.41,13.15,13.24,2532784.0,0.0,1.0,13.39,13.41,13.15,13.24,2532784.0
2017-03-13,13.28,13.495,13.28,13.46,2046124.0,0.0,1.0,13.28,13.495,13.28,13.46,2046124.0
2017-03-10,13.34,13.44,13.28,13.29,1662041.0,0.0,1.0,13.34,13.44,13.28,13.29,1662041.0
2017-03-09,13.25,13.39,13.2,13.29,2638539.0,0.0,1.0,13.25,13.39,13.2,13.29,2638539.0
2017-03-08,13.35,13.4,13.09,13.27,2529111.0,0.0,1.0,13.35,13.4,13.09,13.27,2529111.0
2017-03-07,13.44,13.51,13.22,13.25,2755438.0,0.0,1.0,13.44,13.51,13.22,13.25,2755438.0
2017-03-06,13.5,13.57,13.41,13.49,3043980.0,0.0,1.0,13.5,13.57,13.41,13.49,3043980.0
2017-03-03,13.41,13.59,13.37,13.57,4299001.0,0.0,1.0,13.41,13.59,13.37,13.57,4299001.0
2017-03-02,13.71,13.77,13.34,13.37,6193562.0,0.0,1.0,13.71,13.77,13.34,13.37,6193562.0
2017-03-01,13.79,14.08,13.73,13.8,7377856.0,0.0,1.0,13.79,14.08,13.73,13.8,7377856.0
2017-02-28,14.0,14.03,13.64,13.64,55136576.0,0.0,1.0,14.0,14.03,13.64,13.64,55136576.0
2017-02-27,14.01,14.215,13.98,13.99,4229356.0,0.0,1.0,14.01,14.215,13.98,13.99,4229356.0
2017-02-24,13.78,14.1299,13.39,14.07,6613623.0,0.0,1.0,13.78,14.1299,13.39,14.07,6613623.0
2017-02-23,13.91,13.975,13.715,13.81,2416642.0,0.0,1.0,13.91,13.975,13.715,13.81,2416642.0
2017-02-22,13.84,14.09,13.71,13.83,2731394.0,0.0,1.0,13.84,14.09,13.71,13.83,2731394.0
2017-02-21,13.35,13.835,13.315,13.76,5388879.0,0.0,1.0,13.35,13.835,13.315,13.76,5388879.0
2017-02-17,13.28,13.4,13.24,13.39,2842661.0,0.0,1.0,13.28,13.4,13.24,13.39,2842661.0
2017-02-16,13.35,13.46,13.245,13.28,1881728.0,0.0,1.0,13.35,13.46,13.245,13.28,1881728.0
2017-02-15,13.3,13.48,13.22,13.35,2420242.0,0.188,1.0,13.3,13.48,13.22,13.35,2420242.0
2017-02-14,13.21,13.5,13.16,13.49,3028887.0,0.0,1.0,13.026554882552814,13.312527699807946,12.977249224405375,13.302666568178461,3028887.0
2017-02-13,13.3,13.3296,13.125,13.21,2353256.0,0.0,1.0,13.115305067218198,13.144494016841486,12.94273526370217,13.026554882552814,2353256.0
2017-02-10,13.21,13.265,13.07,13.19,2733361.0,0.0,1.0,13.026554882552814,13.080791106514996,12.88849903973999,13.00683261929384,2733361.0
2017-02-09,13.13,13.32,13.12,13.18,2669296.0,0.0,1.0,12.947665829516914,13.135027330477175,12.937804697887426,12.996971487664352,2669296.0
2017-02-08,13.06,13.2,13.0,13.08,4633499.0,0.0,1.0,12.878637908110507,13.016693750923324,12.819471118333581,12.89836017136948,4633499.0
2017-02-07,13.2,13.32,13.02,13.07,4575569.0,0.0,1.0,13.016693750923324,13.135027330477175,12.839193381592553,12.88849903973999,4575569.0
2017-02-06,13.18,13.27,13.1,13.16,3625448.0,0.0,1.0,12.996971487664352,13.085721672329738,12.918082434628452,12.977249224405375,3625448.0
2017-02-03,13.04,13.38,13.0,13.18,5639164.0,0.0,1.0,12.858915644851526,13.1941941202541,12.819471118333581,12.996971487664352,5639164.0
2017-02-02,13.17,13.495,12.885,12.94,10707296.0,0.0,1.0,12.987110356034865,13.307597133993205,12.706068104594474,12.760304328556655,10707296.0
2017-02-01,15.08,15.08,12.41,13.14,30449162.0,0.0,1.0,14.870586497266952,14.870586497266952,12.237664352193825,12.957526961146405,30449162.0
2017-01-31,15.6,16.12,15.48,15.92,11373850.0,0.0,1.0,15.383365342000294,15.896144186733641,15.265031762446446,15.698921554143892,11373850.0
2017-01-30,15.77,15.8,15.51,15.7,2971851.0,0.0,1.0,15.551004579701582,15.580587974590044,15.294615157334906,15.481976658295169,2971851.0
2017-01-27,15.97,16.02,15.77,15.87,2194351.0,0.0,1.0,15.74822721229133,15.797532870438767,15.551004579701582,15.649615895996455,2194351.0
2017-01-26,16.18,16.2,15.73,15.85,2233803.0,0.0,1.0,15.955310976510562,15.975033239769536,15.511560053183631,15.629893632737481,2233803.0
2017-01-25,16.15,16.23,15.945,16.18,2103535.0,0.0,1.0,15.925727581622098,16.004616634658,15.72357438321761,15.955310976510562,2103535.0
2017-01-24,15.75,16.11,15.69,16.05,1932193.0,0.0,1.0,15.531282316442606,15.886283055104151,15.47211552666568,15.827116265327227,1932193.0
2017-01-23,15.75,15.84,15.55,15.7,2072437.0,0.0,1.0,15.531282316442606,15.62003250110799,15.334059683852859,15.481976658295169,2072437.0
2017-01-20,15.72,15.785,15.59,15.72,1904418.0,0.0,1.0,15.501698921554144,15.565796277145813,15.373504210370807,15.501698921554144,1904418.0
2017-01-19,16.2,16.33,15.66,15.67,3028731.0,0.0,1.0,15.975033239769536,16.103227950952867,15.442532131777217,15.452393263406705,3028731.0
2017-01-18,16.28,16.36,16.06,16.21,2144374.0,0.0,1.0,16.053922292805442,16.132811345841333,15.836977396956714,15.984894371399026,2144374.0
2017-01-17,16.59,16.6,16.13,16.22,2114254.0,0.0,1.0,16.359617373319544,16.369478504949033,15.906005318363125,15.994755503028513,2114254.0
2017-01-13,16.38,16.6,16.2143,16.59,3076477.0,0.0,1.0,16.15253360910031,16.369478504949033,15.989134657999706,16.359617373319544,3076477.0
2017-01-12,16.1,16.32,15.88,16.3,2539256.0,0.0,1.0,15.876421923474664,16.093366819323386,15.65947702762594,16.073644556064412,2539256.0
2017-01-11,16.2,16.315,16.04,16.08,4814099.0,0.0,1.0,15.975033239769536,16.088436253508643,15.81725513369774,15.856699660215687,4814099.0
2017-01-10,16.07,16.24,16.0,16.2,4033532.0,0.0,1.0,15.846838528586204,16.014477766287484,15.77781060717979,15.975033239769536,4033532.0
2017-01-09,16.21,16.36,16.02,16.1,3731785.0,0.0,1.0,15.984894371399026,16.132811345841333,15.797532870438767,15.876421923474664,3731785.0
