Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,29.26,29.645,29.01,29.23,4195521.0,0.0,1.0,29.26,29.645,29.01,29.23,4195521.0
2018-03-26,29.07,29.35,28.66,29.17,3078814.0,0.0,1.0,29.07,29.35,28.66,29.17,3078814.0
2018-03-23,29.28,29.79,28.615,28.65,2969909.0,0.0,1.0,29.28,29.79,28.615,28.65,2969909.0
2018-03-22,29.11,29.745,29.0,29.0,4744018.0,0.0,1.0,29.11,29.745,29.0,29.0,4744018.0
2018-03-21,29.01,29.71,28.89,29.39,4498666.0,0.0,1.0,29.01,29.71,28.89,29.39,4498666.0
2018-03-20,29.17,29.385,28.89,28.93,2559170.0,0.0,1.0,29.17,29.385,28.89,28.93,2559170.0
2018-03-19,29.26,29.4,28.85,29.1,2272148.0,0.0,1.0,29.26,29.4,28.85,29.1,2272148.0
2018-03-16,28.97,29.48,28.61,29.38,6152935.0,0.0,1.0,28.97,29.48,28.61,29.38,6152935.0
2018-03-15,29.6,29.68,28.885,28.97,3479138.0,0.0,1.0,29.6,29.68,28.885,28.97,3479138.0
2018-03-14,30.47,30.47,29.52,29.55,7108891.0,0.0,1.0,30.47,30.47,29.52,29.55,7108891.0
2018-03-13,30.42,30.725,30.32,30.44,2845682.0,0.0,1.0,30.42,30.725,30.32,30.44,2845682.0
2018-03-12,30.0,30.3,29.92,30.18,3647675.0,0.0,1.0,30.0,30.3,29.92,30.18,3647675.0
2018-03-09,29.7,30.05,29.275,30.04,2645106.0,0.0,1.0,29.7,30.05,29.275,30.04,2645106.0
2018-03-08,29.73,29.76,29.165,29.52,3224333.0,0.0,1.0,29.73,29.76,29.165,29.52,3224333.0
2018-03-07,29.7,29.99,29.4172,29.62,2835429.0,0.0,1.0,29.7,29.99,29.4172,29.62,2835429.0
2018-03-06,29.49,29.93,29.19,29.9,4124656.0,0.0,1.0,29.49,29.93,29.19,29.9,4124656.0
2018-03-05,28.79,29.52,28.64,29.31,6868065.0,0.0,1.0,28.79,29.52,28.64,29.31,6868065.0
2018-03-02,28.43,29.005,28.21,28.95,5344840.0,0.0,1.0,28.43,29.005,28.21,28.95,5344840.0
2018-03-01,28.11,28.72,27.94,28.72,8429666.0,0.0,1.0,28.11,28.72,27.94,28.72,8429666.0
2018-02-28,28.57,28.74,27.84,28.07,8013132.0,0.0,1.0,28.57,28.74,27.84,28.07,8013132.0
2018-02-27,29.47,29.94,28.49,28.5,5302504.0,0.0,1.0,29.47,29.94,28.49,28.5,5302504.0
2018-02-26,29.46,29.5,28.96,29.34,2875388.0,0.0,1.0,29.46,29.5,28.96,29.34,2875388.0
2018-02-23,29.23,29.3651,28.75,29.27,3869287.0,0.0,1.0,29.23,29.3651,28.75,29.27,3869287.0
2018-02-22,29.46,29.55,29.125,29.19,3462435.0,0.0,1.0,29.46,29.55,29.125,29.19,3462435.0
2018-02-21,29.59,30.42,29.34,29.34,5213345.0,0.0,1.0,29.59,30.42,29.34,29.34,5213345.0
2018-02-20,29.68,29.84,29.26,29.47,3353010.0,0.0,1.0,29.68,29.84,29.26,29.47,3353010.0
2018-02-16,29.61,30.02,29.53,29.74,4874650.0,0.0,1.0,29.61,30.02,29.53,29.74,4874650.0
2018-02-15,29.75,29.75,29.035,29.5,5294848.0,0.0,1.0,29.75,29.75,29.035,29.5,5294848.0
2018-02-14,28.79,29.64,28.665,29.46,6084113.0,0.0,1.0,28.79,29.64,28.665,29.46,6084113.0
