Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,143.81,145.76,141.89,143.5,217947.0,0.0,1.0,143.81,145.76,141.89,143.5,217947.0
2018-03-26,144.07,144.175,140.14,143.5,186959.0,0.0,1.0,144.07,144.175,140.14,143.5,186959.0
2018-03-23,144.44,145.17,140.56,142.5,305342.0,0.0,1.0,144.44,145.17,140.56,142.5,305342.0
2018-03-22,143.59,145.24,142.6,144.58,293779.0,0.0,1.0,143.59,145.24,142.6,144.58,293779.0
2018-03-21,144.17,147.145,143.98,144.72,137731.0,0.0,1.0,144.17,147.145,143.98,144.72,137731.0
2018-03-20,143.36,144.99,143.36,144.45,125709.0,0.0,1.0,143.36,144.99,143.36,144.45,125709.0
2018-03-19,142.42,143.94,139.3439,143.44,226150.0,0.0,1.0,142.42,143.94,139.3439,143.44,226150.0
2018-03-16,142.32,144.75,141.8,143.22,473472.0,0.0,1.0,142.32,144.75,141.8,143.22,473472.0
2018-03-15,143.76,145.96,140.685,142.31,191593.0,0.0,1.0,143.76,145.96,140.685,142.31,191593.0
2018-03-14,144.65,145.9999,142.58,144.17,188653.0,0.0,1.0,144.65,145.9999,142.58,144.17,188653.0
2018-03-13,146.41,148.75,144.24,144.35,330880.0,0.0,1.0,146.41,148.75,144.24,144.35,330880.0
2018-03-12,146.13,147.539,144.88,146.02,171730.0,0.0,1.0,146.13,147.539,144.88,146.02,171730.0
2018-03-09,145.11,147.76,143.5,146.14,200564.0,0.0,1.0,145.11,147.76,143.5,146.14,200564.0
2018-03-08,146.25,146.49,144.42,144.86,137528.0,0.0,1.0,146.25,146.49,144.42,144.86,137528.0
2018-03-07,146.4,148.715,143.73,146.14,221087.0,0.0,1.0,146.4,148.715,143.73,146.14,221087.0
2018-03-06,143.59,147.77,142.9593,147.61,258001.0,0.0,1.0,143.59,147.77,142.9593,147.61,258001.0
2018-03-05,141.71,144.34,139.22,143.57,229020.0,0.0,1.0,141.71,144.34,139.22,143.57,229020.0
2018-03-02,137.6,143.05,136.69,142.46,287668.0,0.0,1.0,137.6,143.05,136.69,142.46,287668.0
2018-03-01,137.65,140.35,136.58,138.94,191728.0,0.0,1.0,137.65,140.35,136.58,138.94,191728.0
2018-02-28,140.52,141.52,137.92,138.03,240433.0,0.0,1.0,140.52,141.52,137.92,138.03,240433.0
2018-02-27,143.26,143.26,140.1,140.56,238829.0,0.0,1.0,143.26,143.26,140.1,140.56,238829.0
2018-02-26,144.63,144.9,142.08,142.53,197517.0,0.0,1.0,144.63,144.9,142.08,142.53,197517.0
2018-02-23,144.11,144.45,141.69,144.26,172276.0,0.0,1.0,144.11,144.45,141.69,144.26,172276.0
2018-02-22,144.35,144.969,139.81,142.19,281311.0,0.0,1.0,144.35,144.969,139.81,142.19,281311.0
2018-02-21,145.01,145.2,143.03,143.63,312806.0,0.0,1.0,145.01,145.2,143.03,143.63,312806.0
2018-02-20,147.27,149.04,144.851,145.23,495679.0,0.0,1.0,147.27,149.04,144.851,145.23,495679.0
