Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,27.45,28.15,27.27,27.9,6983739.0,0.0,1.0,27.45,28.15,27.27,27.9,6983739.0
2018-03-26,27.23,27.54,27.185,27.45,5935933.0,0.0,1.0,27.23,27.54,27.185,27.45,5935933.0
2018-03-23,27.25,27.6,27.08,27.13,5999238.0,0.0,1.0,27.25,27.6,27.08,27.13,5999238.0
2018-03-22,27.2,27.93,27.19,27.32,6708004.0,0.0,1.0,27.2,27.93,27.19,27.32,6708004.0
2018-03-21,27.31,27.64,27.125,27.22,5009668.0,0.0,1.0,27.31,27.64,27.125,27.22,5009668.0
2018-03-20,27.46,27.54,27.22,27.26,5652508.0,0.0,1.0,27.46,27.54,27.22,27.26,5652508.0
2018-03-19,28.13,28.21,27.34,27.41,10018396.0,0.0,1.0,28.13,28.21,27.34,27.41,10018396.0
2018-03-16,27.87,28.3,27.84,28.12,21080860.0,0.0,1.0,27.87,28.3,27.84,28.12,21080860.0
2018-03-15,27.94,28.22,27.53,27.84,8615672.0,0.0,1.0,27.94,28.22,27.53,27.84,8615672.0
2018-03-14,27.8,28.245,27.74,27.93,5999261.0,0.0,1.0,27.8,28.245,27.74,27.93,5999261.0
2018-03-13,27.94,28.02,27.52,27.76,6170903.0,0.0,1.0,27.94,28.02,27.52,27.76,6170903.0
2018-03-12,27.63,28.01,27.58,27.89,6683152.0,0.0,1.0,27.63,28.01,27.58,27.89,6683152.0
2018-03-09,27.75,27.83,27.37,27.54,7649188.0,0.0,1.0,27.75,27.83,27.37,27.54,7649188.0
2018-03-08,27.25,27.81,27.12,27.77,8387493.0,0.0,1.0,27.25,27.81,27.12,27.77,8387493.0
2018-03-07,27.61,28.15,27.49,27.62,12359584.0,0.0,1.0,27.61,28.15,27.49,27.62,12359584.0
2018-03-06,28.52,28.52,27.67,27.68,7400780.0,0.0,1.0,28.52,28.52,27.67,27.68,7400780.0
2018-03-05,27.75,28.45,27.61,28.32,6596476.0,0.0,1.0,27.75,28.45,27.61,28.32,6596476.0
2018-03-02,28.23,28.42,27.475,27.73,6857392.0,0.0,1.0,28.23,28.42,27.475,27.73,6857392.0
2018-03-01,28.65,28.98,28.11,28.24,8240691.0,0.0,1.0,28.65,28.98,28.11,28.24,8240691.0
2018-02-28,29.2,29.29,28.64,28.65,7434169.0,0.0,1.0,29.2,29.29,28.64,28.65,7434169.0
2018-02-27,29.85,29.94,29.16,29.17,8294403.0,0.0,1.0,29.85,29.94,29.16,29.17,8294403.0
2018-02-26,30.4,30.4399,29.73,29.82,6137252.0,0.0,1.0,30.4,30.4399,29.73,29.82,6137252.0
2018-02-23,29.55,30.47,29.52,30.34,6155616.0,0.0,1.0,29.55,30.47,29.52,30.34,6155616.0
2018-02-22,30.31,30.33,29.28,29.52,11020150.0,0.0,1.0,30.31,30.33,29.28,29.52,11020150.0
2018-02-21,30.78,30.97,30.09,30.11,5523793.0,0.0,1.0,30.78,30.97,30.09,30.11,5523793.0
2018-02-20,31.28,31.41,30.705,30.83,3902355.0,0.0,1.0,31.28,31.41,30.705,30.83,3902355.0
2018-02-16,31.21,31.59,31.02,31.45,5408813.0,0.0,1.0,31.21,31.59,31.02,31.45,5408813.0
2018-02-15,30.4,31.1,30.33,31.1,6225475.0,0.0,1.0,30.4,31.1,30.33,31.1,6225475.0
2018-02-14,30.48,30.61,30.25,30.27,4338872.0,0.0,1.0,30.48,30.61,30.25,30.27,4338872.0
2018-02-13,30.38,30.83,30.1418,30.7,3730715.0,0.0,1.0,30.38,30.83,30.1418,30.7,3730715.0
2018-02-12,30.15,30.635,29.93,30.46,6187842.0,0.0,1.0,30.15,30.635,29.93,30.46,6187842.0
2018-02-09,29.73,30.33,29.4,30.06,7010566.0,0.0,1.0,29.73,30.33,29.4,30.06,7010566.0
2018-02-08,30.22,30.42,29.52,29.52,6245986.0,0.0,1.0,30.22,30.42,29.52,29.52,6245986.0
2018-02-07,30.13,30.655,29.96,30.27,7209348.0,0.0,1.0,30.13,30.655,29.96,30.27,7209348.0
2018-02-06,30.01,30.24,29.205,30.07,8863922.0,0.0,1.0,30.01,30.24,29.205,30.07,8863922.0
2018-02-05,31.18,31.34,30.29,30.3,6050644.0,0.0,1.0,31.18,31.34,30.29,30.3,6050644.0
2018-02-02,31.16,31.37,31.01,31.19,5039950.0,0.0,1.0,31.16,31.37,31.01,31.19,5039950.0
2018-02-01,31.67,31.93,31.21,31.23,5795008.0,0.0,1.0,31.67,31.93,31.21,31.23,5795008.0
2018-01-31,31.48,31.88,31.36,31.87,6961170.0,0.0,1.0,31.48,31.88,31.36,31.87,6961170.0
2018-01-30,31.53,31.72,31.42,31.42,4217691.0,0.0,1.0,31.53,31.72,31.42,31.42,4217691.0
2018-01-29,31.95,31.96,31.51,31.53,4261030.0,0.0,1.0,31.95,31.96,31.51,31.53,4261030.0
2018-01-26,32.4,32.45,31.8,32.01,4799183.0,0.0,1.0,32.4,32.45,31.8,32.01,4799183.0
2018-01-25,32.09,32.28,31.89,32.27,5427175.0,0.0,1.0,32.09,32.28,31.89,32.27,5427175.0
2018-01-24,31.79,32.16,31.67,32.0,7478130.0,0.0,1.0,31.79,32.16,31.67,32.0,7478130.0
2018-01-23,31.62,31.96,31.49,31.77,6372555.0,0.0,1.0,31.62,31.96,31.49,31.77,6372555.0
2018-01-22,31.76,31.895,31.385,31.49,5510398.0,0.0,1.0,31.76,31.895,31.385,31.49,5510398.0
2018-01-19,31.73,32.27,31.54,31.59,8503789.0,0.0,1.0,31.73,32.27,31.54,31.59,8503789.0
2018-01-18,31.8,32.07,31.55,31.61,6139833.0,0.0,1.0,31.8,32.07,31.55,31.61,6139833.0
2018-01-17,31.37,31.74,31.33,31.57,6944510.0,0.0,1.0,31.37,31.74,31.33,31.57,6944510.0
2018-01-16,31.3,31.435,30.95,31.26,6998005.0,0.0,1.0,31.3,31.435,30.95,31.26,6998005.0
2018-01-12,30.82,31.29,30.66,31.08,6844216.0,0.0,1.0,30.82,31.29,30.66,31.08,6844216.0
2018-01-11,30.88,31.0,30.76,30.88,5262834.0,0.0,1.0,30.88,31.0,30.76,30.88,5262834.0
2018-01-10,31.21,31.3,30.85,30.9,6591217.0,0.0,1.0,31.21,31.3,30.85,30.9,6591217.0
2018-01-09,31.37,31.52,31.21,31.33,7014013.0,0.0,1.0,31.37,31.52,31.21,31.33,7014013.0
2018-01-08,30.94,31.43,30.875,31.4,8889166.0,0.0,1.0,30.94,31.43,30.875,31.4,8889166.0
2018-01-05,30.92,31.06,30.74,30.95,7201309.0,0.0,1.0,30.92,31.06,30.74,30.95,7201309.0
2018-01-04,30.65,31.12,30.6,30.75,8302665.0,0.0,1.0,30.65,31.12,30.6,30.75,8302665.0
2018-01-03,30.6,30.77,30.46,30.67,8220938.0,0.0,1.0,30.6,30.77,30.46,30.67,8220938.0
2018-01-02,31.08,31.1,30.44,30.6,6044195.0,0.0,1.0,31.08,31.1,30.44,30.6,6044195.0
2017-12-29,30.91,31.04,30.7831,30.95,3411355.0,0.0,1.0,30.91,31.04,30.7831,30.95,3411355.0
2017-12-28,30.9,30.98,30.75,30.91,5791484.0,0.0,1.0,30.9,30.98,30.75,30.91,5791484.0
2017-12-27,30.93,31.025,30.74,30.83,3940834.0,0.0,1.0,30.93,31.025,30.74,30.83,3940834.0
2017-12-26,31.13,31.2566,30.75,30.76,5367369.0,0.0,1.0,31.13,31.2566,30.75,30.76,5367369.0
2017-12-22,31.27,31.39,31.1,31.13,6769740.0,0.0,1.0,31.27,31.39,31.1,31.13,6769740.0
2017-12-21,31.53,31.59,31.11,31.19,13640472.0,0.0,1.0,31.53,31.59,31.11,31.19,13640472.0
2017-12-20,31.87,32.15,31.53,31.59,19816083.0,0.0,1.0,31.87,32.15,31.53,31.59,19816083.0
2017-12-19,33.63,33.7,32.4,32.42,7645851.0,0.0,1.0,33.63,33.7,32.4,32.42,7645851.0
2017-12-18,34.07,34.15,33.88,33.97,6287811.0,0.0,1.0,34.07,34.15,33.88,33.97,6287811.0
2017-12-15,33.87,33.97,33.6,33.97,10619767.0,0.0,1.0,33.87,33.97,33.6,33.97,10619767.0
2017-12-14,33.69,33.9,33.22,33.8,4257970.0,0.0,1.0,33.69,33.9,33.22,33.8,4257970.0
2017-12-13,34.24,34.24,33.87,33.87,4683906.0,0.0,1.0,34.24,34.24,33.87,33.87,4683906.0
2017-12-12,34.55,34.69,34.02,34.04,5845952.0,0.0,1.0,34.55,34.69,34.02,34.04,5845952.0
2017-12-11,34.49,34.71,34.315,34.62,7677455.0,0.0,1.0,34.49,34.71,34.315,34.62,7677455.0
2017-12-08,34.94,34.94,34.37,34.5,10265235.0,0.0,1.0,34.94,34.94,34.37,34.5,10265235.0
2017-12-07,34.98,35.03,34.72,35.02,5409109.0,0.0,1.0,34.98,35.03,34.72,35.02,5409109.0
2017-12-06,35.37,35.55,35.21,35.41,6527012.0,0.0,1.0,35.37,35.55,35.21,35.41,6527012.0
2017-12-05,35.97,35.99,35.22,35.29,4509980.0,0.0,1.0,35.97,35.99,35.22,35.29,4509980.0
2017-12-04,36.36,36.4,35.91,35.96,3800690.0,0.0,1.0,36.36,36.4,35.91,35.96,3800690.0
2017-12-01,36.86,36.99,36.21,36.27,3115746.0,0.0,1.0,36.86,36.99,36.21,36.27,3115746.0
2017-11-30,36.61,36.885,36.52,36.67,4785909.0,0.0,1.0,36.61,36.885,36.52,36.67,4785909.0
2017-11-29,36.49,36.94,36.38,36.61,2461071.0,0.0,1.0,36.49,36.94,36.38,36.61,2461071.0
2017-11-28,36.69,36.99,36.44,36.53,3809499.0,0.0,1.0,36.69,36.99,36.44,36.53,3809499.0
2017-11-27,36.4,36.82,36.25,36.58,4250265.0,0.0,1.0,36.4,36.82,36.25,36.58,4250265.0
2017-11-24,36.24,36.41,36.2,36.31,1666725.0,0.0,1.0,36.24,36.41,36.2,36.31,1666725.0
2017-11-22,36.0,36.1,35.925,36.06,3218572.0,0.0,1.0,36.0,36.1,35.925,36.06,3218572.0
2017-11-21,36.0,36.24,35.98,36.02,2832782.0,0.0,1.0,36.0,36.24,35.98,36.02,2832782.0
2017-11-20,36.26,36.36,35.865,35.91,3602344.0,0.0,1.0,36.26,36.36,35.865,35.91,3602344.0
2017-11-17,36.13,36.44,36.06,36.26,4317717.0,0.0,1.0,36.13,36.44,36.06,36.26,4317717.0
