Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,32.96,33.0,32.02,32.2,499204.0,0.0,1.0,32.96,33.0,32.02,32.2,499204.0
2018-03-26,32.98,33.14,32.24,32.87,735685.0,0.0,1.0,32.98,33.14,32.24,32.87,735685.0
2018-03-23,32.62,32.86,32.27,32.32,936126.0,0.0,1.0,32.62,32.86,32.27,32.32,936126.0
2018-03-22,32.98,33.175,32.45,32.46,777748.0,0.0,1.0,32.98,33.175,32.45,32.46,777748.0
2018-03-21,33.76,33.92,33.49,33.6,488976.0,0.0,1.0,33.76,33.92,33.49,33.6,488976.0
2018-03-20,33.77,33.93,33.61,33.82,641662.0,0.0,1.0,33.77,33.93,33.61,33.82,641662.0
2018-03-19,34.21,34.21,33.38,33.61,761077.0,0.0,1.0,34.21,34.21,33.38,33.61,761077.0
2018-03-16,33.66,34.17,33.63,34.0,746449.0,0.0,1.0,33.66,34.17,33.63,34.0,746449.0
2018-03-15,33.65,33.85,33.49,33.6,397323.0,0.0,1.0,33.65,33.85,33.49,33.6,397323.0
2018-03-14,33.89,34.03,33.54,33.65,814556.0,0.0,1.0,33.89,34.03,33.54,33.65,814556.0
2018-03-13,34.54,34.56,33.8,34.0,611634.0,0.0,1.0,34.54,34.56,33.8,34.0,611634.0
2018-03-12,34.48,34.69,34.28,34.39,403940.0,0.0,1.0,34.48,34.69,34.28,34.39,403940.0
2018-03-09,34.54,34.61,34.33,34.59,608306.0,0.0,1.0,34.54,34.61,34.33,34.59,608306.0
2018-03-08,34.25,34.57,34.11,34.43,477272.0,0.0,1.0,34.25,34.57,34.11,34.43,477272.0
2018-03-07,33.47,34.4475,33.365,34.29,940597.0,0.0,1.0,33.47,34.4475,33.365,34.29,940597.0
2018-03-06,33.69,33.98,33.63,33.87,733496.0,0.0,1.0,33.69,33.98,33.63,33.87,733496.0
2018-03-05,32.85,33.59,32.71,33.46,792456.0,0.0,1.0,32.85,33.59,32.71,33.46,792456.0
2018-03-02,32.34,32.82,32.245,32.73,602062.0,0.0,1.0,32.34,32.82,32.245,32.73,602062.0
2018-03-01,33.13,33.17,32.27,32.65,1408648.0,0.0,1.0,33.13,33.17,32.27,32.65,1408648.0
2018-02-28,33.92,34.14,33.61,33.7,924790.0,0.0,1.0,33.92,34.14,33.61,33.7,924790.0
2018-02-27,34.1,34.1,33.75,33.82,1209632.0,0.0,1.0,34.1,34.1,33.75,33.82,1209632.0
2018-02-26,33.95,34.19,33.73,34.17,489179.0,0.0,1.0,33.95,34.19,33.73,34.17,489179.0
2018-02-23,33.67,34.01,33.38,33.97,688107.0,0.0,1.0,33.67,34.01,33.38,33.97,688107.0
2018-02-22,33.99,34.08,33.48,33.56,589144.0,0.0,1.0,33.99,34.08,33.48,33.56,589144.0
2018-02-21,33.85,34.47,33.75,33.94,819077.0,0.0,1.0,33.85,34.47,33.75,33.94,819077.0
2018-02-20,34.04,34.32,33.77,33.87,630028.0,0.0,1.0,34.04,34.32,33.77,33.87,630028.0
2018-02-16,33.81,34.34,33.74,34.21,1008436.0,0.0,1.0,33.81,34.34,33.74,34.21,1008436.0
2018-02-15,33.12,33.86,33.06,33.8,803870.0,0.0,1.0,33.12,33.86,33.06,33.8,803870.0
2018-02-14,31.88,33.13,31.81,33.03,1068338.0,0.0,1.0,31.88,33.13,31.81,33.03,1068338.0
2018-02-13,31.72,32.0966,31.58,32.01,549965.0,0.0,1.0,31.72,32.0966,31.58,32.01,549965.0
2018-02-12,32.13,32.14,31.46,31.92,963584.0,0.0,1.0,32.13,32.14,31.46,31.92,963584.0
2018-02-09,31.66,32.12,31.01,31.81,1429788.0,0.0,1.0,31.66,32.12,31.01,31.81,1429788.0
2018-02-08,32.44,32.44,31.01,31.01,928634.0,0.0,1.0,32.44,32.44,31.01,31.01,928634.0
2018-02-07,32.26,32.76,32.21,32.31,1002867.0,0.0,1.0,32.26,32.76,32.21,32.31,1002867.0
2018-02-06,31.98,32.69,31.55,32.38,1837397.0,0.0,1.0,31.98,32.69,31.55,32.38,1837397.0
2018-02-05,33.44,33.57,32.03,32.14,1021026.0,0.0,1.0,33.44,33.57,32.03,32.14,1021026.0
2018-02-02,33.75,33.82,33.25,33.34,1388287.0,0.0,1.0,33.75,33.82,33.25,33.34,1388287.0
2018-02-01,34.38,34.45,33.37,34.0,2133192.0,0.0,1.0,34.38,34.45,33.37,34.0,2133192.0
2018-01-31,33.7,33.81,33.27,33.49,1218324.0,0.0,1.0,33.7,33.81,33.27,33.49,1218324.0
2018-01-30,33.79,33.885,33.5,33.81,1159318.0,0.0,1.0,33.79,33.885,33.5,33.81,1159318.0
2018-01-29,34.55,34.77,34.34,34.41,1056747.0,0.0,1.0,34.55,34.77,34.34,34.41,1056747.0
