Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,1.48,1.52,1.47,1.48,17273932.0,0.0,1.0,1.48,1.52,1.47,1.48,17273932.0
2018-03-26,1.5,1.5182,1.47,1.49,17836824.0,0.0,1.0,1.5,1.5182,1.47,1.49,17836824.0
2018-03-23,1.55,1.5578,1.46,1.49,19489700.0,0.0,1.0,1.55,1.5578,1.46,1.49,19489700.0
2018-03-22,1.52,1.595,1.51,1.54,16789940.0,0.0,1.0,1.52,1.595,1.51,1.54,16789940.0
2018-03-21,1.51,1.58,1.51,1.54,15153394.0,0.0,1.0,1.51,1.58,1.51,1.54,15153394.0
2018-03-20,1.58,1.6,1.5,1.52,20271366.0,0.0,1.0,1.58,1.6,1.5,1.52,20271366.0
2018-03-19,1.6,1.61,1.57,1.58,18922868.0,0.0,1.0,1.6,1.61,1.57,1.58,18922868.0
2018-03-16,1.66,1.67,1.59,1.61,24970816.0,0.0,1.0,1.66,1.67,1.59,1.61,24970816.0
2018-03-15,1.64,1.68,1.561,1.67,27416298.0,0.0,1.0,1.64,1.68,1.561,1.67,27416298.0
2018-03-14,1.72,1.73,1.6,1.63,27733588.0,0.0,1.0,1.72,1.73,1.6,1.63,27733588.0
2018-03-13,1.71,1.74,1.685,1.71,16604962.0,0.0,1.0,1.71,1.74,1.685,1.71,16604962.0
2018-03-12,1.73,1.78,1.68,1.7,18195100.0,0.0,1.0,1.73,1.78,1.68,1.7,18195100.0
2018-03-09,1.76,1.78,1.72,1.74,26696685.0,0.0,1.0,1.76,1.78,1.72,1.74,26696685.0
2018-03-08,1.81,1.83,1.72,1.76,41145585.0,0.0,1.0,1.81,1.83,1.72,1.76,41145585.0
2018-03-07,1.9,1.91,1.8,1.8,36317675.0,0.0,1.0,1.9,1.91,1.8,1.8,36317675.0
2018-03-06,1.95,1.97,1.9,1.9,14504387.0,0.0,1.0,1.95,1.97,1.9,1.9,14504387.0
2018-03-05,1.91,1.98,1.91,1.95,36571121.0,0.0,1.0,1.91,1.98,1.91,1.95,36571121.0
2018-03-02,1.86,1.95,1.86,1.91,14729089.0,0.0,1.0,1.86,1.95,1.86,1.91,14729089.0
2018-03-01,1.97,2.0,1.86,1.88,40915102.0,0.0,1.0,1.97,2.0,1.86,1.88,40915102.0
2018-02-28,2.03,2.045,1.95,1.97,29285973.0,0.0,1.0,2.03,2.045,1.95,1.97,29285973.0
2018-02-27,2.07,2.09,2.02,2.03,25658908.0,0.0,1.0,2.07,2.09,2.02,2.03,25658908.0
2018-02-26,2.1,2.1,2.05,2.08,33920704.0,0.0,1.0,2.1,2.1,2.05,2.08,33920704.0
2018-02-23,2.12,2.13,2.08,2.09,19599885.0,0.0,1.0,2.12,2.13,2.08,2.09,19599885.0
2018-02-22,2.02,2.15,2.0,2.13,43058294.0,0.0,1.0,2.02,2.15,2.0,2.13,43058294.0
2018-02-21,2.19,2.19,2.01,2.02,77548112.0,0.0,1.0,2.19,2.19,2.01,2.02,77548112.0
2018-02-20,2.29,2.3,2.12,2.2,144183099.0,0.0,1.0,2.29,2.3,2.12,2.2,144183099.0
2018-02-16,2.08,2.14,2.08,2.13,9428476.0,0.0,1.0,2.08,2.14,2.08,2.13,9428476.0
2018-02-15,2.07,2.1,2.03,2.08,8571854.0,0.0,1.0,2.07,2.1,2.03,2.08,8571854.0
2018-02-14,2.02,2.1,2.02,2.05,17015102.0,0.0,1.0,2.02,2.1,2.02,2.05,17015102.0
2018-02-13,2.0,2.07,2.0,2.04,9618395.0,0.0,1.0,2.0,2.07,2.0,2.04,9618395.0
2018-02-12,2.03,2.055,1.99,2.0,11392402.0,0.0,1.0,2.03,2.055,1.99,2.0,11392402.0
2018-02-09,2.04,2.05,1.89,2.01,28179714.0,0.0,1.0,2.04,2.05,1.89,2.01,28179714.0
2018-02-08,2.08,2.11,2.0,2.0,14214197.0,0.0,1.0,2.08,2.11,2.0,2.0,14214197.0
2018-02-07,2.07,2.15,2.05,2.08,14979857.0,0.0,1.0,2.07,2.15,2.05,2.08,14979857.0
2018-02-06,1.99,2.08,1.95,2.07,20989137.0,0.0,1.0,1.99,2.08,1.95,2.07,20989137.0
2018-02-05,2.02,2.11,1.99,2.0,22141466.0,0.0,1.0,2.02,2.11,1.99,2.0,22141466.0
2018-02-02,2.12,2.12,2.01,2.06,16384415.0,0.0,1.0,2.12,2.12,2.01,2.06,16384415.0
2018-02-01,2.16,2.17,2.1,2.13,14904126.0,0.0,1.0,2.16,2.17,2.1,2.13,14904126.0
2018-01-31,2.16,2.2,2.12,2.18,22875020.0,0.0,1.0,2.16,2.2,2.12,2.18,22875020.0
2018-01-30,2.15,2.16,2.03,2.08,29621014.0,0.0,1.0,2.15,2.16,2.03,2.08,29621014.0
2018-01-29,2.22,2.24,2.205,2.23,9569464.0,0.0,1.0,2.22,2.24,2.205,2.23,9569464.0
2018-01-26,2.23,2.24,2.18,2.23,14238039.0,0.0,1.0,2.23,2.24,2.18,2.23,14238039.0
2018-01-25,2.25,2.26,2.19,2.23,13200355.0,0.0,1.0,2.25,2.26,2.19,2.23,13200355.0
2018-01-24,2.32,2.33,2.2,2.22,21469528.0,0.0,1.0,2.32,2.33,2.2,2.22,21469528.0
