Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,18.44,18.72,17.685,17.79,1423732.0,0.0,1.0,18.44,18.72,17.685,17.79,1423732.0
2018-03-26,18.35,18.495,17.68,18.28,1541645.0,0.0,1.0,18.35,18.495,17.68,18.28,1541645.0
2018-03-23,19.43,19.64,18.1,18.12,1916491.0,0.0,1.0,19.43,19.64,18.1,18.12,1916491.0
2018-03-22,20.08,20.19,19.265,19.31,889947.0,0.0,1.0,20.08,20.19,19.265,19.31,889947.0
2018-03-21,20.02,20.42,19.91,20.32,1490513.0,0.0,1.0,20.02,20.42,19.91,20.32,1490513.0
2018-03-20,19.76,20.15,19.67,19.88,944430.0,0.0,1.0,19.76,20.15,19.67,19.88,944430.0
2018-03-19,20.15,20.24,19.35,19.59,1032702.0,0.0,1.0,20.15,20.24,19.35,19.59,1032702.0
2018-03-16,19.46,20.41,19.44,20.25,983694.0,0.0,1.0,19.46,20.41,19.44,20.25,983694.0
2018-03-15,19.95,20.1,19.28,19.4,1169921.0,0.0,1.0,19.95,20.1,19.28,19.4,1169921.0
2018-03-14,20.46,20.46,19.78,19.85,1061193.0,0.0,1.0,20.46,20.46,19.78,19.85,1061193.0
2018-03-13,20.61,20.7,20.21,20.36,739135.0,0.0,1.0,20.61,20.7,20.21,20.36,739135.0
2018-03-12,20.45,20.74,20.28,20.61,649702.0,0.0,1.0,20.45,20.74,20.28,20.61,649702.0
2018-03-09,20.16,20.79,20.07,20.46,806171.0,0.0,1.0,20.16,20.79,20.07,20.46,806171.0
2018-03-08,19.31,20.05,19.31,20.01,994776.0,0.0,1.0,19.31,20.05,19.31,20.01,994776.0
2018-03-07,19.54,19.86,19.18,19.29,1108181.0,0.0,1.0,19.54,19.86,19.18,19.29,1108181.0
2018-03-06,20.02,20.22,19.68,19.73,813733.0,0.0,1.0,20.02,20.22,19.68,19.73,813733.0
2018-03-05,19.73,20.14,19.51,19.87,1574245.0,0.0,1.0,19.73,20.14,19.51,19.87,1574245.0
2018-03-02,19.47,19.86,18.96,19.83,1100232.0,0.0,1.0,19.47,19.86,18.96,19.83,1100232.0
2018-03-01,19.62,20.18,19.59,19.66,1244560.0,0.0,1.0,19.62,20.18,19.59,19.66,1244560.0
2018-02-28,19.83,19.96,19.47,19.64,1766805.0,0.0,1.0,19.83,19.96,19.47,19.64,1766805.0
2018-02-27,19.78,20.28,19.59,19.62,757202.0,0.0,1.0,19.78,20.28,19.59,19.62,757202.0
2018-02-26,20.06,20.17,19.54,19.71,857947.0,0.0,1.0,20.06,20.17,19.54,19.71,857947.0
2018-02-23,19.79,20.04,19.36,19.98,1019954.0,0.0,1.0,19.79,20.04,19.36,19.98,1019954.0
2018-02-22,19.2,19.93,19.11,19.71,1522572.0,0.0,1.0,19.2,19.93,19.11,19.71,1522572.0
2018-02-21,18.62,19.37,18.585,18.92,1900860.0,0.0,1.0,18.62,19.37,18.585,18.92,1900860.0
2018-02-20,18.87,19.18,18.43,18.62,908326.0,0.0,1.0,18.87,19.18,18.43,18.62,908326.0
2018-02-16,18.27,19.1,18.27,18.78,1456079.0,0.0,1.0,18.27,19.1,18.27,18.78,1456079.0
2018-02-15,18.76,18.88,17.92,18.44,1510176.0,0.0,1.0,18.76,18.88,17.92,18.44,1510176.0
2018-02-14,18.0,18.87,18.0,18.8,1121528.0,0.0,1.0,18.0,18.87,18.0,18.8,1121528.0
2018-02-13,18.3,18.56,18.0,18.25,2000626.0,0.0,1.0,18.3,18.56,18.0,18.25,2000626.0
2018-02-12,18.23,18.86,17.73,18.54,2400671.0,0.0,1.0,18.23,18.86,17.73,18.54,2400671.0
2018-02-09,18.79,18.79,17.5,17.68,3766966.0,0.0,1.0,18.79,18.79,17.5,17.68,3766966.0
2018-02-08,19.58,19.949,18.5199,18.53,3392923.0,0.0,1.0,19.58,19.949,18.5199,18.53,3392923.0
2018-02-07,20.26,20.42,19.65,19.72,2095809.0,0.0,1.0,20.26,20.42,19.65,19.72,2095809.0
2018-02-06,19.21,20.58,19.13,20.3,1986911.0,0.0,1.0,19.21,20.58,19.13,20.3,1986911.0
2018-02-05,19.79,20.43,19.52,19.63,2111402.0,0.0,1.0,19.79,20.43,19.52,19.63,2111402.0
2018-02-02,20.74,20.84,19.86,20.09,3030640.0,0.0,1.0,20.74,20.84,19.86,20.09,3030640.0
2018-02-01,20.37,21.17,20.12,21.14,2431967.0,0.0,1.0,20.37,21.17,20.12,21.14,2431967.0
2018-01-31,20.34,20.4428,19.74,20.2,2842097.0,0.0,1.0,20.34,20.4428,19.74,20.2,2842097.0
2018-01-30,19.96,20.51,19.65,20.36,3077148.0,0.0,1.0,19.96,20.51,19.65,20.36,3077148.0
2018-01-29,20.52,20.7,19.94,20.25,3237116.0,0.0,1.0,20.52,20.7,19.94,20.25,3237116.0
2018-01-26,21.36,21.51,20.58,20.76,2497868.0,0.0,1.0,21.36,21.51,20.58,20.76,2497868.0
2018-01-25,22.18,22.72,21.1301,21.36,5901512.0,0.0,1.0,22.18,22.72,21.1301,21.36,5901512.0
2018-01-24,22.32,23.04,22.0,22.34,11103054.0,0.0,1.0,22.32,23.04,22.0,22.34,11103054.0
2018-01-23,25.52,25.755,24.98,25.13,2865711.0,0.0,1.0,25.52,25.755,24.98,25.13,2865711.0
2018-01-22,24.86,25.41,24.72,25.41,1258134.0,0.0,1.0,24.86,25.41,24.72,25.41,1258134.0
2018-01-19,24.16,24.94,24.13,24.65,1148080.0,0.0,1.0,24.16,24.94,24.13,24.65,1148080.0
2018-01-18,24.64,24.715,24.23,24.33,1894262.0,0.0,1.0,24.64,24.715,24.23,24.33,1894262.0
2018-01-17,24.46,24.91,24.36,24.66,1483266.0,0.0,1.0,24.46,24.91,24.36,24.66,1483266.0
2018-01-16,24.5,24.79,24.15,24.37,1540576.0,0.0,1.0,24.5,24.79,24.15,24.37,1540576.0
2018-01-12,25.24,25.29,23.81,24.54,2754410.0,0.0,1.0,25.24,25.29,23.81,24.54,2754410.0
2018-01-11,24.43,25.5589,24.21,25.26,3421359.0,0.0,1.0,24.43,25.5589,24.21,25.26,3421359.0
2018-01-10,26.16,26.42,24.085,24.27,3220273.0,0.0,1.0,26.16,26.42,24.085,24.27,3220273.0
2018-01-09,26.54,26.71,25.99,26.05,1320781.0,0.0,1.0,26.54,26.71,25.99,26.05,1320781.0
2018-01-08,26.16,26.63,25.88,26.59,1109447.0,0.0,1.0,26.16,26.63,25.88,26.59,1109447.0
2018-01-05,26.21,26.36,25.95,26.23,928104.0,0.0,1.0,26.21,26.36,25.95,26.23,928104.0
2018-01-04,25.86,26.29,25.48,26.17,1636966.0,0.0,1.0,25.86,26.29,25.48,26.17,1636966.0
2018-01-03,26.08,26.265,25.62,25.69,1648684.0,0.0,1.0,26.08,26.265,25.62,25.69,1648684.0
2018-01-02,25.56,26.07,25.25,26.02,1300079.0,0.0,1.0,25.56,26.07,25.25,26.02,1300079.0
2017-12-29,25.47,25.65,24.81,25.53,1062083.0,0.0,1.0,25.47,25.65,24.81,25.53,1062083.0
2017-12-28,26.15,26.17,25.44,25.44,693662.0,0.0,1.0,26.15,26.17,25.44,25.44,693662.0
2017-12-27,26.42,26.56,26.165,26.17,431123.0,0.0,1.0,26.42,26.56,26.165,26.17,431123.0
2017-12-26,26.27,26.53,26.01,26.43,458802.0,0.0,1.0,26.27,26.53,26.01,26.43,458802.0
2017-12-22,26.66,26.7736,26.11,26.19,798296.0,0.0,1.0,26.66,26.7736,26.11,26.19,798296.0
2017-12-21,26.035,27.07,26.035,26.73,971374.0,0.0,1.0,26.035,27.07,26.035,26.73,971374.0
