Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,9.41,9.595,9.24,9.39,10199030.0,0.0,1.0,9.41,9.595,9.24,9.39,10199030.0
2018-03-06,9.69,9.87,9.46,9.54,15565099.0,0.0,1.0,9.69,9.87,9.46,9.54,15565099.0
2018-03-05,9.34,9.79,9.34,9.65,10537563.0,0.0,1.0,9.34,9.79,9.34,9.65,10537563.0
2018-03-02,9.2,9.495,9.09,9.48,10694465.0,0.0,1.0,9.2,9.495,9.09,9.48,10694465.0
2018-03-01,9.08,9.43,9.065,9.36,16781890.0,0.0,1.0,9.08,9.43,9.065,9.36,16781890.0
2017-07-25,8.66,9.01,8.65,8.77,101337922.0,0.0,1.0,8.66,9.01,8.65,8.77,101337922.0
2017-07-24,8.57,8.63,8.4,8.51,12689626.0,0.0,1.0,8.57,8.63,8.4,8.51,12689626.0
2017-07-21,8.74,8.7561,8.41,8.51,13121685.0,0.0,1.0,8.74,8.7561,8.41,8.51,13121685.0
2017-07-20,8.97,8.99,8.57,8.75,15626968.0,0.0,1.0,8.97,8.99,8.57,8.75,15626968.0
2017-07-19,8.36,8.95,8.35,8.89,13811334.0,0.0,1.0,8.36,8.95,8.35,8.89,13811334.0
2017-07-18,8.45,8.46,8.19,8.35,11836917.0,0.0,1.0,8.45,8.46,8.19,8.35,11836917.0
2017-07-17,8.36,8.46,8.33,8.36,8214195.0,0.0,1.0,8.36,8.46,8.33,8.36,8214195.0
2017-07-14,8.38,8.44,8.23,8.33,8034858.0,0.0,1.0,8.38,8.44,8.23,8.33,8034858.0
2017-07-13,8.1,8.36,8.06,8.31,9652661.0,0.0,1.0,8.1,8.36,8.06,8.31,9652661.0
2017-07-12,8.27,8.335,8.0,8.07,14469495.0,0.0,1.0,8.27,8.335,8.0,8.07,14469495.0
2017-07-11,8.04,8.205,7.865,8.09,10365039.0,0.0,1.0,8.04,8.205,7.865,8.09,10365039.0
2017-07-10,7.86,8.1,7.79,8.04,9476612.0,0.0,1.0,7.86,8.1,7.79,8.04,9476612.0
2017-07-07,7.98,8.0,7.725,7.88,14547294.0,0.0,1.0,7.98,8.0,7.725,7.88,14547294.0
2017-07-06,8.32,8.41,8.0,8.04,14946234.0,0.0,1.0,8.32,8.41,8.0,8.04,14946234.0
2017-07-05,8.58,8.6,8.22,8.28,14557345.0,0.0,1.0,8.58,8.6,8.22,8.28,14557345.0
2017-07-03,8.3,8.83,8.29,8.67,10057809.0,0.0,1.0,8.3,8.83,8.29,8.67,10057809.0
2017-06-30,8.36,8.5,8.125,8.23,15636076.0,0.0,1.0,8.36,8.5,8.125,8.23,15636076.0
2017-06-29,8.26,8.55,8.14,8.31,21408155.0,0.0,1.0,8.26,8.55,8.14,8.31,21408155.0
2017-06-28,8.04,8.42,8.02,8.2,13059963.0,0.0,1.0,8.04,8.42,8.02,8.2,13059963.0
2017-06-27,8.23,8.34,8.05,8.07,12494268.0,0.0,1.0,8.23,8.34,8.05,8.07,12494268.0
2017-06-26,8.1,8.265,8.01,8.15,10914344.0,0.0,1.0,8.1,8.265,8.01,8.15,10914344.0
2017-06-23,7.96,8.12,7.885,8.09,13712832.0,0.0,1.0,7.96,8.12,7.885,8.09,13712832.0
2017-06-22,7.87,8.02,7.79,7.87,9578907.0,0.0,1.0,7.87,8.02,7.79,7.87,9578907.0
2017-06-21,8.16,8.18,7.67,7.79,18736125.0,0.0,1.0,8.16,8.18,7.67,7.79,18736125.0
2017-06-20,8.4,8.41,8.09,8.2,15287260.0,0.0,1.0,8.4,8.41,8.09,8.2,15287260.0
2017-06-19,8.61,8.68,8.49,8.56,8097744.0,0.0,1.0,8.61,8.68,8.49,8.56,8097744.0
2017-06-16,8.61,8.66,8.44,8.62,14754333.0,0.0,1.0,8.61,8.66,8.44,8.62,14754333.0
2017-06-15,8.55,8.8,8.465,8.56,10651639.0,0.0,1.0,8.55,8.8,8.465,8.56,10651639.0
2017-06-14,9.1,9.11,8.46,8.69,18327894.0,0.0,1.0,9.1,9.11,8.46,8.69,18327894.0
2017-06-13,8.87,9.21,8.85,9.16,12136650.0,0.0,1.0,8.87,9.21,8.85,9.16,12136650.0
2017-06-12,8.95,9.22,8.845,8.9,20538416.0,0.0,1.0,8.95,9.22,8.845,8.9,20538416.0
2017-06-09,8.5,8.94,8.38,8.81,23482539.0,0.0,1.0,8.5,8.94,8.38,8.81,23482539.0
2017-06-08,8.57,8.745,8.4,8.42,14973380.0,0.0,1.0,8.57,8.745,8.4,8.42,14973380.0
2017-06-07,9.01,9.14,8.475,8.59,18881433.0,0.0,1.0,9.01,9.14,8.475,8.59,18881433.0
2017-06-06,9.02,9.14,8.81,9.1,12166048.0,0.0,1.0,9.02,9.14,8.81,9.1,12166048.0
2017-06-05,8.96,9.21,8.93,9.07,10670241.0,0.0,1.0,8.96,9.21,8.93,9.07,10670241.0
2017-06-02,9.09,9.1,8.88,9.03,12474485.0,0.0,1.0,9.09,9.1,8.88,9.03,12474485.0
2017-06-01,9.1,9.355,9.08,9.23,16500860.0,0.0,1.0,9.1,9.355,9.08,9.23,16500860.0
2017-05-31,9.13,9.14,8.68,9.09,22015350.0,0.0,1.0,9.13,9.14,8.68,9.09,22015350.0
2017-05-30,9.56,9.7,9.25,9.26,13035639.0,0.0,1.0,9.56,9.7,9.25,9.26,13035639.0
2017-05-26,9.78,9.79,9.445,9.56,13797012.0,0.0,1.0,9.78,9.79,9.445,9.56,13797012.0
2017-05-25,10.33,10.51,9.63,9.65,21383895.0,0.0,1.0,10.33,10.51,9.63,9.65,21383895.0
2017-05-24,10.58,10.7,10.33,10.44,8992020.0,0.0,1.0,10.58,10.7,10.33,10.44,8992020.0
2017-05-23,10.5,10.73,10.44,10.61,8614909.0,0.0,1.0,10.5,10.73,10.44,10.61,8614909.0
2017-05-22,10.64,10.720999999999998,10.48,10.5,13064609.0,0.0,1.0,10.64,10.720999999999998,10.48,10.5,13064609.0
2017-05-19,10.54,10.645,10.45,10.52,17290916.0,0.0,1.0,10.54,10.645,10.45,10.52,17290916.0
2017-05-18,10.25,10.6,10.21,10.46,9075225.0,0.0,1.0,10.25,10.6,10.21,10.46,9075225.0
2017-05-17,10.54,10.62,10.25,10.39,11353487.0,0.0,1.0,10.54,10.62,10.25,10.39,11353487.0
2017-05-16,10.93,11.0,10.64,10.69,10120258.0,0.0,1.0,10.93,11.0,10.64,10.69,10120258.0
2017-05-15,10.99,11.135,10.7,10.8,14186152.0,0.0,1.0,10.99,11.135,10.7,10.8,14186152.0
2017-05-12,11.07,11.07,10.54,10.62,8913292.0,0.0,1.0,11.07,11.07,10.54,10.62,8913292.0
2017-05-11,11.29,11.39,11.07,11.08,7720911.0,0.0,1.0,11.29,11.39,11.07,11.08,7720911.0
2017-05-10,11.08,11.3,11.015,11.17,11122206.0,0.0,1.0,11.08,11.3,11.015,11.17,11122206.0
2017-05-09,11.16,11.19,10.88,10.96,9612080.0,0.0,1.0,11.16,11.19,10.88,10.96,9612080.0
2017-05-08,11.15,11.29,11.01,11.14,9223571.0,0.0,1.0,11.15,11.29,11.01,11.14,9223571.0
2017-05-05,10.42,11.19,10.41,11.18,16448054.0,0.0,1.0,10.42,11.19,10.41,11.18,16448054.0
2017-05-04,10.51,10.55,10.03,10.34,19874109.0,0.0,1.0,10.51,10.55,10.03,10.34,19874109.0
2017-05-03,10.4,10.91,10.2,10.76,27222956.0,0.0,1.0,10.4,10.91,10.2,10.76,27222956.0
2017-05-02,10.75,10.77,10.39,10.42,10689040.0,0.0,1.0,10.75,10.77,10.39,10.42,10689040.0
2017-05-01,11.0,11.025,10.65,10.66,10134873.0,0.0,1.0,11.0,11.025,10.65,10.66,10134873.0
