Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,51.75,51.93,50.19,50.42,512628.0,0.0,1.0,51.75,51.93,50.19,50.42,512628.0
2018-03-26,50.69,51.73,50.54,51.62,524162.0,0.0,1.0,50.69,51.73,50.54,51.62,524162.0
2018-03-23,50.46,51.16,50.02,50.04,414155.0,0.0,1.0,50.46,51.16,50.02,50.04,414155.0
2018-03-22,51.52,51.81,50.7,50.72,465671.0,0.0,1.0,51.52,51.81,50.7,50.72,465671.0
2018-03-21,51.96,52.2757,51.62,51.8,367125.0,0.0,1.0,51.96,52.2757,51.62,51.8,367125.0
2018-03-20,51.44,52.06,51.44,51.97,249916.0,0.0,1.0,51.44,52.06,51.44,51.97,249916.0
2018-03-19,51.48,51.95,51.24,51.47,496747.0,0.0,1.0,51.48,51.95,51.24,51.47,496747.0
2018-03-16,51.39,51.62,51.01,51.46,1043907.0,0.0,1.0,51.39,51.62,51.01,51.46,1043907.0
2018-03-15,51.62,51.88,51.16,51.33,349397.0,0.0,1.0,51.62,51.88,51.16,51.33,349397.0
2018-03-14,52.31,52.35,51.56,51.71,464851.0,0.0,1.0,52.31,52.35,51.56,51.71,464851.0
2018-03-13,52.83,53.0,52.13,52.23,363990.0,0.0,1.0,52.83,53.0,52.13,52.23,363990.0
2018-03-12,53.0,53.0,52.54,52.82,375485.0,0.0,1.0,53.0,53.0,52.54,52.82,375485.0
2018-03-09,52.32,52.93,52.27,52.87,430096.0,0.0,1.0,52.32,52.93,52.27,52.87,430096.0
2018-03-08,52.37,52.74,51.73,52.23,500544.0,0.0,1.0,52.37,52.74,51.73,52.23,500544.0
2018-03-07,50.8,52.26,50.77,52.21,1217840.0,0.0,1.0,50.8,52.26,50.77,52.21,1217840.0
2018-03-06,50.3,51.24,50.25,51.24,1302426.0,0.0,1.0,50.3,51.24,50.25,51.24,1302426.0
2018-03-05,49.49,50.43,49.2842,50.25,634502.0,0.0,1.0,49.49,50.43,49.2842,50.25,634502.0
2018-03-02,49.2,49.72,49.02,49.66,497340.0,0.0,1.0,49.2,49.72,49.02,49.66,497340.0
2018-03-01,50.31,50.36,49.18,49.45,714152.0,0.0,1.0,50.31,50.36,49.18,49.45,714152.0
2018-02-28,50.91,51.08,50.27,50.27,1005234.0,0.0,1.0,50.91,51.08,50.27,50.27,1005234.0
2018-02-27,51.39,51.49,50.64,50.92,925029.0,0.0,1.0,51.39,51.49,50.64,50.92,925029.0
2018-02-26,51.41,51.42,50.83,51.42,560714.0,0.0,1.0,51.41,51.42,50.83,51.42,560714.0
2018-02-23,50.52,51.18,49.97,51.18,1027266.0,0.0,1.0,50.52,51.18,49.97,51.18,1027266.0
2018-02-22,50.0,50.71,50.0,50.38,933239.0,0.0,1.0,50.0,50.71,50.0,50.38,933239.0
2018-02-21,49.92,50.25,49.55,49.98,1297950.0,0.0,1.0,49.92,50.25,49.55,49.98,1297950.0
2018-02-20,49.57,50.2,49.26,49.95,881193.0,0.0,1.0,49.57,50.2,49.26,49.95,881193.0
2018-02-16,48.68,50.11,48.68,49.89,716184.0,0.0,1.0,48.68,50.11,48.68,49.89,716184.0
2018-02-15,48.51,48.79,48.28,48.75,828609.0,0.0,1.0,48.51,48.79,48.28,48.75,828609.0
2018-02-14,47.05,48.34,46.92,48.2,700741.0,0.0,1.0,47.05,48.34,46.92,48.2,700741.0
2018-02-13,47.05,47.43,46.838,47.18,649615.0,0.0,1.0,47.05,47.43,46.838,47.18,649615.0
2018-02-12,46.31,47.265,46.2,47.08,1077164.0,0.0,1.0,46.31,47.265,46.2,47.08,1077164.0
2018-02-09,45.94,46.46,44.71,45.84,881827.0,0.0,1.0,45.94,46.46,44.71,45.84,881827.0
2018-02-08,47.69,47.69,45.45,45.46,780999.0,0.0,1.0,47.69,47.69,45.45,45.46,780999.0
2018-02-07,46.75,48.06,46.5,47.64,691707.0,0.0,1.0,46.75,48.06,46.5,47.64,691707.0
2018-02-06,46.19,47.19,45.581,46.86,822588.0,0.0,1.0,46.19,47.19,45.581,46.86,822588.0
2018-02-05,48.15,48.24,46.77,46.8,837537.0,0.0,1.0,48.15,48.24,46.77,46.8,837537.0
2018-02-02,48.85,48.94,48.18,48.2,700308.0,0.0,1.0,48.85,48.94,48.18,48.2,700308.0
2018-02-01,49.31,49.4,48.72,49.16,534748.0,0.0,1.0,49.31,49.4,48.72,49.16,534748.0
2018-01-31,50.0,50.3,49.22,49.34,776047.0,0.0,1.0,50.0,50.3,49.22,49.34,776047.0
2018-01-30,50.09,50.44,49.3,49.7,702818.0,0.0,1.0,50.09,50.44,49.3,49.7,702818.0
2018-01-29,50.5,50.815,50.23,50.24,471697.0,0.0,1.0,50.5,50.815,50.23,50.24,471697.0
