Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,48.05,48.05,47.04,47.3,1505528.0,0.0,1.0,48.05,48.05,47.04,47.3,1505528.0
2018-03-26,47.57,47.96,47.02,47.92,807098.0,0.0,1.0,47.57,47.96,47.02,47.92,807098.0
2018-03-23,48.0,48.44,46.925,47.0,581750.0,0.0,1.0,48.0,48.44,46.925,47.0,581750.0
2018-03-22,48.67,49.29,47.87,47.88,1643722.0,0.0,1.0,48.67,49.29,47.87,47.88,1643722.0
2018-03-21,48.75,49.56,48.555,49.16,1168415.0,0.0,1.0,48.75,49.56,48.555,49.16,1168415.0
2018-03-20,48.77,49.07,48.41,48.66,1213951.0,0.0,1.0,48.77,49.07,48.41,48.66,1213951.0
2018-03-19,49.22,49.29,48.3,48.6,841537.0,0.0,1.0,49.22,49.29,48.3,48.6,841537.0
2018-03-16,47.88,49.75,47.88,49.63,2726928.0,0.0,1.0,47.88,49.75,47.88,49.63,2726928.0
2018-03-15,50.7,51.0199,50.23,50.39,475336.0,0.0,1.0,50.7,51.0199,50.23,50.39,475336.0
2018-03-14,51.72,51.87,50.63,50.72,606014.0,0.0,1.0,51.72,51.87,50.63,50.72,606014.0
2018-03-13,51.9,52.08,51.195,51.47,609137.0,0.0,1.0,51.9,52.08,51.195,51.47,609137.0
2018-03-12,52.28,52.65,51.52,51.73,727971.0,0.0,1.0,52.28,52.65,51.52,51.73,727971.0
2018-03-09,51.56,52.4,51.51,52.3,516369.0,0.0,1.0,51.56,52.4,51.51,52.3,516369.0
2018-03-08,51.41,51.51,50.98,51.44,535762.0,0.0,1.0,51.41,51.51,50.98,51.44,535762.0
2018-03-07,50.92,51.72,50.92,51.37,770051.0,0.0,1.0,50.92,51.72,50.92,51.37,770051.0
2018-03-06,50.48,51.76,50.14,51.37,755217.0,0.0,1.0,50.48,51.76,50.14,51.37,755217.0
2018-03-05,49.21,50.48,49.21,50.29,457702.0,0.0,1.0,49.21,50.48,49.21,50.29,457702.0
2018-03-02,49.55,49.82,49.19,49.55,672386.0,0.0,1.0,49.55,49.82,49.19,49.55,672386.0
2018-03-01,49.83,50.61,49.73,49.96,1099568.0,0.0,1.0,49.83,50.61,49.73,49.96,1099568.0
2018-02-28,50.57,50.57,49.75,49.77,1003505.0,0.0,1.0,50.57,50.57,49.75,49.77,1003505.0
2018-02-27,50.98,51.1599,50.4,50.42,538497.0,0.0,1.0,50.98,51.1599,50.4,50.42,538497.0
2018-02-26,50.41,51.04,50.14,50.9,1489941.0,0.0,1.0,50.41,51.04,50.14,50.9,1489941.0
2018-02-23,50.28,50.34,49.77,50.33,828895.0,0.0,1.0,50.28,50.34,49.77,50.33,828895.0
2018-02-22,50.18,50.37,49.86,49.95,706896.0,0.0,1.0,50.18,50.37,49.86,49.95,706896.0
2018-02-21,50.27,50.6017,49.92,49.95,1174149.0,0.0,1.0,50.27,50.6017,49.92,49.95,1174149.0
2018-02-20,50.67,50.92,50.05,50.2,1023198.0,0.0,1.0,50.67,50.92,50.05,50.2,1023198.0
2018-02-16,50.6,51.08,50.46,50.86,805514.0,0.0,1.0,50.6,51.08,50.46,50.86,805514.0
2018-02-15,50.55,50.7,49.895,50.69,934086.0,0.0,1.0,50.55,50.7,49.895,50.69,934086.0
2018-02-14,49.18,50.27,49.14,50.22,750971.0,0.0,1.0,49.18,50.27,49.14,50.22,750971.0
