Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,85.53,85.53,83.82,84.26,604449.0,0.0,1.0,85.53,85.53,83.82,84.26,604449.0
2018-03-26,84.25,85.18,83.0,84.9,686447.0,0.0,1.0,84.25,85.18,83.0,84.9,686447.0
2018-03-23,84.01,84.86,82.59,82.59,699801.0,0.0,1.0,84.01,84.86,82.59,82.59,699801.0
2018-03-22,88.44,88.52,83.61,83.69,1003157.0,0.0,1.0,88.44,88.52,83.61,83.69,1003157.0
2018-03-21,88.0,90.46,87.92,89.61,357150.0,0.0,1.0,88.0,90.46,87.92,89.61,357150.0
2018-03-20,88.93,89.09,87.23,87.55,735203.0,0.0,1.0,88.93,89.09,87.23,87.55,735203.0
2018-03-19,90.55,90.55,88.16,88.89,322780.0,0.0,1.0,90.55,90.55,88.16,88.89,322780.0
2018-03-16,90.16,92.355,88.89,90.76,706473.0,0.0,1.0,90.16,92.355,88.89,90.76,706473.0
2018-03-15,91.07,91.35,89.79,89.88,486890.0,0.0,1.0,91.07,91.35,89.79,89.88,486890.0
2018-03-14,94.35,94.35,90.95,91.16,578497.0,0.0,1.0,94.35,94.35,90.95,91.16,578497.0
2018-03-13,94.08,95.08,93.24,93.29,558043.0,0.0,1.0,94.08,95.08,93.24,93.29,558043.0
2018-03-12,92.66,94.15,92.66,93.86,467066.0,0.0,1.0,92.66,94.15,92.66,93.86,467066.0
2018-03-09,93.06,93.5017,91.78,92.62,483607.0,0.0,1.0,93.06,93.5017,91.78,92.62,483607.0
2018-03-08,94.37,94.54,91.09,92.06,495483.0,0.0,1.0,94.37,94.54,91.09,92.06,495483.0
2018-03-07,92.05,94.87,91.921,94.31,750211.0,0.0,1.0,92.05,94.87,91.921,94.31,750211.0
2018-03-06,93.5,93.86,92.19,92.83,581523.0,0.0,1.0,93.5,93.86,92.19,92.83,581523.0
2018-03-05,92.02,93.85,91.99,93.16,356442.0,0.0,1.0,92.02,93.85,91.99,93.16,356442.0
2018-03-02,92.96,93.3999,91.03,92.81,590248.0,0.0,1.0,92.96,93.3999,91.03,92.81,590248.0
2018-03-01,90.95,94.09,90.805,93.62,1373354.0,0.0,1.0,90.95,94.09,90.805,93.62,1373354.0
2018-02-28,93.23,93.69,90.13,90.17,404895.0,0.0,1.0,93.23,93.69,90.13,90.17,404895.0
2018-02-27,93.1,93.42,92.46799999999999,92.82,551816.0,0.0,1.0,93.1,93.42,92.46799999999999,92.82,551816.0
2018-02-26,93.28,93.68299999999999,91.86,93.32,461000.0,0.0,1.0,93.28,93.68299999999999,91.86,93.32,461000.0
2018-02-23,91.78,92.34,90.83,92.29,212367.0,0.0,1.0,91.78,92.34,90.83,92.29,212367.0
2018-02-22,92.52,92.52,90.53,91.37,389547.0,0.0,1.0,92.52,92.52,90.53,91.37,389547.0
