Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,35.01,35.79,34.87,35.23,748456.0,0.0,1.0,35.01,35.79,34.87,35.23,748456.0
2018-03-26,35.11,35.13,34.7,35.02,822070.0,0.0,1.0,35.11,35.13,34.7,35.02,822070.0
2018-03-23,35.64,35.77,34.64,34.68,700850.0,0.0,1.0,35.64,35.77,34.64,34.68,700850.0
2018-03-22,35.37,36.31,35.315,35.77,1054696.0,0.0,1.0,35.37,36.31,35.315,35.77,1054696.0
2018-03-21,35.46,35.75,35.33,35.4,698009.0,0.0,1.0,35.46,35.75,35.33,35.4,698009.0
2018-03-20,35.29,35.57,35.24,35.38,616959.0,0.0,1.0,35.29,35.57,35.24,35.38,616959.0
2018-03-19,35.5,35.552,35.0,35.3,417510.0,0.0,1.0,35.5,35.552,35.0,35.3,417510.0
2018-03-16,35.25,35.61,34.98,35.56,1060321.0,0.0,1.0,35.25,35.61,34.98,35.56,1060321.0
2018-03-15,35.05,35.35,35.0,35.22,667281.0,0.0,1.0,35.05,35.35,35.0,35.22,667281.0
2018-03-14,35.52,35.66,35.27,35.29,656182.0,0.0,1.0,35.52,35.66,35.27,35.29,656182.0
2018-03-13,35.46,35.94,35.42,35.49,655831.0,0.0,1.0,35.46,35.94,35.42,35.49,655831.0
2018-03-12,34.97,35.48,34.97,35.42,630435.0,0.0,1.0,34.97,35.48,34.97,35.42,630435.0
2018-03-09,34.97,35.16,34.72,35.02,789753.0,0.0,1.0,34.97,35.16,34.72,35.02,789753.0
2018-03-08,34.8,35.01,34.6271,35.0,719152.0,0.0,1.0,34.8,35.01,34.6271,35.0,719152.0
2018-03-07,34.44,34.8,34.29,34.68,783009.0,0.0,1.0,34.44,34.8,34.29,34.68,783009.0
2018-03-06,34.41,34.62,33.99,34.55,783229.0,0.0,1.0,34.41,34.62,33.99,34.55,783229.0
2018-03-05,34.02,34.59,34.0,34.25,1205817.0,0.0,1.0,34.02,34.59,34.0,34.25,1205817.0
2018-03-02,33.67,34.29,33.51,34.2,647039.0,0.0,1.0,33.67,34.29,33.51,34.2,647039.0
2018-03-01,33.98,34.17,33.46,33.86,986176.0,0.0,1.0,33.98,34.17,33.46,33.86,986176.0
2018-02-28,34.3,34.55,33.99,33.99,649484.0,0.0,1.0,34.3,34.55,33.99,33.99,649484.0
2018-02-27,34.5,34.72,34.145,34.17,691536.0,0.0,1.0,34.5,34.72,34.145,34.17,691536.0
