Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,37.91,38.17,37.32,37.43,974151.0,0.0,1.0,37.91,38.17,37.32,37.43,974151.0
2018-03-26,37.5,37.84,37.23,37.72,1149940.0,0.0,1.0,37.5,37.84,37.23,37.72,1149940.0
2018-03-23,37.78,38.02,37.01,37.03,722327.0,0.0,1.0,37.78,38.02,37.01,37.03,722327.0
2018-03-22,38.46,38.57,37.67,37.67,877090.0,0.0,1.0,38.46,38.57,37.67,37.67,877090.0
2018-03-21,38.7,38.87,38.46,38.65,558094.0,0.0,1.0,38.7,38.87,38.46,38.65,558094.0
2018-03-20,38.86,39.15,38.63,38.66,1015039.0,0.0,1.0,38.86,39.15,38.63,38.66,1015039.0
2018-03-19,38.79,38.89,38.45,38.74,596756.0,0.0,1.0,38.79,38.89,38.45,38.74,596756.0
2018-03-16,38.74,39.11,38.74,38.84,1234363.0,0.0,1.0,38.74,39.11,38.74,38.84,1234363.0
2018-03-15,38.83,39.0,38.65,38.67,462460.0,0.0,1.0,38.83,39.0,38.65,38.67,462460.0
2018-03-14,38.97,39.07,38.7414,38.81,665936.0,0.0,1.0,38.97,39.07,38.7414,38.81,665936.0
2018-03-13,39.34,39.47,38.9,38.97,534997.0,0.0,1.0,39.34,39.47,38.9,38.97,534997.0
2018-03-12,39.37,39.78,39.12,39.23,933411.0,0.0,1.0,39.37,39.78,39.12,39.23,933411.0
2018-03-09,38.82,39.35,38.76,39.3,1473111.0,0.0,1.0,38.82,39.35,38.76,39.3,1473111.0
2018-03-08,38.78,38.86,38.37,38.63,659339.0,0.0,1.0,38.78,38.86,38.37,38.63,659339.0
2018-03-07,38.44,38.75,38.25,38.58,1366677.0,0.0,1.0,38.44,38.75,38.25,38.58,1366677.0
2018-03-06,38.27,38.65,37.97,38.64,1169510.0,0.0,1.0,38.27,38.65,37.97,38.64,1169510.0
2018-03-05,37.62,38.4,37.5,38.21,1093571.0,0.0,1.0,37.62,38.4,37.5,38.21,1093571.0
2018-03-02,37.26,37.89,36.95,37.82,788675.0,0.0,1.0,37.26,37.89,36.95,37.82,788675.0
2018-03-01,37.53,37.78,37.09,37.41,1022428.0,0.0,1.0,37.53,37.78,37.09,37.41,1022428.0
2018-02-28,38.07,38.23,37.41,37.43,910874.0,0.0,1.0,38.07,38.23,37.41,37.43,910874.0
2018-02-27,38.46,38.67,37.99,37.99,858472.0,0.0,1.0,38.46,38.67,37.99,37.99,858472.0
2018-02-26,38.16,38.63,37.9,38.35,938267.0,0.0,1.0,38.16,38.63,37.9,38.35,938267.0
2018-02-23,37.81,38.13,37.76,38.13,765256.0,0.0,1.0,37.81,38.13,37.76,38.13,765256.0
2018-02-22,38.15,38.1574,37.6,37.77,1141222.0,0.0,1.0,38.15,38.1574,37.6,37.77,1141222.0
2018-02-21,38.5,38.8,37.94,37.96,1468150.0,0.0,1.0,38.5,38.8,37.94,37.96,1468150.0
2018-02-20,38.75,38.96,38.38,38.45,842969.0,0.0,1.0,38.75,38.96,38.38,38.45,842969.0
2018-02-16,38.61,39.1999,38.54,38.85,1075539.0,0.0,1.0,38.61,39.1999,38.54,38.85,1075539.0
2018-02-15,37.92,38.78,37.59,38.6,1728419.0,0.0,1.0,37.92,38.78,37.59,38.6,1728419.0
2018-02-14,37.6,38.0,36.97,37.62,3599862.0,0.0,1.0,37.6,38.0,36.97,37.62,3599862.0
2018-02-13,37.56,37.78,37.28,37.65,1568493.0,0.0,1.0,37.56,37.78,37.28,37.65,1568493.0
2018-02-12,36.92,37.93,36.85,37.7,1794480.0,0.0,1.0,36.92,37.93,36.85,37.7,1794480.0
2018-02-09,37.52,37.52,35.65,36.7,3122023.0,0.0,1.0,37.52,37.52,35.65,36.7,3122023.0
2018-02-08,38.33,38.52,37.23,37.24,1535153.0,0.0,1.0,38.33,38.52,37.23,37.24,1535153.0
2018-02-07,37.78,38.56,37.68,38.31,1252795.0,0.0,1.0,37.78,38.56,37.68,38.31,1252795.0
2018-02-06,36.96,38.25,36.54,37.9,2487494.0,0.0,1.0,36.96,38.25,36.54,37.9,2487494.0
2018-02-05,38.99,39.17,37.59,37.7,3515886.0,0.0,1.0,38.99,39.17,37.59,37.7,3515886.0
2018-02-02,40.0,40.23,39.2,39.2,1241151.0,0.0,1.0,40.0,40.23,39.2,39.2,1241151.0
2018-02-01,39.92,40.28,39.55,40.13,1815712.0,0.0,1.0,39.92,40.28,39.55,40.13,1815712.0
2018-01-31,39.97,40.19,39.83,39.97,1204098.0,0.0,1.0,39.97,40.19,39.83,39.97,1204098.0
2018-01-30,39.44,40.07,39.36,39.82,952411.0,0.0,1.0,39.44,40.07,39.36,39.82,952411.0
2018-01-29,39.67,40.02,39.515,39.73,838613.0,0.0,1.0,39.67,40.02,39.515,39.73,838613.0
2018-01-26,39.94,39.99,39.49,39.75,967466.0,0.0,1.0,39.94,39.99,39.49,39.75,967466.0
2018-01-25,39.71,39.94,39.51,39.94,653498.0,0.0,1.0,39.71,39.94,39.51,39.94,653498.0
2018-01-24,39.66,39.68,39.34,39.64,508599.0,0.0,1.0,39.66,39.68,39.34,39.64,508599.0
2018-01-23,39.54,39.64,39.4,39.5,728610.0,0.0,1.0,39.54,39.64,39.4,39.5,728610.0
