Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,6.35,6.37,6.16,6.2,19384205.0,0.0,1.0,6.35,6.37,6.16,6.2,19384205.0
2018-03-26,6.265,6.32,6.2,6.32,16027621.0,0.0,1.0,6.265,6.32,6.2,6.32,16027621.0
2018-03-23,6.26,6.325,6.17,6.17,17221574.0,0.0,1.0,6.26,6.325,6.17,6.17,17221574.0
2018-03-22,6.24,6.34,6.24,6.26,14131135.0,0.0,1.0,6.24,6.34,6.24,6.26,14131135.0
2018-03-21,6.32,6.43,6.32,6.37,14991232.0,0.0,1.0,6.32,6.43,6.32,6.37,14991232.0
2018-03-20,6.34,6.38,6.31,6.32,12284916.0,0.0,1.0,6.34,6.38,6.31,6.32,12284916.0
2018-03-19,6.45,6.45,6.3,6.35,15770177.0,0.0,1.0,6.45,6.45,6.3,6.35,15770177.0
2018-03-16,6.46,6.49,6.41,6.48,20268492.0,0.0,1.0,6.46,6.49,6.41,6.48,20268492.0
2018-03-15,6.49,6.5,6.39,6.4,12270871.0,0.0,1.0,6.49,6.5,6.39,6.4,12270871.0
2018-03-14,6.56,6.56,6.4,6.48,22264082.0,0.0,1.0,6.56,6.56,6.4,6.48,22264082.0
2018-03-13,6.62,6.62,6.51,6.53,13258088.0,0.0,1.0,6.62,6.62,6.51,6.53,13258088.0
2018-03-12,6.54,6.61,6.49,6.6,12967407.0,0.0,1.0,6.54,6.61,6.49,6.6,12967407.0
2018-03-09,6.48,6.55,6.47,6.54,12334201.0,0.0,1.0,6.48,6.55,6.47,6.54,12334201.0
2018-03-08,6.5,6.51,6.44,6.48,11152204.0,0.0,1.0,6.5,6.51,6.44,6.48,11152204.0
2018-03-07,6.37,6.54,6.33,6.47,20258640.0,0.0,1.0,6.37,6.54,6.33,6.47,20258640.0
2018-03-06,6.35,6.375,6.27,6.36,15614158.0,0.0,1.0,6.35,6.375,6.27,6.36,15614158.0
2018-03-05,6.26,6.35,6.24,6.32,12715481.0,0.0,1.0,6.26,6.35,6.24,6.32,12715481.0
2018-03-02,6.23,6.32,6.21,6.3,22370643.0,0.0,1.0,6.23,6.32,6.21,6.3,22370643.0
2018-03-01,6.2,6.38,6.18,6.29,36371428.0,0.0,1.0,6.2,6.38,6.18,6.29,36371428.0
