Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,47.68,47.86,47.24,47.52,807063.0,0.0,1.0,47.68,47.86,47.24,47.52,807063.0
2018-03-26,47.37,47.6,46.96,47.51,537442.0,0.0,1.0,47.37,47.6,46.96,47.51,537442.0
2018-03-23,46.99,47.411,46.64,46.65,685907.0,0.0,1.0,46.99,47.411,46.64,46.65,685907.0
2018-03-22,47.63,48.01,46.55,46.6,457509.0,0.0,1.0,47.63,48.01,46.55,46.6,457509.0
2018-03-21,47.74,48.35,47.58,47.93,443999.0,0.0,1.0,47.74,48.35,47.58,47.93,443999.0
2018-03-20,47.79,47.92,47.52,47.67,347968.0,0.0,1.0,47.79,47.92,47.52,47.67,347968.0
2018-03-19,48.1,48.56,47.64,47.76,426953.0,0.0,1.0,48.1,48.56,47.64,47.76,426953.0
2018-03-16,48.35,48.52,47.56,48.16,2849070.0,0.0,1.0,48.35,48.52,47.56,48.16,2849070.0
2018-03-15,48.77,48.84,47.92,48.32,578752.0,0.0,1.0,48.77,48.84,47.92,48.32,578752.0
2018-03-14,49.11,49.22,48.37,48.67,338870.0,0.0,1.0,49.11,49.22,48.37,48.67,338870.0
2018-03-13,49.07,49.49,48.93,49.08,277038.0,0.0,1.0,49.07,49.49,48.93,49.08,277038.0
2018-03-12,48.95,49.2,48.8,48.88,429697.0,0.0,1.0,48.95,49.2,48.8,48.88,429697.0
2018-03-09,48.89,49.01,48.4,49.0,484208.0,0.0,1.0,48.89,49.01,48.4,49.0,484208.0
2018-03-08,49.05,49.24,48.49,48.71,348252.0,0.0,1.0,49.05,49.24,48.49,48.71,348252.0
2018-03-07,48.49,49.14,48.47,48.88,434037.0,0.0,1.0,48.49,49.14,48.47,48.88,434037.0
2018-03-06,48.2,49.01,47.89,48.85,409633.0,0.0,1.0,48.2,49.01,47.89,48.85,409633.0
2018-03-05,47.92,48.4,47.81,48.09,412952.0,0.0,1.0,47.92,48.4,47.81,48.09,412952.0
2018-03-02,47.15,48.27,47.0,48.2,469819.0,0.0,1.0,47.15,48.27,47.0,48.2,469819.0
2018-03-01,47.91,48.15,47.19,47.44,284621.0,0.0,1.0,47.91,48.15,47.19,47.44,284621.0
2018-02-28,48.72,48.86,47.96,47.97,263770.0,0.0,1.0,48.72,48.86,47.96,47.97,263770.0
2018-02-27,48.91,49.08,48.57,48.58,465332.0,0.0,1.0,48.91,49.08,48.57,48.58,465332.0
2018-02-26,49.35,49.55,48.98,49.32,320998.0,0.0,1.0,49.35,49.55,48.98,49.32,320998.0
2018-02-23,48.46,49.25,48.46,49.1,378240.0,0.0,1.0,48.46,49.25,48.46,49.1,378240.0
2018-02-22,48.75,49.1,48.29,48.37,263156.0,0.0,1.0,48.75,49.1,48.29,48.37,263156.0
2018-02-21,49.19,49.4,48.58,48.59,285347.0,0.0,1.0,49.19,49.4,48.58,48.59,285347.0
2018-02-20,49.69,50.02,48.93,49.13,599954.0,0.0,1.0,49.69,50.02,48.93,49.13,599954.0
2018-02-16,48.59,50.24,48.59,49.91,535464.0,0.0,1.0,48.59,50.24,48.59,49.91,535464.0
2018-02-15,51.58,51.58,48.48,48.81,742989.0,0.0,1.0,51.58,51.58,48.48,48.81,742989.0
2018-02-14,49.94,50.83,49.745,50.83,339722.0,0.0,1.0,49.94,50.83,49.745,50.83,339722.0
2018-02-13,50.08,50.3599,49.841,50.19,549460.0,0.0,1.0,50.08,50.3599,49.841,50.19,549460.0
2018-02-12,50.18,50.75,49.89,50.32,391162.0,0.0,1.0,50.18,50.75,49.89,50.32,391162.0
2018-02-09,50.64,50.685,48.9,49.95,453133.0,0.0,1.0,50.64,50.685,48.9,49.95,453133.0
2018-02-08,51.65,51.65,50.17,50.2,340345.0,0.0,1.0,51.65,51.65,50.17,50.2,340345.0
2018-02-07,51.4,52.36,51.4,51.68,483593.0,0.0,1.0,51.4,52.36,51.4,51.68,483593.0
2018-02-06,50.53,51.64,49.91,51.42,554335.0,0.0,1.0,50.53,51.64,49.91,51.42,554335.0
2018-02-05,52.48,53.04,51.25,51.34,538800.0,0.0,1.0,52.48,53.04,51.25,51.34,538800.0
2018-02-02,53.17,53.5,52.88,53.0,331067.0,0.0,1.0,53.17,53.5,52.88,53.0,331067.0
2018-02-01,54.09,54.24,53.5,53.52,470278.0,0.0,1.0,54.09,54.24,53.5,53.52,470278.0
2018-01-31,55.01,55.01,53.71,54.31,1270488.0,0.0,1.0,55.01,55.01,53.71,54.31,1270488.0
2018-01-30,54.28,55.13,54.2,54.92,621141.0,0.0,1.0,54.28,55.13,54.2,54.92,621141.0
2018-01-29,55.31,55.4275,54.48,54.48,401678.0,0.0,1.0,55.31,55.4275,54.48,54.48,401678.0
2018-01-26,55.33,55.4,54.7056,55.21,421383.0,0.0,1.0,55.33,55.4,54.7056,55.21,421383.0
2018-01-25,54.47,55.34,54.195,55.3,535315.0,0.0,1.0,54.47,55.34,54.195,55.3,535315.0
