Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,89.1,91.67,88.3,90.56,420568.0,0.0,1.0,89.1,91.67,88.3,90.56,420568.0
2018-03-26,89.09,89.63,88.5,89.09,444387.0,0.0,1.0,89.09,89.63,88.5,89.09,444387.0
2018-03-23,89.24,89.73,88.34,88.65,687254.0,0.0,1.0,89.24,89.73,88.34,88.65,687254.0
2018-03-22,89.33,91.07,89.17,89.4,508156.0,0.0,1.0,89.33,91.07,89.17,89.4,508156.0
2018-03-21,89.83,90.13,88.97,89.61,690354.0,0.0,1.0,89.83,90.13,88.97,89.61,690354.0
2018-03-20,89.83,90.55,89.47,89.83,386762.0,0.0,1.0,89.83,90.55,89.47,89.83,386762.0
2018-03-19,89.92,90.13,89.34,89.81,503083.0,0.0,1.0,89.92,90.13,89.34,89.81,503083.0
2018-03-16,89.76,90.4372,89.455,90.31,411701.0,0.0,1.0,89.76,90.4372,89.455,90.31,411701.0
2018-03-15,89.48,90.06,89.06,89.81,585185.0,0.0,1.0,89.48,90.06,89.06,89.81,585185.0
2018-03-14,89.1,89.635,88.48,89.41,356339.0,0.0,1.0,89.1,89.635,88.48,89.41,356339.0
2018-03-13,89.34,89.75,88.22,88.57,262865.0,0.0,1.0,89.34,89.75,88.22,88.57,262865.0
2018-03-12,88.67,89.39,88.34,88.86,501911.0,0.0,1.0,88.67,89.39,88.34,88.86,501911.0
2018-03-09,87.89,88.99,87.44,88.96,403224.0,0.0,1.0,87.89,88.99,87.44,88.96,403224.0
2018-03-08,87.49,88.2,87.25,87.95,252520.0,0.0,1.0,87.49,88.2,87.25,87.95,252520.0
2018-03-07,87.22,88.08,86.22,87.25,368349.0,0.0,1.0,87.22,88.08,86.22,87.25,368349.0
2018-03-06,86.79,87.43,86.065,87.19,532871.0,0.0,1.0,86.79,87.43,86.065,87.19,532871.0
2018-03-05,87.07,87.81,86.71,87.01,597854.0,0.0,1.0,87.07,87.81,86.71,87.01,597854.0
2018-03-02,86.78,87.24,86.22,86.93,453088.0,0.0,1.0,86.78,87.24,86.22,86.93,453088.0
2018-03-01,87.14,88.92,86.75,87.38,440832.0,0.0,1.0,87.14,88.92,86.75,87.38,440832.0
2018-02-28,87.28,88.75,86.96,87.56,441244.0,0.0,1.0,87.28,88.75,86.96,87.56,441244.0
2018-02-27,88.81,89.15,86.65,86.83,463819.0,0.0,1.0,88.81,89.15,86.65,86.83,463819.0
2018-02-26,89.33,89.4158,88.6,88.97,381781.0,0.0,1.0,89.33,89.4158,88.6,88.97,381781.0
2018-02-23,88.1,89.2,87.29,89.03,302658.0,0.0,1.0,88.1,89.2,87.29,89.03,302658.0
2018-02-22,85.38,88.82,84.66,87.64,568445.0,0.0,1.0,85.38,88.82,84.66,87.64,568445.0
2018-02-21,85.64,86.45,84.71,84.89,427572.0,0.0,1.0,85.64,86.45,84.71,84.89,427572.0
2018-02-20,87.08,87.48,85.5,85.57,426208.0,0.0,1.0,87.08,87.48,85.5,85.57,426208.0
2018-02-16,86.79,87.45,86.19,87.24,314499.0,0.0,1.0,86.79,87.45,86.19,87.24,314499.0
2018-02-15,85.14,86.825,85.12,86.52,452592.0,0.0,1.0,85.14,86.825,85.12,86.52,452592.0
2018-02-14,85.37,85.73,83.9301,85.02,498499.0,0.0,1.0,85.37,85.73,83.9301,85.02,498499.0
2018-02-13,85.14,86.07,84.07,85.74,393111.0,0.0,1.0,85.14,86.07,84.07,85.74,393111.0
2018-02-12,84.91,85.46,82.04,85.28,458561.0,0.0,1.0,84.91,85.46,82.04,85.28,458561.0
2018-02-09,84.06,85.32,82.62,84.7,514739.0,0.0,1.0,84.06,85.32,82.62,84.7,514739.0
2018-02-08,85.45,86.46,83.96,83.96,400497.0,0.0,1.0,85.45,86.46,83.96,83.96,400497.0
2018-02-07,84.77,87.21,84.38,85.53,527626.0,0.0,1.0,84.77,87.21,84.38,85.53,527626.0
2018-02-06,83.8,84.8,80.12,84.4,630931.0,0.0,1.0,83.8,84.8,80.12,84.4,630931.0
2018-02-05,87.22,87.68,84.14,84.32,444043.0,0.0,1.0,87.22,87.68,84.14,84.32,444043.0
2018-02-02,86.86,87.86,86.53,87.32,441832.0,0.0,1.0,86.86,87.86,86.53,87.32,441832.0
2018-02-01,88.8,89.24,87.38,87.61,382554.0,0.0,1.0,88.8,89.24,87.38,87.61,382554.0
2018-01-31,88.45,89.22,88.06,88.84,626277.0,0.0,1.0,88.45,89.22,88.06,88.84,626277.0
2018-01-30,87.92,88.93,87.445,88.14,333459.0,0.0,1.0,87.92,88.93,87.445,88.14,333459.0
2018-01-29,89.55,89.55,88.01,88.03,526373.0,0.0,1.0,89.55,89.55,88.01,88.03,526373.0
2018-01-26,90.66,90.74,89.2501,89.45,460892.0,0.0,1.0,90.66,90.74,89.2501,89.45,460892.0
2018-01-25,90.12,90.81,89.74,90.79,230037.0,0.0,1.0,90.12,90.81,89.74,90.79,230037.0
2018-01-24,91.39,91.76,90.23,90.4,548403.0,0.0,1.0,91.39,91.76,90.23,90.4,548403.0
2018-01-23,89.46,91.5,89.17,91.46,462045.0,0.0,1.0,89.46,91.5,89.17,91.46,462045.0
2018-01-22,87.79,89.29,87.68,89.17,416428.0,0.0,1.0,87.79,89.29,87.68,89.17,416428.0
2018-01-19,87.47,88.51,87.35,87.83,387617.0,0.0,1.0,87.47,88.51,87.35,87.83,387617.0
2018-01-18,87.8,88.09,86.79,87.74,581942.0,0.0,1.0,87.8,88.09,86.79,87.74,581942.0
2018-01-17,87.87,88.37,87.321,88.02,344641.0,0.0,1.0,87.87,88.37,87.321,88.02,344641.0
2018-01-16,87.32,88.88,87.29,87.42,382754.0,0.0,1.0,87.32,88.88,87.29,87.42,382754.0
2018-01-12,87.99,88.62,87.05,87.19,339019.0,0.0,1.0,87.99,88.62,87.05,87.19,339019.0
2018-01-11,88.68,89.14,87.725,88.13,333265.0,0.0,1.0,88.68,89.14,87.725,88.13,333265.0
2018-01-10,90.32,90.36,88.44,88.63,411052.0,0.0,1.0,90.32,90.36,88.44,88.63,411052.0
2018-01-09,91.21,91.21,90.25,90.8,337850.0,0.0,1.0,91.21,91.21,90.25,90.8,337850.0
2018-01-08,89.87,91.22,89.71,91.19,296392.0,0.0,1.0,89.87,91.22,89.71,91.19,296392.0
2018-01-05,90.1,90.57,89.47,89.91,459327.0,0.0,1.0,90.1,90.57,89.47,89.91,459327.0
2018-01-04,91.28,91.65,90.2584,90.56,280972.0,0.0,1.0,91.28,91.65,90.2584,90.56,280972.0
2018-01-03,91.78,92.29,91.03,91.76,235841.0,0.0,1.0,91.78,92.29,91.03,91.76,235841.0
2018-01-02,92.95,92.95,91.25,91.7,269594.0,0.0,1.0,92.95,92.95,91.25,91.7,269594.0
2017-12-29,92.4,92.86,92.09,92.78,358852.0,0.0,1.0,92.4,92.86,92.09,92.78,358852.0
2017-12-28,91.92,92.39,90.99,92.38,331254.0,0.0,1.0,91.92,92.39,90.99,92.38,331254.0
2017-12-27,92.44,92.94,91.82,92.69,296347.0,0.0,1.0,92.44,92.94,91.82,92.69,296347.0
2017-12-26,91.91,92.59,91.75,92.36,146457.0,0.0,1.0,91.91,92.59,91.75,92.36,146457.0
2017-12-22,91.2,92.24,91.0,92.02,250416.0,0.0,1.0,91.2,92.24,91.0,92.02,250416.0
2017-12-21,91.65,91.87,90.635,91.1,329585.0,0.0,1.0,91.65,91.87,90.635,91.1,329585.0
2017-12-20,91.94,92.67,91.55,91.63,363541.0,0.0,1.0,91.94,92.67,91.55,91.63,363541.0
2017-12-19,94.37,94.87,92.12,92.16,462954.0,0.0,1.0,94.37,94.87,92.12,92.16,462954.0
2017-12-18,95.01,95.48,94.42,94.76,380931.0,0.0,1.0,95.01,95.48,94.42,94.76,380931.0
