Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,27.98,28.3,27.58,27.68,482112.0,0.0,1.0,27.98,28.3,27.58,27.68,482112.0
2018-03-26,27.97,28.03,27.49,27.92,549687.0,0.0,1.0,27.97,28.03,27.49,27.92,549687.0
2018-03-23,28.07,28.22,27.73,27.76,488837.0,0.0,1.0,28.07,28.22,27.73,27.76,488837.0
2018-03-22,28.21,28.59,27.93,27.93,608188.0,0.0,1.0,28.21,28.59,27.93,27.93,608188.0
2018-03-21,28.52,28.79,28.21,28.34,516018.0,0.0,1.0,28.52,28.79,28.21,28.34,516018.0
2018-03-20,28.23,28.49,28.09,28.44,875678.0,0.0,1.0,28.23,28.49,28.09,28.44,875678.0
2018-03-19,28.78,28.81,28.17,28.25,640053.0,0.0,1.0,28.78,28.81,28.17,28.25,640053.0
2018-03-16,28.34,28.8,28.3,28.73,1612655.0,0.0,1.0,28.34,28.8,28.3,28.73,1612655.0
2018-03-15,28.73,28.95,28.18,28.25,680267.0,0.0,1.0,28.73,28.95,28.18,28.25,680267.0
2018-03-14,28.47,28.87,28.2,28.77,724729.0,0.0,1.0,28.47,28.87,28.2,28.77,724729.0
2018-03-13,28.96,29.02,28.23,28.31,1496562.0,0.0,1.0,28.96,29.02,28.23,28.31,1496562.0
2018-03-12,29.02,29.14,28.23,28.73,769833.0,0.0,1.0,29.02,29.14,28.23,28.73,769833.0
2018-03-09,29.36,29.36,28.855,28.96,755657.0,0.0,1.0,29.36,29.36,28.855,28.96,755657.0
2018-03-08,29.35,29.5,28.76,29.18,827674.0,0.0,1.0,29.35,29.5,28.76,29.18,827674.0
2018-03-07,29.12,29.39,29.02,29.15,848235.0,0.0,1.0,29.12,29.39,29.02,29.15,848235.0
2018-03-06,29.24,29.56,29.0,29.41,663845.0,0.0,1.0,29.24,29.56,29.0,29.41,663845.0
2018-03-05,28.85,29.24,28.68,29.14,637618.0,0.0,1.0,28.85,29.24,28.68,29.14,637618.0
2018-03-02,28.21,28.99,28.1,28.94,675030.0,0.0,1.0,28.21,28.99,28.1,28.94,675030.0
2018-03-01,28.08,28.64,27.87,28.49,731475.0,0.0,1.0,28.08,28.64,27.87,28.49,731475.0
2018-02-28,27.01,28.29,26.91,28.04,1067508.0,0.0,1.0,27.01,28.29,26.91,28.04,1067508.0
2018-02-27,27.15,27.78,26.8,26.81,1062153.0,0.0,1.0,27.15,27.78,26.8,26.81,1062153.0
2018-02-26,27.76,27.945,26.77,27.07,1011935.0,0.0,1.0,27.76,27.945,26.77,27.07,1011935.0
2018-02-23,26.03,28.041999999999998,26.0124,27.74,1237943.0,0.0,1.0,26.03,28.041999999999998,26.0124,27.74,1237943.0
2018-02-22,25.37,25.54,25.02,25.03,517697.0,0.0,1.0,25.37,25.54,25.02,25.03,517697.0
2018-02-21,25.64,26.09,25.24,25.24,663905.0,0.0,1.0,25.64,26.09,25.24,25.24,663905.0
2018-02-20,25.54,25.79,25.46,25.63,874026.0,0.0,1.0,25.54,25.79,25.46,25.63,874026.0
2018-02-16,25.47,25.76,25.22,25.68,956068.0,0.0,1.0,25.47,25.76,25.22,25.68,956068.0
2018-02-15,24.57,25.51,24.34,25.46,524270.0,0.0,1.0,24.57,25.51,24.34,25.46,524270.0
2018-02-14,24.16,24.505,24.02,24.43,505664.0,0.0,1.0,24.16,24.505,24.02,24.43,505664.0
2018-02-13,24.31,24.37,23.88,24.3,445038.0,0.0,1.0,24.31,24.37,23.88,24.3,445038.0
2018-02-12,24.3,24.7,24.23,24.46,452254.0,0.0,1.0,24.3,24.7,24.23,24.46,452254.0
2018-02-09,24.56,24.73,23.54,24.3,750381.0,0.0,1.0,24.56,24.73,23.54,24.3,750381.0
2018-02-08,25.12,25.28,24.42,24.45,672238.0,0.0,1.0,25.12,25.28,24.42,24.45,672238.0
2018-02-07,24.89,25.45,24.89,25.07,638020.0,0.0,1.0,24.89,25.45,24.89,25.07,638020.0
2018-02-06,24.96,25.1,24.2,24.93,1275702.0,0.0,1.0,24.96,25.1,24.2,24.93,1275702.0
2018-02-05,26.1,26.51,25.44,25.45,741553.0,0.0,1.0,26.1,26.51,25.44,25.45,741553.0
2018-02-02,26.88,26.88,26.3,26.32,415541.0,0.0,1.0,26.88,26.88,26.3,26.32,415541.0
2018-02-01,27.27,27.56,26.57,26.96,520156.0,0.0,1.0,27.27,27.56,26.57,26.96,520156.0
2018-01-31,27.84,28.09,27.32,27.43,2032609.0,0.0,1.0,27.84,28.09,27.32,27.43,2032609.0
2018-01-30,27.16,27.82,27.16,27.69,548651.0,0.0,1.0,27.16,27.82,27.16,27.69,548651.0
2018-01-29,27.09,27.32,26.7075,27.24,497412.0,0.0,1.0,27.09,27.32,26.7075,27.24,497412.0
2018-01-26,27.08,27.31,26.78,27.27,308896.0,0.0,1.0,27.08,27.31,26.78,27.27,308896.0
2018-01-25,26.66,27.05,26.53,26.95,440545.0,0.0,1.0,26.66,27.05,26.53,26.95,440545.0
2018-01-24,26.73,26.89,26.47,26.5,697125.0,0.0,1.0,26.73,26.89,26.47,26.5,697125.0
2018-01-23,27.17,27.17,26.605,26.77,317913.0,0.0,1.0,27.17,27.17,26.605,26.77,317913.0
2018-01-22,26.79,27.1,26.73,27.09,399352.0,0.0,1.0,26.79,27.1,26.73,27.09,399352.0
2018-01-19,26.8,26.86,26.61,26.85,261350.0,0.0,1.0,26.8,26.86,26.61,26.85,261350.0
2018-01-18,26.86,26.87,26.61,26.69,412940.0,0.0,1.0,26.86,26.87,26.61,26.69,412940.0
2018-01-17,26.92,26.98,26.57,26.86,345427.0,0.0,1.0,26.92,26.98,26.57,26.86,345427.0
2018-01-16,27.3,27.37,26.63,26.77,434984.0,0.0,1.0,27.3,27.37,26.63,26.77,434984.0
2018-01-12,26.84,27.24,26.66,27.16,375215.0,0.0,1.0,26.84,27.24,26.66,27.16,375215.0
2018-01-11,26.66,27.06,26.63,26.89,606361.0,0.0,1.0,26.66,27.06,26.63,26.89,606361.0
2018-01-10,27.32,27.32,26.39,26.54,529303.0,0.0,1.0,27.32,27.32,26.39,26.54,529303.0
2018-01-09,27.82,27.82,27.22,27.32,778986.0,0.0,1.0,27.82,27.82,27.22,27.32,778986.0
2018-01-08,28.12,28.28,27.67,27.71,535870.0,0.0,1.0,28.12,28.28,27.67,27.71,535870.0
2018-01-05,27.81,28.21,27.64,28.12,606559.0,0.0,1.0,27.81,28.21,27.64,28.12,606559.0
2018-01-04,27.81,28.075,27.53,27.77,641171.0,0.0,1.0,27.81,28.075,27.53,27.77,641171.0
2018-01-03,27.88,28.16,27.73,27.77,597998.0,0.0,1.0,27.88,28.16,27.73,27.77,597998.0
2018-01-02,27.95,28.24,27.75,27.92,596777.0,0.0,1.0,27.95,28.24,27.75,27.92,596777.0
2017-12-29,28.3,28.48,27.8,27.8,390130.0,0.0,1.0,28.3,28.48,27.8,27.8,390130.0
2017-12-28,28.19,28.32,28.07,28.27,296254.0,0.0,1.0,28.19,28.32,28.07,28.27,296254.0
2017-12-27,28.11,28.5,27.95,28.19,426536.0,0.0,1.0,28.11,28.5,27.95,28.19,426536.0
2017-12-26,27.7,28.38,27.7,28.11,307051.0,0.0,1.0,27.7,28.38,27.7,28.11,307051.0
2017-12-22,27.4,27.92,27.37,27.79,645233.0,0.0,1.0,27.4,27.92,27.37,27.79,645233.0
2017-12-21,27.02,27.545,26.83,27.36,372630.0,0.0,1.0,27.02,27.545,26.83,27.36,372630.0
2017-12-20,26.49,27.25,26.36,26.87,1609898.0,0.0,1.0,26.49,27.25,26.36,26.87,1609898.0
2017-12-19,26.13,26.42,25.97,26.28,588509.0,0.0,1.0,26.13,26.42,25.97,26.28,588509.0
2017-12-18,26.34,26.41,25.69,26.09,1230719.0,0.0,1.0,26.34,26.41,25.69,26.09,1230719.0
2017-12-15,26.3,26.44,25.88,25.95,1581643.0,0.0,1.0,26.3,26.44,25.88,25.95,1581643.0
2017-12-14,26.76,26.95,26.22,26.24,532961.0,0.0,1.0,26.76,26.95,26.22,26.24,532961.0
2017-12-13,27.16,27.36,26.78,27.02,470786.0,0.0,1.0,27.16,27.36,26.78,27.02,470786.0
2017-12-12,27.1,27.355,26.995,27.12,294784.0,0.0,1.0,27.1,27.355,26.995,27.12,294784.0
2017-12-11,26.56,27.21,26.55,26.99,354763.0,0.0,1.0,26.56,27.21,26.55,26.99,354763.0
2017-12-08,26.52,26.63,26.24,26.59,388961.0,0.0,1.0,26.52,26.63,26.24,26.59,388961.0
2017-12-07,26.67,26.88,26.395,26.46,532495.0,0.0,1.0,26.67,26.88,26.395,26.46,532495.0
