Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,48.01,48.08,45.4,45.76,2026797.0,0.0,1.0,48.01,48.08,45.4,45.76,2026797.0
2018-03-26,47.3,47.7,46.52,47.7,1901407.0,0.0,1.0,47.3,47.7,46.52,47.7,1901407.0
2018-03-23,47.75,48.11,45.64,45.65,2912567.0,0.0,1.0,47.75,48.11,45.64,45.65,2912567.0
2018-03-22,48.63,49.12,47.27,47.72,3017547.0,0.0,1.0,48.63,49.12,47.27,47.72,3017547.0
2018-03-21,49.15,50.29,49.05,49.5,1907062.0,0.0,1.0,49.15,50.29,49.05,49.5,1907062.0
2018-03-20,48.6,49.17,48.425,48.99,1588994.0,0.0,1.0,48.6,49.17,48.425,48.99,1588994.0
2018-03-19,49.09,49.19,47.87,48.7,1775426.0,0.0,1.0,49.09,49.19,47.87,48.7,1775426.0
2018-03-16,49.26,49.74,49.01,49.23,2261162.0,0.0,1.0,49.26,49.74,49.01,49.23,2261162.0
2018-03-15,49.44,49.835,49.11,49.14,1640320.0,0.0,1.0,49.44,49.835,49.11,49.14,1640320.0
2018-03-14,49.03,49.8,48.69,49.35,1456732.0,0.0,1.0,49.03,49.8,48.69,49.35,1456732.0
2018-03-13,50.28,50.68,48.83,49.0,1993198.0,0.0,1.0,50.28,50.68,48.83,49.0,1993198.0
2018-03-12,49.68,50.3,49.27,49.92,2056818.0,0.0,1.0,49.68,50.3,49.27,49.92,2056818.0
2018-03-09,49.05,49.96,49.05,49.4,2435538.0,0.0,1.0,49.05,49.96,49.05,49.4,2435538.0
2018-03-08,48.25,48.49,47.73,48.47,1866007.0,0.0,1.0,48.25,48.49,47.73,48.47,1866007.0
2018-03-07,46.86,48.205,46.86,47.92,2731874.0,0.0,1.0,46.86,48.205,46.86,47.92,2731874.0
2018-03-06,46.45,47.42,46.35,47.39,2116452.0,0.0,1.0,46.45,47.42,46.35,47.39,2116452.0
2018-03-05,45.64,46.345,45.341,46.12,1894524.0,0.0,1.0,45.64,46.345,45.341,46.12,1894524.0
2018-03-02,44.4,45.72,43.8,45.65,1378694.0,0.0,1.0,44.4,45.72,43.8,45.65,1378694.0
