Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,14.86,15.0,14.66,14.71,178031.0,0.0,1.0,14.86,15.0,14.66,14.71,178031.0
2018-03-26,14.71,14.865,14.6,14.83,176074.0,0.0,1.0,14.71,14.865,14.6,14.83,176074.0
2018-03-23,15.01,15.07,14.5,14.5,271907.0,0.0,1.0,15.01,15.07,14.5,14.5,271907.0
2018-03-22,15.32,15.4,14.97,14.97,235933.0,0.0,1.0,15.32,15.4,14.97,14.97,235933.0
2018-03-21,15.4,15.51,15.37,15.43,146712.0,0.0,1.0,15.4,15.51,15.37,15.43,146712.0
2018-03-20,15.5,15.55,15.28,15.41,160146.0,0.0,1.0,15.5,15.55,15.28,15.41,160146.0
2018-03-19,15.47,15.555,15.34,15.46,246671.0,0.0,1.0,15.47,15.555,15.34,15.46,246671.0
2018-03-16,15.37,15.54,15.26,15.45,251010.0,0.0,1.0,15.37,15.54,15.26,15.45,251010.0
2018-03-15,15.48,15.48,15.3,15.37,188017.0,0.0,1.0,15.48,15.48,15.3,15.37,188017.0
2018-03-14,15.49,15.49,15.35,15.44,119663.0,0.0,1.0,15.49,15.49,15.35,15.44,119663.0
2018-03-13,15.45,15.59,15.4,15.45,137938.0,0.0,1.0,15.45,15.59,15.4,15.45,137938.0
2018-03-12,15.54,15.54,15.15,15.38,100060.0,0.0,1.0,15.54,15.54,15.15,15.38,100060.0
2018-03-09,15.45,15.56,15.33,15.53,183389.0,0.0,1.0,15.45,15.56,15.33,15.53,183389.0
2018-03-08,15.5,15.5,15.24,15.4,162940.0,0.0,1.0,15.5,15.5,15.24,15.4,162940.0
2018-03-07,15.21,15.44,15.21,15.41,182845.0,0.0,1.0,15.21,15.44,15.21,15.41,182845.0
2018-03-06,15.27,15.38,14.6,15.34,196514.0,0.0,1.0,15.27,15.38,14.6,15.34,196514.0
2018-03-05,14.77,15.27,14.72,15.22,315828.0,0.0,1.0,14.77,15.27,14.72,15.22,315828.0
2018-03-02,14.51,14.85,14.5,14.81,193829.0,0.0,1.0,14.51,14.85,14.5,14.81,193829.0
2018-03-01,14.65,14.83,14.56,14.72,214738.0,0.0,1.0,14.65,14.83,14.56,14.72,214738.0
2018-02-28,14.95,14.98,14.65,14.66,176696.0,0.0,1.0,14.95,14.98,14.65,14.66,176696.0
2018-02-27,15.18,15.21,14.93,14.935,107146.0,0.0,1.0,15.18,15.21,14.93,14.935,107146.0
2018-02-26,15.15,15.19,15.03,15.17,115889.0,0.0,1.0,15.15,15.19,15.03,15.17,115889.0
2018-02-23,15.03,15.14,14.9701,15.14,108162.0,0.0,1.0,15.03,15.14,14.9701,15.14,108162.0
2018-02-22,15.06,15.25,15.0,15.01,158827.0,0.0,1.0,15.06,15.25,15.0,15.01,158827.0
2018-02-21,15.08,15.21,14.97,15.03,158412.0,0.0,1.0,15.08,15.21,14.97,15.03,158412.0
2018-02-20,15.33,15.365,15.05,15.08,145478.0,0.0,1.0,15.33,15.365,15.05,15.08,145478.0
2018-02-16,15.28,15.45,14.82,15.34,296084.0,0.0,1.0,15.28,15.45,14.82,15.34,296084.0
2018-02-15,15.33,15.33,15.15,15.3,181449.0,0.0,1.0,15.33,15.33,15.15,15.3,181449.0
2018-02-14,14.98,15.26,14.86,15.26,195500.0,0.0,1.0,14.98,15.26,14.86,15.26,195500.0
2018-02-13,14.72,15.06,14.66,15.03,227993.0,0.0,1.0,14.72,15.06,14.66,15.03,227993.0
2018-02-12,14.74,14.85,14.63,14.72,197144.0,0.0,1.0,14.74,14.85,14.63,14.72,197144.0
2018-02-09,14.57,14.74,14.35,14.68,198625.0,0.0,1.0,14.57,14.74,14.35,14.68,198625.0
2018-02-08,14.95,14.95,14.42,14.42,279045.0,0.0,1.0,14.95,14.95,14.42,14.42,279045.0
2018-02-07,14.6,15.01,14.6,14.985,361397.0,0.0,1.0,14.6,15.01,14.6,14.985,361397.0
2018-02-06,14.51,14.8,14.32,14.62,392189.0,0.0,1.0,14.51,14.8,14.32,14.62,392189.0
2018-02-05,14.98,15.105,14.57,14.64,167179.0,0.0,1.0,14.98,15.105,14.57,14.64,167179.0
2018-02-02,15.11,15.32,15.065,15.13,269531.0,0.0,1.0,15.11,15.32,15.065,15.13,269531.0
2018-02-01,14.53,15.16,14.51,15.08,457334.0,0.0,1.0,14.53,15.16,14.51,15.08,457334.0
2018-01-31,14.53,14.99,14.52,14.62,296883.0,0.0,1.0,14.53,14.99,14.52,14.62,296883.0
2018-01-30,14.68,14.76,14.53,14.57,194769.0,0.0,1.0,14.68,14.76,14.53,14.57,194769.0
2018-01-29,14.8,14.93,14.7,14.71,150421.0,0.0,1.0,14.8,14.93,14.7,14.71,150421.0
2018-01-26,14.82,14.84,14.75,14.83,126466.0,0.0,1.0,14.82,14.84,14.75,14.83,126466.0
2018-01-25,14.9,14.93,14.76,14.81,164219.0,0.0,1.0,14.9,14.93,14.76,14.81,164219.0
2018-01-24,14.99,15.03,14.8,14.82,196605.0,0.0,1.0,14.99,15.03,14.8,14.82,196605.0
2018-01-23,14.92,15.02,14.8,14.95,133285.0,0.0,1.0,14.92,15.02,14.8,14.95,133285.0
2018-01-22,15.0,15.07,14.8,14.96,157240.0,0.0,1.0,15.0,15.07,14.8,14.96,157240.0
2018-01-19,14.97,15.06,14.87,15.06,189602.0,0.0,1.0,14.97,15.06,14.87,15.06,189602.0
2018-01-18,14.86,14.91,14.74,14.9,205302.0,0.0,1.0,14.86,14.91,14.74,14.9,205302.0
2018-01-17,14.91,14.9727,14.72,14.85,179221.0,0.0,1.0,14.91,14.9727,14.72,14.85,179221.0
2018-01-16,15.18,15.21,14.87,14.88,153718.0,0.0,1.0,15.18,15.21,14.87,14.88,153718.0
2018-01-12,15.0,15.14,14.93,15.07,110586.0,0.0,1.0,15.0,15.14,14.93,15.07,110586.0
2018-01-11,14.78,14.965,14.7,14.96,96761.0,0.0,1.0,14.78,14.965,14.7,14.96,96761.0
2018-01-10,14.66,14.89,14.66,14.74,124721.0,0.0,1.0,14.66,14.89,14.66,14.74,124721.0
2018-01-09,14.91,14.96,14.65,14.65,178237.0,0.0,1.0,14.91,14.96,14.65,14.65,178237.0
2018-01-08,14.75,14.92,14.7,14.86,200017.0,0.0,1.0,14.75,14.92,14.7,14.86,200017.0
2018-01-05,14.73,14.79,14.61,14.74,171747.0,0.0,1.0,14.73,14.79,14.61,14.74,171747.0
2018-01-04,14.62,14.77,14.61,14.67,372021.0,0.0,1.0,14.62,14.77,14.61,14.67,372021.0
2018-01-03,14.81,14.81,14.58,14.61,233984.0,0.0,1.0,14.81,14.81,14.58,14.61,233984.0
2018-01-02,14.96,14.96,14.61,14.78,238276.0,0.0,1.0,14.96,14.96,14.61,14.78,238276.0
2017-12-29,14.89,15.01,14.84,14.94,201583.0,0.0,1.0,14.89,15.01,14.84,14.94,201583.0
2017-12-28,14.92,15.0,14.86,14.88,126627.0,0.0,1.0,14.92,15.0,14.86,14.88,126627.0
2017-12-27,14.99,15.045,14.91,14.91,153966.0,0.0,1.0,14.99,15.045,14.91,14.91,153966.0
2017-12-26,14.97,15.1,14.94,14.98,125373.0,0.0,1.0,14.97,15.1,14.94,14.98,125373.0
2017-12-22,15.1,15.12,14.97,15.01,109228.0,0.0,1.0,15.1,15.12,14.97,15.01,109228.0
2017-12-21,15.18,15.21,15.1,15.11,101769.0,0.0,1.0,15.18,15.21,15.1,15.11,101769.0
2017-12-20,15.26,15.26,15.12,15.13,153074.0,0.0,1.0,15.26,15.26,15.12,15.13,153074.0
2017-12-19,15.24,15.39,15.17,15.17,184421.0,0.0,1.0,15.24,15.39,15.17,15.17,184421.0
2017-12-18,15.26,15.42,15.23,15.24,244505.0,0.0,1.0,15.26,15.42,15.23,15.24,244505.0
2017-12-15,14.94,15.32,14.91,15.14,679787.0,0.0,1.0,14.94,15.32,14.91,15.14,679787.0
2017-12-14,15.1,15.1625,14.88,14.92,392645.0,0.0,1.0,15.1,15.1625,14.88,14.92,392645.0
2017-12-13,15.14,15.28,15.05,15.05,210566.0,0.0,1.0,15.14,15.28,15.05,15.05,210566.0
2017-12-12,15.12,15.31,15.1,15.15,198700.0,0.0,1.0,15.12,15.31,15.1,15.15,198700.0
2017-12-11,15.25,15.335,15.09,15.09,122221.0,0.0,1.0,15.25,15.335,15.09,15.09,122221.0
2017-12-08,15.44,15.44,15.22,15.25,86865.0,0.0,1.0,15.44,15.44,15.22,15.25,86865.0
2017-12-07,15.35,15.45,15.25,15.37,163014.0,0.0,1.0,15.35,15.45,15.25,15.37,163014.0
2017-12-06,15.38,15.5,15.29,15.37,99380.0,0.0,1.0,15.38,15.5,15.29,15.37,99380.0
2017-12-05,15.43,15.57,15.35,15.39,145146.0,0.0,1.0,15.43,15.57,15.35,15.39,145146.0
