Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,260.5,262.77,256.54,257.65,373167.0,0.0,1.0,260.5,262.77,256.54,257.65,373167.0
2018-03-26,254.53,259.59,253.04,259.13,264180.0,0.0,1.0,254.53,259.59,253.04,259.13,264180.0
2018-03-23,257.0,258.36,252.57,252.86,383390.0,0.0,1.0,257.0,258.36,252.57,252.86,383390.0
2018-03-22,257.14,261.84,256.81,256.81,629507.0,0.0,1.0,257.14,261.84,256.81,256.81,629507.0
2018-03-21,265.28,265.28,259.46,260.05,259542.0,0.0,1.0,265.28,265.28,259.46,260.05,259542.0
2018-03-20,262.03,266.47,255.23,265.28,308731.0,0.0,1.0,262.03,266.47,255.23,265.28,308731.0
2018-03-19,264.03,264.03,258.88,262.14,260266.0,0.0,1.0,264.03,264.03,258.88,262.14,260266.0
2018-03-16,266.38,268.1499,263.19,264.76,723322.0,0.0,1.0,266.38,268.1499,263.19,264.76,723322.0
2018-03-15,265.7,269.17,265.15,265.93,287616.0,0.0,1.0,265.7,269.17,265.15,265.93,287616.0
2018-03-14,267.85,269.985,264.97,265.69,282316.0,0.0,1.0,267.85,269.985,264.97,265.69,282316.0
2018-03-13,267.26,269.65,264.33,267.35,300544.0,0.0,1.0,267.26,269.65,264.33,267.35,300544.0
2018-03-12,268.53,269.7374,264.07,266.38,381153.0,0.0,1.0,268.53,269.7374,264.07,266.38,381153.0
2018-03-09,263.53,270.85,263.52,269.26,319159.0,0.0,1.0,263.53,270.85,263.52,269.26,319159.0
2018-03-08,258.66,262.41,257.005,261.41,373753.0,0.0,1.0,258.66,262.41,257.005,261.41,373753.0
2018-03-07,252.67,259.93,252.67,257.65,376406.0,0.0,1.0,252.67,259.93,252.67,257.65,376406.0
2018-03-06,251.23,254.71,248.04,254.32,259770.0,0.0,1.0,251.23,254.71,248.04,254.32,259770.0
2018-03-05,244.8,251.36,241.98,250.51,265792.0,0.0,1.0,244.8,251.36,241.98,250.51,265792.0
2018-03-02,241.65,246.0,240.88,245.61,363197.0,0.0,1.0,241.65,246.0,240.88,245.61,363197.0
2018-03-01,249.36,250.77,241.26,242.67,368131.0,0.0,1.0,249.36,250.77,241.26,242.67,368131.0
2018-02-28,253.72,254.3695,249.78,249.83,451369.0,0.0,1.0,253.72,254.3695,249.78,249.83,451369.0
2018-02-27,255.96,258.74,253.64,253.72,476000.0,0.0,1.0,255.96,258.74,253.64,253.72,476000.0
2018-02-26,255.34,257.445,251.2901,256.26,399115.0,0.0,1.0,255.34,257.445,251.2901,256.26,399115.0
2018-02-23,250.36,256.1,244.8,255.27,536860.0,0.0,1.0,250.36,256.1,244.8,255.27,536860.0
2018-02-22,261.1,261.1,244.1257,249.44,930325.0,0.0,1.0,261.1,261.1,244.1257,249.44,930325.0
2018-02-21,268.7,274.74,268.7,270.0,318380.0,0.0,1.0,268.7,274.74,268.7,270.0,318380.0
2018-02-20,266.19,270.8,266.19,269.07,264735.0,0.0,1.0,266.19,270.8,266.19,269.07,264735.0
2018-02-16,265.94,269.9,263.805,267.89,171918.0,0.0,1.0,265.94,269.9,263.805,267.89,171918.0
2018-02-15,263.03,266.58,259.01,265.61,220487.0,0.0,1.0,263.03,266.58,259.01,265.61,220487.0
2018-02-14,253.13,262.03,251.8,260.96,161245.0,0.0,1.0,253.13,262.03,251.8,260.96,161245.0
2018-02-13,253.85,257.33,252.81,254.95,168225.0,0.0,1.0,253.85,257.33,252.81,254.95,168225.0
2018-02-12,254.11,257.84,250.25,255.2,225242.0,0.0,1.0,254.11,257.84,250.25,255.2,225242.0
2018-02-09,251.53,254.98,245.1901,252.75,246097.0,0.0,1.0,251.53,254.98,245.1901,252.75,246097.0
2018-02-08,263.3,263.52,249.11,249.14,328425.0,0.0,1.0,263.3,263.52,249.11,249.14,328425.0
2018-02-07,261.68,268.31,260.68,263.09,286022.0,0.0,1.0,261.68,268.31,260.68,263.09,286022.0
2018-02-06,257.83,263.22,253.79,261.95,431631.0,0.0,1.0,257.83,263.22,253.79,261.95,431631.0
2018-02-05,271.0,274.3,259.47,261.45,293603.0,0.0,1.0,271.0,274.3,259.47,261.45,293603.0
2018-02-02,276.41,278.8,272.34,272.36,194501.0,0.0,1.0,276.41,278.8,272.34,272.36,194501.0
2018-02-01,276.44,280.71,274.6,278.68,347727.0,0.0,1.0,276.44,280.71,274.6,278.68,347727.0
2018-01-31,282.62,282.93,276.89,277.75,220247.0,0.0,1.0,282.62,282.93,276.89,277.75,220247.0
2018-01-30,284.87,287.0,280.03,281.56,330730.0,0.0,1.0,284.87,287.0,280.03,281.56,330730.0
2018-01-29,283.11,288.78,282.06,287.65,316005.0,0.0,1.0,283.11,288.78,282.06,287.65,316005.0
2018-01-26,278.86,287.18,276.74,284.59,331450.0,0.0,1.0,278.86,287.18,276.74,284.59,331450.0
2018-01-25,276.84,281.14,274.87,278.15,262000.0,0.0,1.0,276.84,281.14,274.87,278.15,262000.0
2018-01-24,275.04,276.28,273.47,275.08,413489.0,0.0,1.0,275.04,276.28,273.47,275.08,413489.0
2018-01-23,275.04,275.845,273.23,273.9,363201.0,0.0,1.0,275.04,275.845,273.23,273.9,363201.0
2018-01-22,276.9,277.1,274.06,274.75,196199.0,0.0,1.0,276.9,277.1,274.06,274.75,196199.0
2018-01-19,276.11,279.12,275.3,276.42,334340.0,0.0,1.0,276.11,279.12,275.3,276.42,334340.0
2018-01-18,269.7,276.67,269.59,275.3,606732.0,0.0,1.0,269.7,276.67,269.59,275.3,606732.0
2018-01-17,265.11,272.46,263.23,272.31,344192.0,0.0,1.0,265.11,272.46,263.23,272.31,344192.0
2018-01-16,263.38,266.63,261.96,262.93,320153.0,0.0,1.0,263.38,266.63,261.96,262.93,320153.0
2018-01-12,260.26,264.21,258.38,263.18,177513.0,0.0,1.0,260.26,264.21,258.38,263.18,177513.0
2018-01-11,258.54,260.77,256.75,260.66,217069.0,0.0,1.0,258.54,260.77,256.75,260.66,217069.0
2018-01-10,261.75,262.72,256.79,257.92,300691.0,0.0,1.0,261.75,262.72,256.79,257.92,300691.0
2018-01-09,260.0,262.635,258.72,262.14,141745.0,0.0,1.0,260.0,262.635,258.72,262.14,141745.0
2018-01-08,257.2,259.41,254.77,258.68,230873.0,0.0,1.0,257.2,259.41,254.77,258.68,230873.0
2018-01-05,255.26,258.365,253.08,257.73,166469.0,0.0,1.0,255.26,258.365,253.08,257.73,166469.0
2018-01-04,257.75,259.4,254.01,254.01,250935.0,0.0,1.0,257.75,259.4,254.01,254.01,250935.0
2018-01-03,255.05,257.63,254.64,256.64,187912.0,0.0,1.0,255.05,257.63,254.64,256.64,187912.0
2018-01-02,248.96,255.69,248.96,254.73,304465.0,0.0,1.0,248.96,255.69,248.96,254.73,304465.0
2017-12-29,251.49,253.28,248.48,248.82,176559.0,0.0,1.0,251.49,253.28,248.48,248.82,176559.0
2017-12-28,250.13,251.59,247.99,251.51,145996.0,0.0,1.0,250.13,251.59,247.99,251.51,145996.0
2017-12-27,248.01,250.91,247.65,249.65,89656.0,0.0,1.0,248.01,250.91,247.65,249.65,89656.0
2017-12-26,248.94,250.67,247.291,247.89,99647.0,0.0,1.0,248.94,250.67,247.291,247.89,99647.0
2017-12-22,251.53,252.63,248.91,249.44,150354.0,0.0,1.0,251.53,252.63,248.91,249.44,150354.0
2017-12-21,253.86,255.905,249.78,249.92,219993.0,0.0,1.0,253.86,255.905,249.78,249.92,219993.0
2017-12-20,254.4,256.84,253.41,255.77,178030.0,0.0,1.0,254.4,256.84,253.41,255.77,178030.0
2017-12-19,253.95,255.5,250.53,254.23,470196.0,0.0,1.0,253.95,255.5,250.53,254.23,470196.0
2017-12-18,253.13,255.0,251.465,251.91,308203.0,0.0,1.0,253.13,255.0,251.465,251.91,308203.0
2017-12-15,253.28,255.14,249.84,252.17,617046.0,0.0,1.0,253.28,255.14,249.84,252.17,617046.0
2017-12-14,252.69,253.9199,248.65,249.35,340024.0,0.0,1.0,252.69,253.9199,248.65,249.35,340024.0
2017-12-13,249.16,254.52,249.16,251.91,365574.0,0.0,1.0,249.16,254.52,249.16,251.91,365574.0
2017-12-12,253.23,255.88,249.38,249.86,391883.0,0.0,1.0,253.23,255.88,249.38,249.86,391883.0
2017-12-11,252.02,252.55,250.52,252.18,307171.0,0.0,1.0,252.02,252.55,250.52,252.18,307171.0
2017-12-08,252.11,255.13,250.79,252.76,333490.0,0.0,1.0,252.11,255.13,250.79,252.76,333490.0
2017-12-07,250.24,253.84,250.17,251.19,306911.0,0.0,1.0,250.24,253.84,250.17,251.19,306911.0
2017-12-06,251.86,253.48,248.95,250.1,377341.0,0.0,1.0,251.86,253.48,248.95,250.1,377341.0
2017-12-05,253.86,255.47,250.61,251.75,341498.0,0.0,1.0,253.86,255.47,250.61,251.75,341498.0
2017-12-04,268.56,269.545,252.77,252.98,311100.0,0.0,1.0,268.56,269.545,252.77,252.98,311100.0
2017-12-01,265.32,266.7,259.16,265.58,262730.0,0.0,1.0,265.32,266.7,259.16,265.58,262730.0
2017-11-30,265.8,267.66,262.8925,265.52,316798.0,0.0,1.0,265.8,267.66,262.8925,265.52,316798.0
2017-11-29,270.29,270.945,262.44,264.41,296130.0,0.0,1.0,270.29,270.945,262.44,264.41,296130.0
2017-11-28,268.58,271.23,266.34,270.19,286336.0,0.0,1.0,268.58,271.23,266.34,270.19,286336.0
2017-11-27,267.91,269.72,266.46,267.94,176981.0,0.0,1.0,267.91,269.72,266.46,267.94,176981.0
2017-11-24,266.95,268.33,264.45,267.71,55306.0,0.0,1.0,266.95,268.33,264.45,267.71,55306.0
2017-11-22,266.83,268.5,264.71,266.55,277462.0,0.0,1.0,266.83,268.5,264.71,266.55,277462.0
2017-11-21,268.24,269.78,266.64,267.6,379687.0,0.0,1.0,268.24,269.78,266.64,267.6,379687.0
2017-11-20,266.21,268.78,263.02,266.64,189362.0,0.0,1.0,266.21,268.78,263.02,266.64,189362.0
2017-11-17,263.01,266.45,261.35,266.21,235503.0,0.0,1.0,263.01,266.45,261.35,266.21,235503.0
2017-11-16,255.74,266.39,255.74,263.44,356238.0,0.0,1.0,255.74,266.39,255.74,263.44,356238.0
2017-11-15,254.63,259.01,253.62,255.44,204894.0,0.0,1.0,254.63,259.01,253.62,255.44,204894.0
2017-11-14,253.6,256.7,251.3,256.55,261632.0,0.0,1.0,253.6,256.7,251.3,256.55,261632.0
2017-11-13,252.83,258.49,251.42,256.94,182108.0,0.0,1.0,252.83,258.49,251.42,256.94,182108.0
2017-11-10,257.27,257.27,248.72,252.89,424522.0,0.0,1.0,257.27,257.27,248.72,252.89,424522.0
2017-11-09,258.3,259.59,251.16,257.14,197247.0,0.0,1.0,258.3,259.59,251.16,257.14,197247.0
2017-11-07,256.53,260.37,255.44,260.31,299596.0,0.0,1.0,256.53,260.37,255.44,260.31,299596.0
2017-11-06,256.27,257.89,254.16,256.58,178507.0,0.0,1.0,256.27,257.89,254.16,256.58,178507.0
2017-11-03,255.79,259.9,253.37,256.41,439046.0,0.0,1.0,255.79,259.9,253.37,256.41,439046.0
