Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,12.85,12.99,12.76,12.77,2561619.0,0.0,1.0,12.85,12.99,12.76,12.77,2561619.0
2018-03-06,13.17,13.185,12.74,12.97,3402171.0,0.0,1.0,13.17,13.185,12.74,12.97,3402171.0
2018-03-05,13.36,13.57,13.16,13.18,2159132.0,0.0,1.0,13.36,13.57,13.16,13.18,2159132.0
2018-03-02,12.9,13.55,12.81,13.48,2243986.0,0.0,1.0,12.9,13.55,12.81,13.48,2243986.0
2018-03-01,13.5,13.58,12.72,12.96,3622024.0,0.0,1.0,13.5,13.58,12.72,12.96,3622024.0
2017-06-01,14.85,15.4,14.7,15.35,62676660.0,0.0,1.0,14.85,15.4,14.7,15.35,62676660.0
2017-05-31,23.92,24.0,23.395,23.74,7753827.0,0.0,1.0,23.92,24.0,23.395,23.74,7753827.0
2017-05-30,23.91,24.36,23.9,23.9,5568277.0,0.0,1.0,23.91,24.36,23.9,23.9,5568277.0
2017-05-26,23.76,24.29,23.73,24.07,4163110.0,0.0,1.0,23.76,24.29,23.73,24.07,4163110.0
2017-05-25,23.32,24.35,23.29,23.71,6523800.0,0.0,1.0,23.32,24.35,23.29,23.71,6523800.0
2017-05-24,23.29,23.47,23.19,23.45,3614656.0,0.0,1.0,23.29,23.47,23.19,23.45,3614656.0
2017-05-23,22.97,23.27,22.87,23.21,3741268.0,0.0,1.0,22.97,23.27,22.87,23.21,3741268.0
2017-05-22,22.87,23.05,22.69,23.0,2356626.0,0.0,1.0,22.87,23.05,22.69,23.0,2356626.0
2017-05-19,22.36,22.91,22.18,22.89,3713808.0,0.0,1.0,22.36,22.91,22.18,22.89,3713808.0
2017-05-18,21.92,22.47,21.83,22.3,4785316.0,0.0,1.0,21.92,22.47,21.83,22.3,4785316.0
2017-05-17,21.82,22.49,21.76,21.93,5082133.0,0.0,1.0,21.82,22.49,21.76,21.93,5082133.0
2017-05-16,23.62,23.7299,21.64,22.01,8838592.0,0.0,1.0,23.62,23.7299,21.64,22.01,8838592.0
2017-05-15,22.79,23.615,22.69,23.52,4341709.0,0.0,1.0,22.79,23.615,22.69,23.52,4341709.0
2017-05-12,22.99,23.03,22.56,22.66,3144033.0,0.0,1.0,22.99,23.03,22.56,22.66,3144033.0
2017-05-11,23.25,23.3,22.99,23.11,2476835.0,0.0,1.0,23.25,23.3,22.99,23.11,2476835.0
2017-05-10,23.28,23.565,23.11,23.31,5277025.0,0.0,1.0,23.28,23.565,23.11,23.31,5277025.0
2017-05-09,24.62,25.48,23.58,24.05,5828276.0,0.0,1.0,24.62,25.48,23.58,24.05,5828276.0
2017-05-08,25.81,26.07,25.455,25.79,7315311.0,0.0,1.0,25.81,26.07,25.455,25.79,7315311.0
2017-05-05,24.99,25.82,24.99,25.75,3339849.0,0.0,1.0,24.99,25.82,24.99,25.75,3339849.0
2017-05-04,25.1,25.1,24.695,25.0,2912152.0,0.0,1.0,25.1,25.1,24.695,25.0,2912152.0
