Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,115.71,115.71,112.78,113.33,265844.0,0.0,1.0,115.71,115.71,112.78,113.33,265844.0
2018-03-26,114.7,115.78,113.71,115.69,185785.0,0.0,1.0,114.7,115.78,113.71,115.69,185785.0
2018-03-23,116.34,116.74,113.17,113.34,179789.0,0.0,1.0,116.34,116.74,113.17,113.34,179789.0
2018-03-22,118.49,119.51,116.19,116.27,191348.0,0.0,1.0,118.49,119.51,116.19,116.27,191348.0
2018-03-21,120.7,120.99,119.45,119.45,109504.0,0.0,1.0,120.7,120.99,119.45,119.45,109504.0
2018-03-20,120.17,121.06,119.27,120.84,189035.0,0.0,1.0,120.17,121.06,119.27,120.84,189035.0
2018-03-19,118.01,120.4,117.94,120.02,214379.0,0.0,1.0,118.01,120.4,117.94,120.02,214379.0
2018-03-16,117.79,118.81,117.11,118.31,379372.0,0.0,1.0,117.79,118.81,117.11,118.31,379372.0
2018-03-15,118.64,118.92,117.5,117.62,174815.0,0.0,1.0,118.64,118.92,117.5,117.62,174815.0
2018-03-14,118.33,119.22,117.63,118.46,272774.0,0.0,1.0,118.33,119.22,117.63,118.46,272774.0
2018-03-13,118.39,118.74,116.601,118.12,286715.0,0.0,1.0,118.39,118.74,116.601,118.12,286715.0
2018-03-12,117.13,118.18,116.4,117.72,235081.0,0.0,1.0,117.13,118.18,116.4,117.72,235081.0
2018-03-09,114.54,117.22,114.0,117.0,252732.0,0.0,1.0,114.54,117.22,114.0,117.0,252732.0
2018-03-08,113.61,114.3,111.71,113.93,140948.0,0.0,1.0,113.61,114.3,111.71,113.93,140948.0
2018-03-07,111.49,114.54,111.49,114.14,248511.0,0.0,1.0,111.49,114.54,111.49,114.14,248511.0
2018-03-06,110.85,112.59,110.18,112.07,229931.0,0.0,1.0,110.85,112.59,110.18,112.07,229931.0
2018-03-05,107.55,111.03,107.55,110.87,153198.0,0.0,1.0,107.55,111.03,107.55,110.87,153198.0
2018-03-02,106.19,108.15,105.13,107.87,111964.0,0.0,1.0,106.19,108.15,105.13,107.87,111964.0
2018-03-01,108.0,108.83,106.01,106.74,101302.0,0.0,1.0,108.0,108.83,106.01,106.74,101302.0
2018-02-28,110.82,111.27,107.79,107.91,135978.0,0.0,1.0,110.82,111.27,107.79,107.91,135978.0
2018-02-27,110.4,111.345,110.0,110.57,251984.0,0.0,1.0,110.4,111.345,110.0,110.57,251984.0
2018-02-26,109.74,110.51,108.81,110.31,71171.0,0.0,1.0,109.74,110.51,108.81,110.31,71171.0
2018-02-23,108.46,110.19,108.245,109.37,94522.0,0.0,1.0,108.46,110.19,108.245,109.37,94522.0
2018-02-22,109.47,110.23,108.03,108.4,168816.0,0.0,1.0,109.47,110.23,108.03,108.4,168816.0
2018-02-21,108.84,110.5,108.68,109.15,134479.0,0.0,1.0,108.84,110.5,108.68,109.15,134479.0
2018-02-20,111.1,111.1,108.0701,108.75,210520.0,0.0,1.0,111.1,111.1,108.0701,108.75,210520.0
2018-02-16,110.35,111.98,110.35,111.4,100532.0,0.0,1.0,110.35,111.98,110.35,111.4,100532.0
2018-02-15,111.68,111.68,109.66,110.68,101906.0,0.0,1.0,111.68,111.68,109.66,110.68,101906.0
2018-02-14,108.56,111.12,108.48,111.09,78981.0,0.0,1.0,108.56,111.12,108.48,111.09,78981.0
2018-02-13,107.58,109.1975,107.385,108.99,95579.0,0.0,1.0,107.58,109.1975,107.385,108.99,95579.0
2018-02-12,106.9,108.83,105.82,108.19,156541.0,0.0,1.0,106.9,108.83,105.82,108.19,156541.0
2018-02-09,107.18,107.4,104.49,106.61,370567.0,0.0,1.0,107.18,107.4,104.49,106.61,370567.0
2018-02-08,110.84,110.99,106.67,106.74,190302.0,0.0,1.0,110.84,110.99,106.67,106.74,190302.0
2018-02-07,110.21,111.69,110.19,110.58,156617.0,0.0,1.0,110.21,111.69,110.19,110.58,156617.0
2018-02-06,110.86,112.84,107.94,110.46,201672.0,0.0,1.0,110.86,112.84,107.94,110.46,201672.0
2018-02-05,113.99,114.76,111.7,111.92,243371.0,0.0,1.0,113.99,114.76,111.7,111.92,243371.0
2018-02-02,115.18,116.315,114.3,114.99,207036.0,0.0,1.0,115.18,116.315,114.3,114.99,207036.0
2018-02-01,115.0,115.48,110.67,114.98,275228.0,0.0,1.0,115.0,115.48,110.67,114.98,275228.0
2018-01-31,114.72,114.77,112.95,113.15,212343.0,0.0,1.0,114.72,114.77,112.95,113.15,212343.0
2018-01-30,114.16,115.31,113.16,114.68,157097.0,0.0,1.0,114.16,115.31,113.16,114.68,157097.0
2018-01-29,114.81,115.63,113.83,114.9,130384.0,0.0,1.0,114.81,115.63,113.83,114.9,130384.0
2018-01-26,115.55,115.97,114.32,115.18,146244.0,0.0,1.0,115.55,115.97,114.32,115.18,146244.0
2018-01-25,114.62,116.21,114.62,115.37,184384.0,0.0,1.0,114.62,116.21,114.62,115.37,184384.0
2018-01-24,115.19,115.83,113.68,114.25,131413.0,0.0,1.0,115.19,115.83,113.68,114.25,131413.0
2018-01-23,114.35,115.35,113.19,114.69,138895.0,0.0,1.0,114.35,115.35,113.19,114.69,138895.0
2018-01-22,112.89,114.07,112.89,114.02,91543.0,0.0,1.0,112.89,114.07,112.89,114.02,91543.0
2018-01-19,111.52,112.34,111.4,112.27,74958.0,0.0,1.0,111.52,112.34,111.4,112.27,74958.0
2018-01-18,112.76,112.76,111.18,111.27,105114.0,0.0,1.0,112.76,112.76,111.18,111.27,105114.0
2018-01-17,111.61,113.34,111.39,112.89,120812.0,0.0,1.0,111.61,113.34,111.39,112.89,120812.0
2018-01-16,111.32,112.15,110.59,111.24,182891.0,0.0,1.0,111.32,112.15,110.59,111.24,182891.0
2018-01-12,110.19,111.07,109.67,110.87,98118.0,0.0,1.0,110.19,111.07,109.67,110.87,98118.0
2018-01-11,108.76,110.39,108.76,110.1,125687.0,0.0,1.0,108.76,110.39,108.76,110.1,125687.0
2018-01-10,107.89,109.43,107.31,108.74,165037.0,0.0,1.0,107.89,109.43,107.31,108.74,165037.0
2018-01-09,107.32,109.115,107.32,108.01,198144.0,0.0,1.0,107.32,109.115,107.32,108.01,198144.0
2018-01-08,107.27,108.21,106.81,107.32,154028.0,0.0,1.0,107.27,108.21,106.81,107.32,154028.0
2018-01-05,108.06,108.06,106.95,107.62,76174.0,0.0,1.0,108.06,108.06,106.95,107.62,76174.0
2018-01-04,107.0,107.97,106.79,107.57,146167.0,0.0,1.0,107.0,107.97,106.79,107.57,146167.0
2018-01-03,106.56,107.005,105.97,106.74,104333.0,0.0,1.0,106.56,107.005,105.97,106.74,104333.0
2018-01-02,108.56,109.399,105.76,106.71,167813.0,0.0,1.0,108.56,109.399,105.76,106.71,167813.0
2017-12-29,109.17,109.17,107.99,108.08,129030.0,0.0,1.0,109.17,109.17,107.99,108.08,129030.0
2017-12-28,109.09,109.57,108.26,108.85,391664.0,0.0,1.0,109.09,109.57,108.26,108.85,391664.0
2017-12-27,108.13,109.61,107.68,108.85,184467.0,0.0,1.0,108.13,109.61,107.68,108.85,184467.0
2017-12-26,107.86,108.91,107.22,107.65,99221.0,0.0,1.0,107.86,108.91,107.22,107.65,99221.0
2017-12-22,108.12,108.12,107.015,107.53,79121.0,0.0,1.0,108.12,108.12,107.015,107.53,79121.0
2017-12-21,107.13,108.0,106.75,107.81,111174.0,0.0,1.0,107.13,108.0,106.75,107.81,111174.0
2017-12-20,106.84,107.41,106.59,106.92,215241.0,0.0,1.0,106.84,107.41,106.59,106.92,215241.0
2017-12-19,104.97,107.34,104.71,106.68,298728.0,0.0,1.0,104.97,107.34,104.71,106.68,298728.0
2017-12-18,103.92,104.48,103.4,104.0,185060.0,0.0,1.0,103.92,104.48,103.4,104.0,185060.0
2017-12-15,103.55,103.78,102.02,103.05,390810.0,0.0,1.0,103.55,103.78,102.02,103.05,390810.0
2017-12-14,102.66,103.13,101.811,102.15,105976.0,0.0,1.0,102.66,103.13,101.811,102.15,105976.0
2017-12-13,104.63,105.0,102.99,103.06,163616.0,0.0,1.0,104.63,105.0,102.99,103.06,163616.0
2017-12-12,105.22,105.83,104.65,104.99,97777.0,0.0,1.0,105.22,105.83,104.65,104.99,97777.0
2017-12-11,105.29,105.37899999999999,104.04,105.12,144982.0,0.0,1.0,105.29,105.37899999999999,104.04,105.12,144982.0
2017-12-08,105.16,106.08,103.76,105.63,196699.0,0.0,1.0,105.16,106.08,103.76,105.63,196699.0
2017-12-07,106.23,106.23,104.75,104.97,157774.0,0.0,1.0,106.23,106.23,104.75,104.97,157774.0
2017-12-06,106.44,106.81,106.19,106.29,84899.0,0.0,1.0,106.44,106.81,106.19,106.29,84899.0
2017-12-05,107.29,107.29,106.17,106.5,167714.0,0.0,1.0,107.29,107.29,106.17,106.5,167714.0
2017-12-04,107.68,107.69,106.62,106.66,154178.0,0.0,1.0,107.68,107.69,106.62,106.66,154178.0
2017-12-01,107.74,107.9,104.95,107.08,137017.0,0.0,1.0,107.74,107.9,104.95,107.08,137017.0
2017-11-30,108.19,108.635,107.05,107.6,114162.0,0.0,1.0,108.19,108.635,107.05,107.6,114162.0
2017-11-29,107.11,108.64,107.04,107.99,124395.0,0.0,1.0,107.11,108.64,107.04,107.99,124395.0
2017-11-28,105.98,107.01,105.3,106.89,135613.0,0.0,1.0,105.98,107.01,105.3,106.89,135613.0
2017-11-27,105.2,106.21,105.07,105.82,106495.0,0.0,1.0,105.2,106.21,105.07,105.82,106495.0
2017-11-24,105.02,105.59,104.205,105.15,111158.0,0.0,1.0,105.02,105.59,104.205,105.15,111158.0
2017-11-22,105.85,105.9,103.83,104.46,554294.0,0.0,1.0,105.85,105.9,103.83,104.46,554294.0
2017-11-21,106.43,106.86,105.94,106.33,223930.0,0.0,1.0,106.43,106.86,105.94,106.33,223930.0
2017-11-20,106.05,106.44,105.92,106.04,203522.0,0.0,1.0,106.05,106.44,105.92,106.04,203522.0
2017-11-17,105.88,106.21,104.91,105.73,265731.0,0.0,1.0,105.88,106.21,104.91,105.73,265731.0
2017-11-16,107.4,107.4,106.16,106.24,299165.0,0.0,1.0,107.4,107.4,106.16,106.24,299165.0
2017-11-15,106.28,107.695,106.215,107.2,268796.0,0.0,1.0,106.28,107.695,106.215,107.2,268796.0
2017-11-14,106.21,107.18,106.075,106.92,119015.0,0.0,1.0,106.21,107.18,106.075,106.92,119015.0
2017-11-13,105.86,107.08,105.86,106.66,157773.0,0.0,1.0,105.86,107.08,105.86,106.66,157773.0
2017-11-10,106.47,106.7,105.65,106.47,117555.0,0.0,1.0,106.47,106.7,105.65,106.47,117555.0
2017-11-09,105.86,107.16,105.86,106.7,128709.0,0.0,1.0,105.86,107.16,105.86,106.7,128709.0
2017-11-07,105.74,107.115,105.74,106.5,295960.0,0.0,1.0,105.74,107.115,105.74,106.5,295960.0
2017-11-06,103.37,105.62,102.675,105.39,325506.0,0.0,1.0,103.37,105.62,102.675,105.39,325506.0
2017-11-03,102.41,104.08,101.26,103.81,230860.0,0.0,1.0,102.41,104.08,101.26,103.81,230860.0
2017-11-02,105.0,106.66,100.12,101.99,422560.0,0.0,1.0,105.0,106.66,100.12,101.99,422560.0
2017-11-01,99.05,99.7,98.52,99.45,190823.0,0.0,1.0,99.05,99.7,98.52,99.45,190823.0
2017-10-31,98.62,98.95,98.01,98.38,112206.0,0.0,1.0,98.62,98.95,98.01,98.38,112206.0
2017-10-30,98.5,99.48,98.22,98.54,100721.0,0.0,1.0,98.5,99.48,98.22,98.54,100721.0
2017-10-27,99.06,99.06,97.99,98.59,97569.0,0.0,1.0,99.06,99.06,97.99,98.59,97569.0
2017-10-26,99.08,99.65,98.19,99.22,85589.0,0.0,1.0,99.08,99.65,98.19,99.22,85589.0
2017-10-25,98.79,99.14,98.03,98.89,90218.0,0.0,1.0,98.79,99.14,98.03,98.89,90218.0
2017-10-24,98.48,99.73,98.38,98.87,151080.0,0.0,1.0,98.48,99.73,98.38,98.87,151080.0
2017-10-23,98.9,98.9,98.1,98.1,134422.0,0.0,1.0,98.9,98.9,98.1,98.1,134422.0
2017-10-20,99.81,99.81,98.57,98.85,114092.0,0.0,1.0,99.81,99.81,98.57,98.85,114092.0
2017-10-19,97.73,99.25,97.73,99.07,141282.0,0.0,1.0,97.73,99.25,97.73,99.07,141282.0
2017-10-18,97.72,98.385,97.6,98.23,76329.0,0.0,1.0,97.72,98.385,97.6,98.23,76329.0
2017-10-17,97.34,97.865,96.85,97.32,162335.0,0.0,1.0,97.34,97.865,96.85,97.32,162335.0
2017-10-16,96.85,97.95,96.85,97.24,193622.0,0.0,1.0,96.85,97.95,96.85,97.24,193622.0
2017-10-13,96.86,97.59,96.58,96.9,261939.0,0.0,1.0,96.86,97.59,96.58,96.9,261939.0
2017-10-12,98.11,98.11,96.84,96.87,195144.0,0.0,1.0,98.11,98.11,96.84,96.87,195144.0
2017-10-11,98.7,98.7,96.67,97.86,396396.0,0.0,1.0,98.7,98.7,96.67,97.86,396396.0
2017-10-10,97.6,99.18,97.53,99.11,130297.0,0.0,1.0,97.6,99.18,97.53,99.11,130297.0
2017-10-09,98.09,98.19,96.92,97.66,177630.0,0.0,1.0,98.09,98.19,96.92,97.66,177630.0
2017-10-06,96.85,98.34,96.42,97.68,216248.0,0.0,1.0,96.85,98.34,96.42,97.68,216248.0
2017-10-05,98.16,98.26,97.365,98.11,167364.0,0.0,1.0,98.16,98.26,97.365,98.11,167364.0
2017-10-04,97.41,98.42,97.17,98.21,200950.0,0.0,1.0,97.41,98.42,97.17,98.21,200950.0
2017-10-03,97.75,97.97,96.66,97.81,217494.0,0.0,1.0,97.75,97.97,96.66,97.81,217494.0
2017-10-02,97.27,97.93,96.56,97.74,223629.0,0.0,1.0,97.27,97.93,96.56,97.74,223629.0
2017-09-29,97.64,98.05,96.64,96.93,189836.0,0.0,1.0,97.64,98.05,96.64,96.93,189836.0
2017-09-28,98.48,98.48,96.94,97.7,221224.0,0.0,1.0,98.48,98.48,96.94,97.7,221224.0
2017-09-27,99.03,99.14,98.58,98.63,284219.0,0.0,1.0,99.03,99.14,98.58,98.63,284219.0
2017-09-26,98.72,99.075,97.42,98.28,229465.0,0.0,1.0,98.72,99.075,97.42,98.28,229465.0
2017-09-25,97.89,99.16,97.75,98.99,145795.0,0.0,1.0,97.89,99.16,97.75,98.99,145795.0
2017-09-22,97.11,98.235,97.11,98.14,91349.0,0.0,1.0,97.11,98.235,97.11,98.14,91349.0
2017-09-21,96.49,97.64,96.32,97.26,237232.0,0.0,1.0,96.49,97.64,96.32,97.26,237232.0
2017-09-20,96.74,96.9,95.95,96.22,227619.0,0.0,1.0,96.74,96.9,95.95,96.22,227619.0
2017-09-19,96.1,97.2,96.1,96.6,291493.0,0.0,1.0,96.1,97.2,96.1,96.6,291493.0
2017-09-18,95.44,95.7,94.67,95.55,194121.0,0.0,1.0,95.44,95.7,94.67,95.55,194121.0
2017-09-15,95.0,95.65,94.38,95.27,479835.0,0.0,1.0,95.0,95.65,94.38,95.27,479835.0
2017-09-14,95.86,95.86,94.74,95.22,268976.0,0.5,1.0,95.86,95.86,94.74,95.22,268976.0
2017-09-13,96.08,97.12,94.985,96.31,226253.0,0.0,1.0,95.578119515253,96.61268700376101,94.488839323025,95.80691809444201,226253.0
2017-09-12,95.18,96.41,94.53,96.37,206059.0,0.0,1.0,94.682820727121,95.90639573756799,94.03621604680299,95.86660468031799,206059.0
2017-09-11,93.54,96.33,93.54,94.95,326943.0,0.0,1.0,93.051387379858,95.826813623067,93.051387379858,94.454022147931,326943.0
