Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,44.53,44.53,43.09,43.4,2194025.0,0.0,1.0,44.53,44.53,43.09,43.4,2194025.0
2018-03-26,44.63,44.85,43.34,44.23,1618328.0,0.0,1.0,44.63,44.85,43.34,44.23,1618328.0
2018-03-23,44.41,45.24,43.8,43.8,1879558.0,0.0,1.0,44.41,45.24,43.8,43.8,1879558.0
2018-03-22,44.43,45.38,44.04,44.05,1580777.0,0.0,1.0,44.43,45.38,44.04,44.05,1580777.0
2018-03-21,44.22,45.29,43.97,45.0,1501538.0,0.0,1.0,44.22,45.29,43.97,45.0,1501538.0
2018-03-20,44.64,45.0,44.01,44.09,1171956.0,0.0,1.0,44.64,45.0,44.01,44.09,1171956.0
2018-03-19,44.65,44.69,43.98,44.58,1621593.0,0.0,1.0,44.65,44.69,43.98,44.58,1621593.0
2018-03-16,43.94,44.91,43.83,44.79,2493548.0,0.0,1.0,43.94,44.91,43.83,44.79,2493548.0
2018-03-15,44.64,44.67,43.59,43.85,1535800.0,0.0,1.0,44.64,44.67,43.59,43.85,1535800.0
2018-03-14,45.4,45.4,44.06,44.38,1397627.0,0.0,1.0,45.4,45.4,44.06,44.38,1397627.0
2018-03-13,45.23,45.76,44.86,45.11,1718557.0,0.0,1.0,45.23,45.76,44.86,45.11,1718557.0
2018-03-12,45.23,45.56,44.87,44.94,1972879.0,0.0,1.0,45.23,45.56,44.87,44.94,1972879.0
2018-03-09,45.34,45.37,44.51,45.22,1527212.0,0.0,1.0,45.34,45.37,44.51,45.22,1527212.0
2018-03-08,44.9,45.19,44.35,45.01,1320161.0,0.0,1.0,44.9,45.19,44.35,45.01,1320161.0
2018-03-07,44.59,45.27,44.07,44.74,1349448.0,0.0,1.0,44.59,45.27,44.07,44.74,1349448.0
2018-03-06,44.62,45.08,44.05,45.06,1519863.0,0.0,1.0,44.62,45.08,44.05,45.06,1519863.0
2018-03-05,43.61,44.79,43.5,44.32,1938990.0,0.0,1.0,43.61,44.79,43.5,44.32,1938990.0
2018-03-02,43.36,44.015,42.93,43.91,1997954.0,0.0,1.0,43.36,44.015,42.93,43.91,1997954.0
2018-03-01,43.92,44.37,42.88,43.84,3825356.0,0.0,1.0,43.92,44.37,42.88,43.84,3825356.0
2018-02-28,45.38,45.39,43.43,43.83,4833821.0,0.0,1.0,45.38,45.39,43.43,43.83,4833821.0
2018-02-27,48.48,49.24,44.88,45.1,6174388.0,0.0,1.0,48.48,49.24,44.88,45.1,6174388.0
2018-02-26,47.0,47.7,46.37,47.53,3485953.0,0.0,1.0,47.0,47.7,46.37,47.53,3485953.0
2018-02-23,46.31,46.56,45.46,46.55,2191550.0,0.0,1.0,46.31,46.56,45.46,46.55,2191550.0
2018-02-22,46.85,47.02,46.12,46.24,2366197.0,0.0,1.0,46.85,47.02,46.12,46.24,2366197.0
2018-02-21,47.0,48.31,46.63,46.68,2479517.0,0.0,1.0,47.0,48.31,46.63,46.68,2479517.0
2018-02-20,46.86,47.48,46.53,46.78,1538234.0,0.0,1.0,46.86,47.48,46.53,46.78,1538234.0
2018-02-16,46.62,47.44,46.47,47.07,1539020.0,0.0,1.0,46.62,47.44,46.47,47.07,1539020.0
2018-02-15,46.84,46.93,45.99,46.59,1608735.0,0.0,1.0,46.84,46.93,45.99,46.59,1608735.0
2018-02-14,45.06,46.69,45.06,46.49,1955983.0,0.0,1.0,45.06,46.69,45.06,46.49,1955983.0
