Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,32.32,32.79,31.77,31.99,829524.0,0.0,1.0,32.32,32.79,31.77,31.99,829524.0
2018-03-26,32.12,32.28,31.605,32.28,1466703.0,0.0,1.0,32.12,32.28,31.605,32.28,1466703.0
2018-03-23,32.1,32.37,31.73,31.73,1376024.0,0.0,1.0,32.1,32.37,31.73,31.73,1376024.0
2018-03-22,32.52,32.94,31.98,32.02,1722083.0,0.0,1.0,32.52,32.94,31.98,32.02,1722083.0
2018-03-21,33.04,33.5,32.99,33.01,900280.0,0.0,1.0,33.04,33.5,32.99,33.01,900280.0
2018-03-20,32.89,33.34,32.83,33.01,1596490.0,0.0,1.0,32.89,33.34,32.83,33.01,1596490.0
2018-03-19,32.65,32.82,32.22,32.78,1265993.0,0.0,1.0,32.65,32.82,32.22,32.78,1265993.0
2018-03-16,32.86,33.18,32.72,32.79,4069875.0,0.0,1.0,32.86,33.18,32.72,32.79,4069875.0
2018-03-15,33.2,33.4,32.69,32.72,1275390.0,0.0,1.0,33.2,33.4,32.69,32.72,1275390.0
2018-03-14,33.71,33.71,33.04,33.18,739371.0,0.0,1.0,33.71,33.71,33.04,33.18,739371.0
2018-03-13,33.76,33.955,33.07,33.19,1323705.0,0.0,1.0,33.76,33.955,33.07,33.19,1323705.0
2018-03-12,33.69,33.9,33.5,33.5,794870.0,0.0,1.0,33.69,33.9,33.5,33.5,794870.0
2018-03-09,33.48,33.77,33.31,33.74,1850062.0,0.0,1.0,33.48,33.77,33.31,33.74,1850062.0
2018-03-08,33.25,33.34,32.9,33.2,902234.0,0.0,1.0,33.25,33.34,32.9,33.2,902234.0
2018-03-07,32.9,33.265,32.81,33.18,1406640.0,0.0,1.0,32.9,33.265,32.81,33.18,1406640.0
2018-03-06,33.35,33.81,32.83,33.15,1712664.0,0.0,1.0,33.35,33.81,32.83,33.15,1712664.0
2018-03-05,33.27,33.76,33.15,33.54,1848717.0,0.0,1.0,33.27,33.76,33.15,33.54,1848717.0
2018-03-02,32.36,33.37,32.16,33.28,1328205.0,0.0,1.0,32.36,33.37,32.16,33.28,1328205.0
2018-03-01,32.77,33.16,32.47,32.74,1536835.0,0.0,1.0,32.77,33.16,32.47,32.74,1536835.0
2018-02-28,33.16,33.205,32.62,32.64,1510513.0,0.0,1.0,33.16,33.205,32.62,32.64,1510513.0
2018-02-27,33.4,33.92,33.07,33.08,1369440.0,0.0,1.0,33.4,33.92,33.07,33.08,1369440.0
2018-02-26,33.67,34.09,33.4,33.52,1859949.0,0.0,1.0,33.67,34.09,33.4,33.52,1859949.0
2018-02-23,34.15,34.29,33.06,33.57,1778591.0,0.0,1.0,34.15,34.29,33.06,33.57,1778591.0
2018-02-22,34.1,35.44,33.5,34.26,2402025.0,0.0,1.0,34.1,35.44,33.5,34.26,2402025.0
2018-02-21,34.88,35.74,34.66,35.23,1800002.0,0.0,1.0,34.88,35.74,34.66,35.23,1800002.0
2018-02-20,34.74,35.22,34.26,34.76,1282710.0,0.0,1.0,34.74,35.22,34.26,34.76,1282710.0
2018-02-16,34.63,35.375,34.5,34.84,2276454.0,0.0,1.0,34.63,35.375,34.5,34.84,2276454.0
2018-02-15,33.82,34.2924,33.62,34.06,1475593.0,0.0,1.0,33.82,34.2924,33.62,34.06,1475593.0
2018-02-14,32.45,33.54,32.26,33.51,1046721.0,0.0,1.0,32.45,33.54,32.26,33.51,1046721.0
2018-02-13,32.26,33.03,32.16,32.69,921016.0,0.0,1.0,32.26,33.03,32.16,32.69,921016.0
2018-02-12,32.01,32.61,31.705,32.4,1069662.0,0.0,1.0,32.01,32.61,31.705,32.4,1069662.0
2018-02-09,32.02,32.17,30.96,31.9,1361102.0,0.0,1.0,32.02,32.17,30.96,31.9,1361102.0
2018-02-08,32.42,32.64,31.77,31.77,1109875.0,0.0,1.0,32.42,32.64,31.77,31.77,1109875.0
2018-02-07,32.5,32.79,32.18,32.46,1107490.0,0.0,1.0,32.5,32.79,32.18,32.46,1107490.0
2018-02-06,31.47,33.03,31.25,32.75,1470690.0,0.0,1.0,31.47,33.03,31.25,32.75,1470690.0
2018-02-05,33.21,33.75,32.26,32.26,1896312.0,0.0,1.0,33.21,33.75,32.26,32.26,1896312.0
2018-02-02,33.98,34.1,33.29,33.59,1149769.0,0.0,1.0,33.98,34.1,33.29,33.59,1149769.0
2018-02-01,34.26,34.98,33.821,34.29,1937524.0,0.0,1.0,34.26,34.98,33.821,34.29,1937524.0
2018-01-31,35.27,35.56,34.241,34.47,1017165.0,0.0,1.0,35.27,35.56,34.241,34.47,1017165.0
2018-01-30,35.13,35.35,34.54,34.96,1011989.0,0.0,1.0,35.13,35.35,34.54,34.96,1011989.0
2018-01-29,36.35,36.56,35.52,35.53,1134851.0,0.0,1.0,36.35,36.56,35.52,35.53,1134851.0
2018-01-26,35.91,36.46,35.57,36.42,975914.0,0.0,1.0,35.91,36.46,35.57,36.42,975914.0
2018-01-25,35.76,36.19,35.6,35.84,985300.0,0.0,1.0,35.76,36.19,35.6,35.84,985300.0
2018-01-24,36.12,36.2,35.36,35.51,2296415.0,0.0,1.0,36.12,36.2,35.36,35.51,2296415.0
2018-01-23,36.53,36.56,35.83,35.92,1332927.0,0.0,1.0,36.53,36.56,35.83,35.92,1332927.0
2018-01-22,36.6,36.6,36.15,36.51,1454976.0,0.0,1.0,36.6,36.6,36.15,36.51,1454976.0
2018-01-19,36.24,36.76,36.11,36.66,868796.0,0.0,1.0,36.24,36.76,36.11,36.66,868796.0
2018-01-18,35.94,36.3,35.89,36.1,586015.0,0.0,1.0,35.94,36.3,35.89,36.1,586015.0
2018-01-17,36.23,36.48,36.03,36.15,1138859.0,0.0,1.0,36.23,36.48,36.03,36.15,1138859.0
2018-01-16,37.37,37.58,35.9523,36.11,1177326.0,0.0,1.0,37.37,37.58,35.9523,36.11,1177326.0
2018-01-12,36.96,37.23,36.9,37.15,496788.0,0.0,1.0,36.96,37.23,36.9,37.15,496788.0
2018-01-11,36.38,36.86,36.3,36.82,787744.0,0.0,1.0,36.38,36.86,36.3,36.82,787744.0
2018-01-10,36.67,36.82,36.28,36.34,590546.0,0.0,1.0,36.67,36.82,36.28,36.34,590546.0
2018-01-09,36.85,37.15,36.57,36.6,874792.0,0.0,1.0,36.85,37.15,36.57,36.6,874792.0
2018-01-08,36.55,36.83,36.185,36.72,891178.0,0.0,1.0,36.55,36.83,36.185,36.72,891178.0
2018-01-05,36.6,36.83,36.2,36.59,1580717.0,0.0,1.0,36.6,36.83,36.2,36.59,1580717.0
2018-01-04,37.72,37.84,36.98,37.0,1845949.0,0.0,1.0,37.72,37.84,36.98,37.0,1845949.0
2018-01-03,37.79,38.08,37.4,37.58,1209915.0,0.0,1.0,37.79,38.08,37.4,37.58,1209915.0
2018-01-02,37.57,37.88,37.34,37.74,1431323.0,0.0,1.0,37.57,37.88,37.34,37.74,1431323.0
2017-12-29,37.84,37.99,37.37,37.46,1112627.0,0.0,1.0,37.84,37.99,37.37,37.46,1112627.0
2017-12-28,37.76,37.9,37.62,37.88,697323.0,0.0,1.0,37.76,37.9,37.62,37.88,697323.0
2017-12-27,37.61,37.84,37.445,37.55,656986.0,0.0,1.0,37.61,37.84,37.445,37.55,656986.0
2017-12-26,37.27,37.84,37.27,37.54,781972.0,0.0,1.0,37.27,37.84,37.27,37.54,781972.0
2017-12-22,37.61,37.69,37.24,37.27,542479.0,0.0,1.0,37.61,37.69,37.24,37.27,542479.0
2017-12-21,37.17,37.67,37.04,37.47,494102.0,0.0,1.0,37.17,37.67,37.04,37.47,494102.0
2017-12-20,36.94,37.43,36.85,37.04,1375114.0,0.0,1.0,36.94,37.43,36.85,37.04,1375114.0
2017-12-19,36.97,37.28,36.69,36.89,1625999.0,0.0,1.0,36.97,37.28,36.69,36.89,1625999.0
2017-12-18,37.13,37.28,36.96,37.19,1037837.0,0.0,1.0,37.13,37.28,36.96,37.19,1037837.0
2017-12-15,37.245,37.32,36.59,36.71,1813618.0,0.0,1.0,37.245,37.32,36.59,36.71,1813618.0
2017-12-14,37.27,37.46,36.38,36.48,1724837.0,0.0,1.0,37.27,37.46,36.38,36.48,1724837.0
