Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,61.29,61.84,60.18,60.42,460470.0,0.0,1.0,61.29,61.84,60.18,60.42,460470.0
2018-03-26,60.78,61.31,59.61,61.17,489064.0,0.0,1.0,60.78,61.31,59.61,61.17,489064.0
2018-03-23,60.87,61.24,59.84,59.84,650080.0,0.0,1.0,60.87,61.24,59.84,59.84,650080.0
2018-03-22,62.11,62.66,60.84,60.85,588112.0,0.0,1.0,62.11,62.66,60.84,60.85,588112.0
2018-03-21,63.0,63.3,62.62,62.77,407716.0,0.0,1.0,63.0,63.3,62.62,62.77,407716.0
2018-03-20,62.85,63.47,62.305,62.98,418880.0,0.0,1.0,62.85,63.47,62.305,62.98,418880.0
2018-03-19,62.87,62.96,62.35,62.66,540201.0,0.0,1.0,62.87,62.96,62.35,62.66,540201.0
2018-03-16,62.73,63.36,62.625,63.08,794000.0,0.0,1.0,62.73,63.36,62.625,63.08,794000.0
2018-03-15,62.77,63.09,62.37,62.61,289583.0,0.0,1.0,62.77,63.09,62.37,62.61,289583.0
2018-03-14,63.47,63.95,62.45,62.62,230737.0,0.0,1.0,63.47,63.95,62.45,62.62,230737.0
2018-03-13,63.46,64.14,63.02,63.2,253889.0,0.0,1.0,63.46,64.14,63.02,63.2,253889.0
2018-03-12,63.61,64.16,63.12,63.32,524915.0,0.0,1.0,63.61,64.16,63.12,63.32,524915.0
2018-03-09,62.63,63.68,62.39,63.6,462384.0,0.0,1.0,62.63,63.68,62.39,63.6,462384.0
2018-03-08,62.14,62.26,61.48,62.14,508620.0,0.0,1.0,62.14,62.26,61.48,62.14,508620.0
2018-03-07,61.22,62.15,61.17,61.81,549580.0,0.0,1.0,61.22,62.15,61.17,61.81,549580.0
2018-03-06,62.06,62.26,61.02,61.81,663009.0,0.0,1.0,62.06,62.26,61.02,61.81,663009.0
2018-03-05,60.94,61.97,60.8875,61.79,519837.0,0.0,1.0,60.94,61.97,60.8875,61.79,519837.0
2018-03-02,61.49,61.5,60.7001,61.3,474875.0,0.0,1.0,61.49,61.5,60.7001,61.3,474875.0
2018-03-01,63.59,63.89,61.87,62.1,701953.0,0.0,1.0,63.59,63.89,61.87,62.1,701953.0
2018-02-28,64.6,65.03,63.57,63.57,645303.0,0.0,1.0,64.6,65.03,63.57,63.57,645303.0
2018-02-27,64.36,65.06,64.07,64.34,1060111.0,0.0,1.0,64.36,65.06,64.07,64.34,1060111.0
2018-02-26,64.0,64.56,63.59,64.43,900946.0,0.0,1.0,64.0,64.56,63.59,64.43,900946.0
2018-02-23,62.81,64.04,62.46,63.79,819266.0,0.0,1.0,62.81,64.04,62.46,63.79,819266.0
2018-02-22,62.62,63.02,60.48,62.38,874692.0,0.0,1.0,62.62,63.02,60.48,62.38,874692.0
2018-02-21,61.81,62.91,61.6,62.28,868978.0,0.0,1.0,61.81,62.91,61.6,62.28,868978.0
2018-02-20,62.67,62.83,61.27,61.73,552646.0,0.0,1.0,62.67,62.83,61.27,61.73,552646.0
2018-02-16,62.3,63.8035,62.3,63.07,714233.0,0.0,1.0,62.3,63.8035,62.3,63.07,714233.0
2018-02-15,62.85,62.85,61.69,62.28,511761.0,0.0,1.0,62.85,62.85,61.69,62.28,511761.0
2018-02-14,60.66,62.53,60.66,62.42,517205.0,0.0,1.0,60.66,62.53,60.66,62.42,517205.0
2018-02-13,60.68,61.3,60.37,60.99,401999.0,0.0,1.0,60.68,61.3,60.37,60.99,401999.0
2018-02-12,60.4,61.53,60.1,60.95,563558.0,0.0,1.0,60.4,61.53,60.1,60.95,563558.0
2018-02-09,60.47,60.71,58.6398,59.99,889262.0,0.0,1.0,60.47,60.71,58.6398,59.99,889262.0
2018-02-08,62.69,62.92,59.74,59.78,644184.0,0.0,1.0,62.69,62.92,59.74,59.78,644184.0
2018-02-07,61.66,63.36,61.66,62.95,717687.0,0.0,1.0,61.66,63.36,61.66,62.95,717687.0
2018-02-06,60.06,62.31,58.54,61.87,855395.0,0.0,1.0,60.06,62.31,58.54,61.87,855395.0
2018-02-05,64.04,64.42,60.77,61.14,746137.0,0.0,1.0,64.04,64.42,60.77,61.14,746137.0
2018-02-02,65.43,65.89,64.72,64.82,338584.0,0.0,1.0,65.43,65.89,64.72,64.82,338584.0
2018-02-01,65.44,66.19,64.735,65.78,265466.0,0.0,1.0,65.44,66.19,64.735,65.78,265466.0
2018-01-31,66.38,66.59,65.54,65.65,335686.0,0.0,1.0,66.38,66.59,65.54,65.65,335686.0
2018-01-30,66.22,66.36,65.681,66.03,271616.0,0.0,1.0,66.22,66.36,65.681,66.03,271616.0
2018-01-29,67.02,67.25,66.53,66.53,290440.0,0.0,1.0,67.02,67.25,66.53,66.53,290440.0
2018-01-26,67.11,67.6,66.96,67.26,318910.0,0.0,1.0,67.11,67.6,66.96,67.26,318910.0
2018-01-25,67.46,67.49,66.59,66.97,319780.0,0.0,1.0,67.46,67.49,66.59,66.97,319780.0
2018-01-24,66.9,67.64,66.89,67.11,384213.0,0.0,1.0,66.9,67.64,66.89,67.11,384213.0
2018-01-23,66.78,66.78,66.34,66.65,310920.0,0.0,1.0,66.78,66.78,66.34,66.65,310920.0
2018-01-22,67.46,67.81,66.62,67.01,349019.0,0.0,1.0,67.46,67.81,66.62,67.01,349019.0
2018-01-19,66.86,67.51,66.86,67.33,759382.0,0.0,1.0,66.86,67.51,66.86,67.33,759382.0
2018-01-18,66.82,67.19,66.42,66.62,256810.0,0.0,1.0,66.82,67.19,66.42,66.62,256810.0
2018-01-17,66.68,66.91,66.23,66.69,392632.0,0.0,1.0,66.68,66.91,66.23,66.69,392632.0
2018-01-16,67.38,67.65,66.09,66.13,641714.0,0.0,1.0,67.38,67.65,66.09,66.13,641714.0
2018-01-12,67.42,67.42,66.83,66.98,342118.0,0.0,1.0,67.42,67.42,66.83,66.98,342118.0
2018-01-11,66.42,67.2,65.8,67.15,431973.0,0.0,1.0,66.42,67.2,65.8,67.15,431973.0
2018-01-10,66.16,66.39,65.57,66.36,469009.0,0.0,1.0,66.16,66.39,65.57,66.36,469009.0
2018-01-09,66.13,66.47,65.97,66.17,383791.0,0.0,1.0,66.13,66.47,65.97,66.17,383791.0
2018-01-08,66.65,67.1,66.04,66.1,361322.0,0.0,1.0,66.65,67.1,66.04,66.1,361322.0
2018-01-05,65.96,66.75,65.92,66.67,677112.0,0.0,1.0,65.96,66.75,65.92,66.67,677112.0
2018-01-04,65.6,66.3,65.43,65.7,552439.0,0.0,1.0,65.6,66.3,65.43,65.7,552439.0
2018-01-03,65.5,65.9,65.14,65.43,388041.0,0.0,1.0,65.5,65.9,65.14,65.43,388041.0
2018-01-02,65.32,65.66,64.96,65.41,409953.0,0.0,1.0,65.32,65.66,64.96,65.41,409953.0
2017-12-29,65.7,65.74,65.22,65.23,276584.0,0.0,1.0,65.7,65.74,65.22,65.23,276584.0
2017-12-28,65.41,65.45,64.97,65.41,267640.0,0.0,1.0,65.41,65.45,64.97,65.41,267640.0
2017-12-27,65.02,65.58,64.9859,65.24,270085.0,0.0,1.0,65.02,65.58,64.9859,65.24,270085.0
2017-12-26,64.91,65.48,64.81,64.89,259471.0,0.0,1.0,64.91,65.48,64.81,64.89,259471.0
2017-12-22,64.82,65.64,64.48,65.08,300515.0,0.0,1.0,64.82,65.64,64.48,65.08,300515.0
2017-12-21,65.02,65.57,64.72,65.37,1606314.0,0.0,1.0,65.02,65.57,64.72,65.37,1606314.0
2017-12-20,64.85,65.12,64.57,64.96,500996.0,0.0,1.0,64.85,65.12,64.57,64.96,500996.0
2017-12-19,64.5,64.785,64.18,64.58,338298.0,0.0,1.0,64.5,64.785,64.18,64.58,338298.0
2017-12-18,65.22,65.3,64.32,64.39,364416.0,0.0,1.0,65.22,65.3,64.32,64.39,364416.0
2017-12-15,65.0,65.18,64.64,64.7,747227.0,0.0,1.0,65.0,65.18,64.64,64.7,747227.0
2017-12-14,64.77,65.47,64.26,64.4,371866.0,0.0,1.0,64.77,65.47,64.26,64.4,371866.0
2017-12-13,64.85,65.56,64.75,65.19,511651.0,0.0,1.0,64.85,65.56,64.75,65.19,511651.0
2017-12-12,65.15,65.42,64.46,64.59,722772.0,0.0,1.0,65.15,65.42,64.46,64.59,722772.0
2017-12-11,66.07,66.16,65.0,65.22,646518.0,0.0,1.0,66.07,66.16,65.0,65.22,646518.0
2017-12-08,66.12,66.12,65.09,65.93,613196.0,0.0,1.0,66.12,66.12,65.09,65.93,613196.0
2017-12-07,63.79,65.62,63.49,65.5,1077361.0,0.0,1.0,63.79,65.62,63.49,65.5,1077361.0
2017-12-06,65.11,65.32,63.9,64.06,712051.0,0.0,1.0,65.11,65.32,63.9,64.06,712051.0
2017-12-05,66.43,66.76,65.22,65.4,862075.0,0.0,1.0,66.43,66.76,65.22,65.4,862075.0
2017-12-04,66.0,66.72,66.0,66.25,603551.0,0.0,1.0,66.0,66.72,66.0,66.25,603551.0
2017-12-01,65.2,65.52,63.48,65.48,566083.0,0.0,1.0,65.2,65.52,63.48,65.48,566083.0
2017-11-30,64.62,65.41,64.25,65.25,434965.0,0.0,1.0,64.62,65.41,64.25,65.25,434965.0
2017-11-29,63.92,64.49,63.82,64.47,352655.0,0.0,1.0,63.92,64.49,63.82,64.47,352655.0
2017-11-28,63.07,63.74,62.87,63.73,653060.0,0.0,1.0,63.07,63.74,62.87,63.73,653060.0
2017-11-27,62.72,63.32,62.72,62.93,505939.0,0.0,1.0,62.72,63.32,62.72,62.93,505939.0
2017-11-24,62.92,63.08,62.68,62.77,142180.0,0.0,1.0,62.92,63.08,62.68,62.77,142180.0
2017-11-22,62.51,62.99,62.46,62.72,224791.0,0.0,1.0,62.51,62.99,62.46,62.72,224791.0
2017-11-21,62.23,62.44,61.69,62.44,521646.0,0.0,1.0,62.23,62.44,61.69,62.44,521646.0
2017-11-20,61.98,62.36,61.79,61.97,460082.0,0.0,1.0,61.98,62.36,61.79,61.97,460082.0
2017-11-17,61.71,62.2723,61.3,61.77,708712.0,0.0,1.0,61.71,62.2723,61.3,61.77,708712.0
2017-11-16,61.77,62.085,61.62,61.85,610068.0,0.0,1.0,61.77,62.085,61.62,61.85,610068.0
2017-11-15,61.39,61.96,60.9,61.63,368022.0,0.0,1.0,61.39,61.96,60.9,61.63,368022.0
2017-11-14,61.78,62.03,61.47,61.84,355279.0,0.0,1.0,61.78,62.03,61.47,61.84,355279.0
2017-11-13,61.64,62.1,61.1,61.92,383152.0,0.0,1.0,61.64,62.1,61.1,61.92,383152.0
2017-11-10,61.16,62.2,61.16,62.07,432281.0,0.0,1.0,61.16,62.2,61.16,62.07,432281.0
2017-11-09,62.28,62.44,61.27,61.5,374380.0,0.0,1.0,62.28,62.44,61.27,61.5,374380.0
2017-11-07,63.27,63.44,62.49,62.71,323452.0,0.0,1.0,63.27,63.44,62.49,62.71,323452.0
2017-11-06,62.79,63.1,62.58,62.98,410525.0,0.0,1.0,62.79,63.1,62.58,62.98,410525.0
2017-11-03,62.76,63.25,62.71,62.95,385350.0,0.0,1.0,62.76,63.25,62.71,62.95,385350.0
2017-11-02,63.11,63.11,62.53,62.76,527812.0,0.0,1.0,63.11,63.11,62.53,62.76,527812.0
2017-11-01,63.17,63.4,62.94,63.14,567537.0,0.0,1.0,63.17,63.4,62.94,63.14,567537.0
2017-10-31,62.7,63.3,62.7,62.85,461445.0,0.0,1.0,62.7,63.3,62.7,62.85,461445.0
2017-10-30,63.64,63.77,62.47,62.5,925095.0,0.0,1.0,63.64,63.77,62.47,62.5,925095.0
