Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,345.0,345.58,337.77,341.57,71718.0,0.0,1.0,345.0,345.58,337.77,341.57,71718.0
2018-03-26,341.72,345.005,340.0,343.57,90865.0,0.0,1.0,341.72,345.005,340.0,343.57,90865.0
2018-03-23,340.75,345.47,336.14,338.0,76310.0,0.0,1.0,340.75,345.47,336.14,338.0,76310.0
2018-03-22,339.71,344.0,336.101,340.0,128205.0,0.0,1.0,339.71,344.0,336.101,340.0,128205.0
2018-03-21,342.29,343.33,339.0,342.11,27271.0,0.0,1.0,342.29,343.33,339.0,342.11,27271.0
2018-03-20,344.4,345.8,340.81,341.43,61380.0,0.0,1.0,344.4,345.8,340.81,341.43,61380.0
2018-03-19,342.47,344.48,339.14,343.92,57672.0,0.0,1.0,342.47,344.48,339.14,343.92,57672.0
2018-03-16,343.86,345.07,340.555,343.95,79238.0,0.0,1.0,343.86,345.07,340.555,343.95,79238.0
2018-03-15,341.7,342.5,339.5,340.56,37175.0,0.0,1.0,341.7,342.5,339.5,340.56,37175.0
2018-03-14,341.7,345.0,339.63,340.39,48869.0,0.0,1.0,341.7,345.0,339.63,340.39,48869.0
2018-03-13,338.78,344.81,335.5,340.71,85770.0,0.0,1.0,338.78,344.81,335.5,340.71,85770.0
2018-03-12,342.34,342.34,333.99,336.95,89122.0,0.0,1.0,342.34,342.34,333.99,336.95,89122.0
2018-03-09,330.09,342.47,328.77,341.44,95306.0,0.0,1.0,330.09,342.47,328.77,341.44,95306.0
2018-03-08,330.31,331.475,327.1,328.46,60696.0,0.0,1.0,330.31,331.475,327.1,328.46,60696.0
2018-03-07,330.44,330.865,327.61,329.075,81342.0,0.0,1.0,330.44,330.865,327.61,329.075,81342.0
2018-03-06,332.12,335.25,328.26,332.82,54923.0,0.0,1.0,332.12,335.25,328.26,332.82,54923.0
2018-03-05,329.66,336.9,326.295,331.69,130079.0,0.0,1.0,329.66,336.9,326.295,331.69,130079.0
2018-03-02,332.87,335.26,330.11,331.17,117931.0,0.0,1.0,332.87,335.26,330.11,331.17,117931.0
2018-03-01,345.13,346.415,332.46,335.87,90014.0,0.0,1.0,345.13,346.415,332.46,335.87,90014.0
2018-02-28,349.0,351.11,343.13,344.0,150902.0,0.0,1.0,349.0,351.11,343.13,344.0,150902.0
2018-02-27,354.63,356.66,348.1,348.35,58715.0,0.0,1.0,354.63,356.66,348.1,348.35,58715.0
2018-02-26,355.15,356.35,351.19,354.5,25094.0,0.0,1.0,355.15,356.35,351.19,354.5,25094.0
2018-02-23,350.45,354.565,349.0,353.63,30134.0,0.0,1.0,350.45,354.565,349.0,353.63,30134.0
2018-02-22,352.89,355.42,349.18,349.18,48336.0,0.0,1.0,352.89,355.42,349.18,349.18,48336.0
2018-02-21,353.38,353.73,350.7,351.14,72685.0,0.0,1.0,353.38,353.73,350.7,351.14,72685.0
2018-02-20,346.82,356.02,346.82,354.5,76916.0,0.0,1.0,346.82,356.02,346.82,354.5,76916.0
2018-02-16,347.57,351.74,346.88,349.45,57568.0,0.0,1.0,347.57,351.74,346.88,349.45,57568.0
2018-02-15,356.24,356.24,348.3,349.33,48618.0,0.0,1.0,356.24,356.24,348.3,349.33,48618.0
2018-02-14,349.19,356.69,349.14,355.5,43642.0,0.0,1.0,349.19,356.69,349.14,355.5,43642.0
2018-02-13,351.81,352.67,348.345,351.96,35318.0,0.0,1.0,351.81,352.67,348.345,351.96,35318.0
2018-02-12,355.13,358.31,348.745,354.34,56993.0,0.0,1.0,355.13,358.31,348.745,354.34,56993.0
2018-02-09,354.99,356.65,345.17,352.73,82971.0,0.0,1.0,354.99,356.65,345.17,352.73,82971.0
2018-02-08,353.91,363.65,349.0,351.67,100874.0,0.0,1.0,353.91,363.65,349.0,351.67,100874.0
2018-02-07,351.37,357.6,351.16,354.33,158375.0,0.0,1.0,351.37,357.6,351.16,354.33,158375.0
2018-02-06,347.96,357.59,347.96,351.69,169030.0,0.0,1.0,347.96,357.59,347.96,351.69,169030.0
2018-02-05,358.72,362.125,351.68,352.34,124912.0,0.0,1.0,358.72,362.125,351.68,352.34,124912.0
2018-02-02,363.91,368.075,358.5,359.6,117551.0,0.0,1.0,363.91,368.075,358.5,359.6,117551.0
2018-02-01,363.84,369.1389,363.7,365.19,44179.0,0.0,1.0,363.84,369.1389,363.7,365.19,44179.0
2018-01-31,371.33,374.0296,363.125,365.08,104451.0,0.0,1.0,371.33,374.0296,363.125,365.08,104451.0
2018-01-30,371.01,372.58,361.22,370.63,134748.0,0.0,1.0,371.01,372.58,361.22,370.63,134748.0
2018-01-29,382.45,385.9999,373.24,374.26,85711.0,0.0,1.0,382.45,385.9999,373.24,374.26,85711.0
2018-01-26,377.98,385.5,377.98,384.0,65843.0,0.0,1.0,377.98,385.5,377.98,384.0,65843.0
2018-01-25,380.34,381.15,376.12,378.4,86228.0,0.0,1.0,380.34,381.15,376.12,378.4,86228.0
2018-01-24,381.14,381.85,378.0,380.35,67988.0,0.0,1.0,381.14,381.85,378.0,380.35,67988.0
2018-01-23,375.66,381.86,375.17,380.69,83394.0,0.0,1.0,375.66,381.86,375.17,380.69,83394.0
2018-01-22,372.0,377.58,372.0,376.24,109585.0,0.0,1.0,372.0,377.58,372.0,376.24,109585.0
2018-01-19,367.68,372.34,366.85,371.67,37076.0,0.0,1.0,367.68,372.34,366.85,371.67,37076.0
2018-01-18,369.5,370.22,366.465,367.51,27821.0,0.0,1.0,369.5,370.22,366.465,367.51,27821.0
2018-01-17,367.85,372.91,367.61,370.07,56429.0,0.0,1.0,367.85,372.91,367.61,370.07,56429.0
2018-01-16,375.1,375.2375,364.11,367.1,54536.0,0.0,1.0,375.1,375.2375,364.11,367.1,54536.0
2018-01-12,378.67,379.8925,372.175,373.38,55472.0,0.0,1.0,378.67,379.8925,372.175,373.38,55472.0
2018-01-11,374.17,377.67,373.41,377.54,36508.0,0.0,1.0,374.17,377.67,373.41,377.54,36508.0
2018-01-10,374.87,376.16,371.5,372.96,33227.0,0.0,1.0,374.87,376.16,371.5,372.96,33227.0
2018-01-09,374.38,375.025,372.25,374.94,31545.0,0.0,1.0,374.38,375.025,372.25,374.94,31545.0
2018-01-08,374.92,376.52,372.0,373.44,43015.0,0.0,1.0,374.92,376.52,372.0,373.44,43015.0
2018-01-05,380.76,380.76,375.48,375.48,24262.0,0.0,1.0,380.76,380.76,375.48,375.48,24262.0
2018-01-04,377.38,382.56,377.0,380.02,63386.0,0.0,1.0,377.38,382.56,377.0,380.02,63386.0
2018-01-03,380.08,380.08,375.04,375.64,35878.0,0.0,1.0,380.08,380.08,375.04,375.64,35878.0
2018-01-02,379.67,382.41,375.46,379.61,68736.0,0.0,1.0,379.67,382.41,375.46,379.61,68736.0
2017-12-29,379.72,381.3,375.64,377.91,32092.0,0.0,1.0,379.72,381.3,375.64,377.91,32092.0
2017-12-28,379.07,379.9995,376.7,379.18,25714.0,0.0,1.0,379.07,379.9995,376.7,379.18,25714.0
2017-12-27,381.99,382.73,378.81,379.73,22381.0,0.0,1.0,381.99,382.73,378.81,379.73,22381.0
2017-12-26,379.53,385.14,379.47,380.6,48676.0,0.0,1.0,379.53,385.14,379.47,380.6,48676.0
2017-12-22,381.0,381.0,376.47,379.27,26008.0,0.0,1.0,381.0,381.0,376.47,379.27,26008.0
2017-12-21,383.3,384.6,377.31,379.91,66355.0,0.0,1.0,383.3,384.6,377.31,379.91,66355.0
2017-12-20,381.39,384.74,380.3,383.31,37092.0,0.0,1.0,381.39,384.74,380.3,383.31,37092.0
2017-12-19,381.08,382.78,380.0,381.88,45848.0,0.0,1.0,381.08,382.78,380.0,381.88,45848.0
2017-12-18,379.63,383.96,379.63,381.07,39000.0,0.0,1.0,379.63,383.96,379.63,381.07,39000.0
2017-12-15,377.97,380.77,373.93,377.68,82129.0,0.0,1.0,377.97,380.77,373.93,377.68,82129.0
2017-12-14,380.22,380.835,375.25,375.68,34815.0,0.0,1.0,380.22,380.835,375.25,375.68,34815.0
2017-12-13,380.13,381.9,378.39,378.84,49149.0,0.0,1.0,380.13,381.9,378.39,378.84,49149.0
2017-12-12,380.35,383.08,378.5,379.66,42436.0,0.0,1.0,380.35,383.08,378.5,379.66,42436.0
2017-12-11,380.83,384.37,378.89,380.33,49630.0,0.0,1.0,380.83,384.37,378.89,380.33,49630.0
2017-12-08,378.7,383.06,378.7,381.12,42740.0,0.0,1.0,378.7,383.06,378.7,381.12,42740.0
2017-12-07,373.85,379.72,373.85,378.27,39562.0,0.0,1.0,373.85,379.72,373.85,378.27,39562.0
2017-12-06,372.94,376.41,370.675,374.77,49678.0,0.0,1.0,372.94,376.41,370.675,374.77,49678.0
2017-12-05,385.26,385.26,373.44,374.31,70897.0,0.0,1.0,385.26,385.26,373.44,374.31,70897.0
2017-12-04,379.27,385.51,379.27,383.89,177972.0,0.0,1.0,379.27,385.51,379.27,383.89,177972.0
2017-12-01,369.87,379.33,366.01,378.39,160233.0,0.0,1.0,369.87,379.33,366.01,378.39,160233.0
2017-11-30,369.62,375.0,367.855,370.67,239481.0,0.0,1.0,369.62,375.0,367.855,370.67,239481.0
