Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,109.3,109.84,106.91,107.21,354837.0,0.0,1.0,109.3,109.84,106.91,107.21,354837.0
2018-03-26,108.73,109.935,106.801,109.4,373677.0,0.0,1.0,108.73,109.935,106.801,109.4,373677.0
2018-03-23,108.67,110.0,107.11,107.39,274375.0,0.0,1.0,108.67,110.0,107.11,107.39,274375.0
2018-03-22,108.18,110.28,106.3001,108.42,297908.0,0.0,1.0,108.18,110.28,106.3001,108.42,297908.0
2018-03-21,107.22,109.9508,106.81,109.06,329297.0,0.0,1.0,107.22,109.9508,106.81,109.06,329297.0
2018-03-20,110.52,111.01,107.29,107.71,391787.0,0.0,1.0,110.52,111.01,107.29,107.71,391787.0
2018-03-19,110.63,112.71,108.64,110.04,385431.0,0.0,1.0,110.63,112.71,108.64,110.04,385431.0
2018-03-16,111.04,112.31,110.4,111.14,533224.0,0.0,1.0,111.04,112.31,110.4,111.14,533224.0
2018-03-15,112.33,112.33,109.93,111.0,359146.0,0.0,1.0,112.33,112.33,109.93,111.0,359146.0
2018-03-14,113.85,114.61,111.62,111.88,366818.0,0.0,1.0,113.85,114.61,111.62,111.88,366818.0
2018-03-13,116.51,116.51,113.0,113.89,283086.0,0.0,1.0,116.51,116.51,113.0,113.89,283086.0
2018-03-12,115.42,116.64,114.56,116.07,342366.0,0.0,1.0,115.42,116.64,114.56,116.07,342366.0
2018-03-09,115.65,116.36,113.54,115.34,356365.0,0.0,1.0,115.65,116.36,113.54,115.34,356365.0
2018-03-08,110.64,118.44,109.975,115.36,625210.0,0.0,1.0,110.64,118.44,109.975,115.36,625210.0
2018-03-07,111.46,112.725,107.82,110.02,681258.0,0.0,1.0,111.46,112.725,107.82,110.02,681258.0
2018-03-06,111.0,112.87,108.65,112.77,473015.0,0.0,1.0,111.0,112.87,108.65,112.77,473015.0
2018-03-05,112.89,113.67,110.15,110.44,352715.0,0.0,1.0,112.89,113.67,110.15,110.44,352715.0
