Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,56.19,56.48,53.65,54.0,688917.0,0.0,1.0,56.19,56.48,53.65,54.0,688917.0
2018-03-26,53.91,56.19,53.78,56.16,729294.0,0.0,1.0,53.91,56.19,53.78,56.16,729294.0
2018-03-23,55.26,55.33,52.93,53.1,1050096.0,0.0,1.0,55.26,55.33,52.93,53.1,1050096.0
2018-03-22,56.85,56.85,55.13,55.25,999498.0,0.0,1.0,56.85,56.85,55.13,55.25,999498.0
2018-03-21,57.0,58.31,56.83,57.45,747125.0,0.0,1.0,57.0,58.31,56.83,57.45,747125.0
2018-03-20,57.0,57.46,56.65,56.99,379059.0,0.0,1.0,57.0,57.46,56.65,56.99,379059.0
2018-03-19,57.39,57.69,56.02,56.71,407880.0,0.0,1.0,57.39,57.69,56.02,56.71,407880.0
2018-03-16,57.41,58.05,57.3,57.49,1340010.0,0.0,1.0,57.41,58.05,57.3,57.49,1340010.0
2018-03-15,56.77,57.53,56.48,57.27,381912.0,0.0,1.0,56.77,57.53,56.48,57.27,381912.0
2018-03-14,58.12,58.12,56.555,56.77,378460.0,0.0,1.0,58.12,58.12,56.555,56.77,378460.0
2018-03-13,58.0,58.32,57.58,57.84,967541.0,0.0,1.0,58.0,58.32,57.58,57.84,967541.0
2018-03-12,57.29,57.93,56.84,57.77,588750.0,0.0,1.0,57.29,57.93,56.84,57.77,588750.0
2018-03-09,56.95,57.33,56.55,57.08,476184.0,0.0,1.0,56.95,57.33,56.55,57.08,476184.0
2018-03-08,56.99,57.07,55.76,56.35,286136.0,0.0,1.0,56.99,57.07,55.76,56.35,286136.0
2018-03-07,56.14,57.21,56.14,56.9,469157.0,0.0,1.0,56.14,57.21,56.14,56.9,469157.0
2018-03-06,56.02,56.75,55.2,56.65,597444.0,0.0,1.0,56.02,56.75,55.2,56.65,597444.0
2018-03-05,54.62,56.08,53.71,55.78,567287.0,0.0,1.0,54.62,56.08,53.71,55.78,567287.0
2018-03-02,54.25,55.11,53.29,54.98,1009501.0,0.0,1.0,54.25,55.11,53.29,54.98,1009501.0
2018-03-01,54.73,55.525,54.14,54.49,383184.0,0.0,1.0,54.73,55.525,54.14,54.49,383184.0
2018-02-28,55.81,56.1,54.56,54.58,532024.0,0.0,1.0,55.81,56.1,54.56,54.58,532024.0
2018-02-27,56.52,57.28,55.44,55.44,482944.0,0.0,1.0,56.52,57.28,55.44,55.44,482944.0
2018-02-26,56.48,56.62,55.74,56.58,287990.0,0.0,1.0,56.48,56.62,55.74,56.58,287990.0
2018-02-23,55.6,56.43,55.25,56.42,659972.0,0.0,1.0,55.6,56.43,55.25,56.42,659972.0
2018-02-22,57.97,58.06,55.42,55.54,1062343.0,0.0,1.0,57.97,58.06,55.42,55.54,1062343.0
2018-02-21,56.55,58.43,56.55,57.75,432181.0,0.0,1.0,56.55,58.43,56.55,57.75,432181.0
2018-02-20,56.97,57.47,56.5,56.61,483402.0,0.0,1.0,56.97,57.47,56.5,56.61,483402.0
2018-02-16,56.01,57.5,56.01,57.18,435198.0,0.0,1.0,56.01,57.5,56.01,57.18,435198.0
2018-02-15,55.94,56.44,55.71,56.39,618997.0,0.0,1.0,55.94,56.44,55.71,56.39,618997.0
2018-02-14,53.67,55.745,53.67,55.67,354640.0,0.0,1.0,53.67,55.745,53.67,55.67,354640.0
2018-02-13,53.31,54.14,53.01,53.84,264839.0,0.0,1.0,53.31,54.14,53.01,53.84,264839.0
2018-02-12,53.46,54.49,53.01,53.6,565624.0,0.0,1.0,53.46,54.49,53.01,53.6,565624.0
2018-02-09,53.12,53.885,51.69,53.39,704632.0,0.0,1.0,53.12,53.885,51.69,53.39,704632.0
2018-02-08,54.96,54.96,52.54,52.54,526785.0,0.0,1.0,54.96,54.96,52.54,52.54,526785.0
2018-02-07,54.29,55.68,54.29,54.75,584829.0,0.0,1.0,54.29,55.68,54.29,54.75,584829.0
2018-02-06,52.49,54.8,52.43,54.47,775074.0,0.0,1.0,52.49,54.8,52.43,54.47,775074.0
2018-02-05,55.92,57.02,54.03,54.13,452921.0,0.0,1.0,55.92,57.02,54.03,54.13,452921.0
2018-02-02,57.16,57.81,56.57,56.89,577463.0,0.0,1.0,57.16,57.81,56.57,56.89,577463.0
2018-02-01,56.33,57.26,55.67,57.11,589755.0,0.0,1.0,56.33,57.26,55.67,57.11,589755.0
2018-01-31,56.71,57.09,55.62,56.62,413917.0,0.0,1.0,56.71,57.09,55.62,56.62,413917.0
2018-01-30,56.73,57.57,56.32,56.51,440643.0,0.0,1.0,56.73,57.57,56.32,56.51,440643.0
2018-01-29,57.6,58.28,57.26,57.29,491465.0,0.0,1.0,57.6,58.28,57.26,57.29,491465.0
2018-01-26,58.32,58.38,57.52,57.66,383306.0,0.0,1.0,58.32,58.38,57.52,57.66,383306.0
2018-01-25,58.94,58.94,58.1,58.55,418519.0,0.0,1.0,58.94,58.94,58.1,58.55,418519.0
2018-01-24,59.7,59.77,58.54,58.64,477264.0,0.0,1.0,59.7,59.77,58.54,58.64,477264.0
2018-01-23,58.43,60.32,57.82,59.02,1057966.0,0.0,1.0,58.43,60.32,57.82,59.02,1057966.0
2018-01-22,58.84,59.11,58.05,58.57,1078524.0,0.0,1.0,58.84,59.11,58.05,58.57,1078524.0
