Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,51.9,52.14,50.97,51.4,1364326.0,0.0,1.0,51.9,52.14,50.97,51.4,1364326.0
2018-03-26,50.83,51.68,50.5,51.6,1175948.0,0.0,1.0,50.83,51.68,50.5,51.6,1175948.0
2018-03-23,50.82,51.34,50.1,50.11,1974863.0,0.0,1.0,50.82,51.34,50.1,50.11,1974863.0
2018-03-22,52.0,52.4,50.665,50.75,2593719.0,0.0,1.0,52.0,52.4,50.665,50.75,2593719.0
2018-03-21,53.27,53.96,52.905,53.0,1060061.0,0.0,1.0,53.27,53.96,52.905,53.0,1060061.0
2018-03-20,53.94,54.11,52.36,53.28,2023639.0,0.0,1.0,53.94,54.11,52.36,53.28,2023639.0
2018-03-19,54.88,55.52,53.37,53.9,2644534.0,0.0,1.0,54.88,55.52,53.37,53.9,2644534.0
2018-03-16,55.32,56.38,54.03,55.32,3226018.0,0.0,1.0,55.32,56.38,54.03,55.32,3226018.0
2018-03-15,55.18,56.365,53.64,55.03,6297282.0,0.0,1.0,55.18,56.365,53.64,55.03,6297282.0
2018-03-14,52.75,53.98,52.34,53.7,3869056.0,0.0,1.0,52.75,53.98,52.34,53.7,3869056.0
2018-03-13,51.89,53.35,51.6,52.74,3161476.0,0.0,1.0,51.89,53.35,51.6,52.74,3161476.0
2018-03-12,53.0,53.61,51.43,52.05,2928982.0,0.0,1.0,53.0,53.61,51.43,52.05,2928982.0
2018-03-09,52.47,53.52,52.47,52.86,1757404.0,0.0,1.0,52.47,53.52,52.47,52.86,1757404.0
2018-03-08,52.73,53.0,52.1,52.29,1859669.0,0.0,1.0,52.73,53.0,52.1,52.29,1859669.0
2018-03-07,52.74,53.1,52.19,52.48,1029859.0,0.0,1.0,52.74,53.1,52.19,52.48,1029859.0
2018-03-06,52.56,53.45,52.2,53.44,1680139.0,0.0,1.0,52.56,53.45,52.2,53.44,1680139.0
2018-03-05,52.78,53.04,51.93,52.56,1447940.0,0.0,1.0,52.78,53.04,51.93,52.56,1447940.0
2018-03-02,51.44,53.07,51.05,52.87,1143258.0,0.0,1.0,51.44,53.07,51.05,52.87,1143258.0
2018-03-01,51.92,52.68,50.87,51.96,1160234.0,0.0,1.0,51.92,52.68,50.87,51.96,1160234.0
2018-02-28,51.65,52.58,51.25,51.76,1114354.0,0.0,1.0,51.65,52.58,51.25,51.76,1114354.0
2018-02-27,53.31,53.69,51.165,51.28,2110869.0,0.0,1.0,53.31,53.69,51.165,51.28,2110869.0
2018-02-26,54.17,54.295,52.94,53.13,1502140.0,0.0,1.0,54.17,54.295,52.94,53.13,1502140.0
2018-02-23,53.62,54.39,53.38,54.17,1246938.0,0.0,1.0,53.62,54.39,53.38,54.17,1246938.0
2018-02-22,52.6,53.405,51.58,53.25,1414150.0,0.0,1.0,52.6,53.405,51.58,53.25,1414150.0
2018-02-21,52.76,53.655,52.6,52.61,1140573.0,0.0,1.0,52.76,53.655,52.6,52.61,1140573.0
2018-02-20,53.7,54.11,52.34,52.49,1662631.0,0.0,1.0,53.7,54.11,52.34,52.49,1662631.0
2018-02-16,53.91,54.81,53.53,54.11,1453262.0,0.0,1.0,53.91,54.81,53.53,54.11,1453262.0
