Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,818.54,822.09,815.0,815.0,42327.0,0.0,1.0,818.54,822.09,815.0,815.0,42327.0
2018-03-26,809.42,817.99,804.955,817.06,39089.0,0.0,1.0,809.42,817.99,804.955,817.06,39089.0
2018-03-23,810.6,813.87,800.25,802.33,23225.0,0.0,1.0,810.6,813.87,800.25,802.33,23225.0
2018-03-22,810.76,823.97,807.05,808.9,39621.0,0.0,1.0,810.76,823.97,807.05,808.9,39621.0
2018-03-21,811.72,818.875,802.2,813.78,31548.0,0.0,1.0,811.72,818.875,802.2,813.78,31548.0
2018-03-20,809.3,815.615,809.29,810.58,25210.0,0.0,1.0,809.3,815.615,809.29,810.58,25210.0
2018-03-19,814.57,817.2,808.52,810.17,55245.0,0.0,1.0,814.57,817.2,808.52,810.17,55245.0
2018-03-16,814.29,822.43,810.2,816.07,51787.0,0.0,1.0,814.29,822.43,810.2,816.07,51787.0
2018-03-15,816.1,820.65,811.9,814.12,43024.0,0.0,1.0,816.1,820.65,811.9,814.12,43024.0
2018-03-14,828.99,829.99,815.06,815.23,13384.0,0.0,1.0,828.99,829.99,815.06,815.23,13384.0
2018-03-13,832.42,838.995,821.7724,829.23,26142.0,0.0,1.0,832.42,838.995,821.7724,829.23,26142.0
2018-03-12,834.33,835.2,824.1001,831.18,16908.0,0.0,1.0,834.33,835.2,824.1001,831.18,16908.0
2018-03-09,828.66,834.69,825.0,834.69,14749.0,0.0,1.0,828.66,834.69,825.0,834.69,14749.0
2018-03-08,836.5,836.5,825.875,828.3,14860.0,0.0,1.0,836.5,836.5,825.875,828.3,14860.0
2018-03-07,818.33,835.37,818.33,834.5,28548.0,0.0,1.0,818.33,835.37,818.33,834.5,28548.0
2018-03-06,822.48,823.82,816.36,822.93,16003.0,0.0,1.0,822.48,823.82,816.36,822.93,16003.0
2018-03-05,808.24,824.87,808.24,822.82,20519.0,0.0,1.0,808.24,824.87,808.24,822.82,20519.0
2018-03-02,807.33,820.0,804.63,811.3,31471.0,0.0,1.0,807.33,820.0,804.63,811.3,31471.0
2018-03-01,805.62,813.6,798.0,810.32,25125.0,0.0,1.0,805.62,813.6,798.0,810.32,25125.0
2018-02-28,804.18,815.205,804.18,806.85,15438.0,0.0,1.0,804.18,815.205,804.18,806.85,15438.0
2018-02-27,809.45,813.9687,803.8,803.8,36830.0,0.0,1.0,809.45,813.9687,803.8,803.8,36830.0
2018-02-26,811.65,818.75,805.03,809.7,15422.0,0.0,1.0,811.65,818.75,805.03,809.7,15422.0
2018-02-23,809.55,815.0,801.95,809.52,25914.0,0.0,1.0,809.55,815.0,801.95,809.52,25914.0
2018-02-22,809.69,818.89,806.02,806.2,15659.0,0.0,1.0,809.69,818.89,806.02,806.2,15659.0
2018-02-21,808.55,821.49,808.55,810.11,15424.0,0.0,1.0,808.55,821.49,808.55,810.11,15424.0
2018-02-20,818.74,818.74,811.24,811.3,14048.0,0.0,1.0,818.74,818.74,811.24,811.3,14048.0
2018-02-16,812.75,824.69,806.0001,822.0,16134.0,0.0,1.0,812.75,824.69,806.0001,822.0,16134.0
2018-02-15,817.9,826.04,808.5,811.12,23158.0,0.0,1.0,817.9,826.04,808.5,811.12,23158.0
2018-02-14,803.35,818.895,802.0,813.44,19102.0,0.0,1.0,803.35,818.895,802.0,813.44,19102.0
2018-02-13,810.1,824.18,801.01,804.58,61329.0,0.0,1.0,810.1,824.18,801.01,804.58,61329.0
