Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,33.0,33.805,32.77,33.34,584206.0,0.0,1.0,33.0,33.805,32.77,33.34,584206.0
2018-03-26,32.76,33.09,32.65,33.02,839991.0,0.0,1.0,32.76,33.09,32.65,33.02,839991.0
2018-03-23,33.37,33.61,32.57,32.59,676164.0,0.0,1.0,33.37,33.61,32.57,32.59,676164.0
2018-03-22,33.63,33.99,33.26,33.26,513850.0,0.0,1.0,33.63,33.99,33.26,33.26,513850.0
2018-03-21,33.86,34.05,33.45,33.62,448653.0,0.0,1.0,33.86,34.05,33.45,33.62,448653.0
2018-03-20,33.68,33.94,33.62,33.84,452200.0,0.0,1.0,33.68,33.94,33.62,33.84,452200.0
2018-03-19,33.96,34.11,33.56,33.75,429639.0,0.0,1.0,33.96,34.11,33.56,33.75,429639.0
2018-03-16,33.47,34.03,33.47,33.91,1825705.0,0.0,1.0,33.47,34.03,33.47,33.91,1825705.0
2018-03-15,33.67,34.02,33.47,33.47,705872.0,0.0,1.0,33.67,34.02,33.47,33.47,705872.0
2018-03-14,33.69,34.04,33.44,33.71,513579.0,0.0,1.0,33.69,34.04,33.44,33.71,513579.0
2018-03-13,34.11,34.33,33.46,33.61,547542.0,0.0,1.0,34.11,34.33,33.46,33.61,547542.0
2018-03-12,33.59,34.3,33.58,34.08,784930.0,0.0,1.0,33.59,34.3,33.58,34.08,784930.0
2018-03-09,33.56,33.83,33.42,33.61,427420.0,0.0,1.0,33.56,33.83,33.42,33.61,427420.0
2018-03-08,33.41,33.64,33.17,33.52,703775.0,0.0,1.0,33.41,33.64,33.17,33.52,703775.0
2018-03-07,33.04,33.53,32.93,33.43,749000.0,0.0,1.0,33.04,33.53,32.93,33.43,749000.0
2018-03-06,33.53,33.53,32.92,33.2,763588.0,0.0,1.0,33.53,33.53,32.92,33.2,763588.0
2018-03-05,32.37,33.65,32.37,33.57,1355878.0,0.0,1.0,32.37,33.65,32.37,33.57,1355878.0
2018-03-02,33.57,33.8,32.37,32.5,1074876.0,0.0,1.0,33.57,33.8,32.37,32.5,1074876.0
2018-03-01,34.22,34.4,33.27,33.66,1177477.0,0.0,1.0,34.22,34.4,33.27,33.66,1177477.0
2018-02-28,33.96,34.95,33.53,34.19,809131.0,0.0,1.0,33.96,34.95,33.53,34.19,809131.0
2018-02-27,35.1,35.33,34.49,34.51,747690.0,0.0,1.0,35.1,35.33,34.49,34.51,747690.0
2018-02-26,34.75,35.18,34.72,35.0,709033.0,0.0,1.0,34.75,35.18,34.72,35.0,709033.0
2018-02-23,34.17,35.0,34.1382,35.0,396652.0,0.0,1.0,34.17,35.0,34.1382,35.0,396652.0
2018-02-22,34.13,34.43,33.87,34.05,391213.0,0.0,1.0,34.13,34.43,33.87,34.05,391213.0
2018-02-21,34.49,34.8506,34.09,34.09,558358.0,0.0,1.0,34.49,34.8506,34.09,34.09,558358.0
2018-02-20,34.68,34.869,34.41,34.51,482590.0,0.0,1.0,34.68,34.869,34.41,34.51,482590.0
2018-02-16,34.37,35.03,34.37,34.87,510396.0,0.0,1.0,34.37,35.03,34.37,34.87,510396.0
2018-02-15,34.08,34.42,33.89,34.41,473182.0,0.0,1.0,34.08,34.42,33.89,34.41,473182.0
2018-02-14,33.86,34.31,33.72,34.21,521144.0,0.0,1.0,33.86,34.31,33.72,34.21,521144.0
2018-02-13,33.79,34.2,33.47,34.09,378401.0,0.0,1.0,33.79,34.2,33.47,34.09,378401.0
2018-02-12,33.78,34.06,33.4,33.87,736250.0,0.0,1.0,33.78,34.06,33.4,33.87,736250.0
2018-02-09,33.32,33.97,33.001,33.7,1020327.0,0.0,1.0,33.32,33.97,33.001,33.7,1020327.0
2018-02-08,33.99,34.22,33.125,33.13,660613.0,0.0,1.0,33.99,34.22,33.125,33.13,660613.0
2018-02-07,34.03,34.61,33.87,34.06,697215.0,0.0,1.0,34.03,34.61,33.87,34.06,697215.0
2018-02-06,33.94,34.21,33.16,34.03,1234848.0,0.0,1.0,33.94,34.21,33.16,34.03,1234848.0
2018-02-05,35.18,35.54,34.26,34.29,973234.0,0.0,1.0,35.18,35.54,34.26,34.29,973234.0
2018-02-02,35.36,35.63,35.24,35.31,662884.0,0.0,1.0,35.36,35.63,35.24,35.31,662884.0
2018-02-01,36.21,36.29,35.48,35.53,723196.0,0.0,1.0,36.21,36.29,35.48,35.53,723196.0
2018-01-31,36.45,36.45,35.96,36.21,2015755.0,0.0,1.0,36.45,36.45,35.96,36.21,2015755.0
2018-01-30,36.19,36.68,36.16,36.34,781659.0,0.0,1.0,36.19,36.68,36.16,36.34,781659.0
2018-01-29,36.53,36.58,36.11,36.34,795315.0,0.0,1.0,36.53,36.58,36.11,36.34,795315.0
2018-01-26,36.48,36.7199,36.15,36.69,626488.0,0.0,1.0,36.48,36.7199,36.15,36.69,626488.0
2018-01-25,36.17,36.45,35.98,36.43,1039341.0,0.0,1.0,36.17,36.45,35.98,36.43,1039341.0
2018-01-24,35.99,36.26,35.865,36.11,785720.0,0.0,1.0,35.99,36.26,35.865,36.11,785720.0
2018-01-23,35.75,36.34,35.71,35.89,1131210.0,0.0,1.0,35.75,36.34,35.71,35.89,1131210.0
2018-01-22,35.9,36.13,35.66,35.69,572034.0,0.0,1.0,35.9,36.13,35.66,35.69,572034.0
2018-01-19,35.43,35.87,35.36,35.72,505564.0,0.0,1.0,35.43,35.87,35.36,35.72,505564.0
2018-01-18,35.51,35.68,35.19,35.39,640595.0,0.0,1.0,35.51,35.68,35.19,35.39,640595.0
2018-01-17,35.66,35.79,35.41,35.58,758088.0,0.0,1.0,35.66,35.79,35.41,35.58,758088.0
2018-01-16,35.0,36.0,34.69,35.38,1195111.0,0.0,1.0,35.0,36.0,34.69,35.38,1195111.0
2018-01-12,36.29,36.29,35.06,35.12,1311551.0,0.0,1.0,36.29,36.29,35.06,35.12,1311551.0
2018-01-11,36.66,36.72,36.285,36.37,632765.0,0.0,1.0,36.66,36.72,36.285,36.37,632765.0
2018-01-10,37.21,37.25,36.6,36.73,788042.0,0.0,1.0,37.21,37.25,36.6,36.73,788042.0
2018-01-09,37.8,37.82,37.2,37.38,608947.0,0.0,1.0,37.8,37.82,37.2,37.38,608947.0
2018-01-08,37.7,37.83,37.55,37.71,783894.0,0.0,1.0,37.7,37.83,37.55,37.71,783894.0
2018-01-05,37.94,38.11,37.35,37.71,986654.0,0.0,1.0,37.94,38.11,37.35,37.71,986654.0
2018-01-04,38.2,38.5,37.83,37.88,590311.0,0.0,1.0,38.2,38.5,37.83,37.88,590311.0
2018-01-03,38.68,38.85,38.09,38.26,661212.0,0.0,1.0,38.68,38.85,38.09,38.26,661212.0
2018-01-02,39.15,39.38,38.5,38.65,836464.0,0.0,1.0,39.15,39.38,38.5,38.65,836464.0
2017-12-29,39.44,39.55,39.18,39.23,495608.0,0.0,1.0,39.44,39.55,39.18,39.23,495608.0
2017-12-28,39.24,39.36,38.9,39.33,425353.0,0.0,1.0,39.24,39.36,38.9,39.33,425353.0
2017-12-27,38.83,39.52,38.83,39.08,615232.0,0.0,1.0,38.83,39.52,38.83,39.08,615232.0
2017-12-26,38.71,39.37,38.71,38.8,604501.0,0.0,1.0,38.71,39.37,38.71,38.8,604501.0
2017-12-22,38.39,38.56,38.21,38.52,460801.0,0.0,1.0,38.39,38.56,38.21,38.52,460801.0
2017-12-21,37.78,38.5075,37.69,38.33,801787.0,0.0,1.0,37.78,38.5075,37.69,38.33,801787.0
2017-12-20,37.62,38.07,37.53,37.76,465656.0,0.0,1.0,37.62,38.07,37.53,37.76,465656.0
2017-12-19,38.03,38.11,37.54,37.59,513897.0,0.0,1.0,38.03,38.11,37.54,37.59,513897.0
2017-12-18,38.3,38.44,37.85,38.03,453603.0,0.0,1.0,38.3,38.44,37.85,38.03,453603.0
2017-12-15,37.805,38.42,37.66,38.14,1378329.0,0.0,1.0,37.805,38.42,37.66,38.14,1378329.0
2017-12-14,37.34,37.9,37.26,37.55,580610.0,0.0,1.0,37.34,37.9,37.26,37.55,580610.0
2017-12-13,37.35,37.81,37.221,37.59,557057.0,0.0,1.0,37.35,37.81,37.221,37.59,557057.0
2017-12-12,38.04,38.04,37.27,37.27,634987.0,0.0,1.0,38.04,38.04,37.27,37.27,634987.0
2017-12-11,38.01,38.18,37.595,38.13,767216.0,0.0,1.0,38.01,38.18,37.595,38.13,767216.0
2017-12-08,37.91,38.19,37.6,38.18,674252.0,0.0,1.0,37.91,38.19,37.6,38.18,674252.0
2017-12-07,37.61,37.93,37.52,37.83,790230.0,0.0,1.0,37.61,37.93,37.52,37.83,790230.0
2017-12-06,37.44,37.7,37.43,37.63,475181.0,0.0,1.0,37.44,37.7,37.43,37.63,475181.0
2017-12-05,37.65,37.65,37.29,37.4,685711.0,0.0,1.0,37.65,37.65,37.29,37.4,685711.0
2017-12-04,37.84,38.18,37.44,37.67,1079691.0,0.0,1.0,37.84,38.18,37.44,37.67,1079691.0
2017-12-01,38.07,38.2,37.35,37.75,575828.0,0.0,1.0,38.07,38.2,37.35,37.75,575828.0
2017-11-30,37.42,38.04,37.3301,37.99,523156.0,0.0,1.0,37.42,38.04,37.3301,37.99,523156.0
2017-11-29,36.73,37.54,36.73,37.44,486693.0,0.0,1.0,36.73,37.54,36.73,37.44,486693.0
2017-11-28,36.67,36.82,36.605,36.79,318650.0,0.0,1.0,36.67,36.82,36.605,36.79,318650.0
2017-11-27,36.6,36.78,36.53,36.64,369169.0,0.0,1.0,36.6,36.78,36.53,36.64,369169.0
2017-11-24,36.57,36.8,36.49,36.57,153820.0,0.0,1.0,36.57,36.8,36.49,36.57,153820.0
2017-11-22,36.44,36.59,36.24,36.54,327464.0,0.0,1.0,36.44,36.59,36.24,36.54,327464.0
2017-11-21,36.29,36.47,36.27,36.45,323487.0,0.0,1.0,36.29,36.47,36.27,36.45,323487.0
2017-11-20,36.45,36.48,36.08,36.23,468786.0,0.0,1.0,36.45,36.48,36.08,36.23,468786.0
2017-11-17,36.43,36.58,36.09,36.37,398662.0,0.0,1.0,36.43,36.58,36.09,36.37,398662.0
2017-11-16,36.55,36.71,36.31,36.61,406434.0,0.0,1.0,36.55,36.71,36.31,36.61,406434.0
2017-11-15,37.22,37.3,36.7,36.72,540434.0,0.0,1.0,37.22,37.3,36.7,36.72,540434.0
