Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,34.5,35.245,34.19,34.9,5091638.0,0.0,1.0,34.5,35.245,34.19,34.9,5091638.0
2018-03-26,34.34,34.59,33.87,34.53,3717543.0,0.0,1.0,34.34,34.59,33.87,34.53,3717543.0
2018-03-23,35.35,35.45,33.97,34.05,5784616.0,0.0,1.0,35.35,35.45,33.97,34.05,5784616.0
2018-03-22,35.06,35.73,35.03,35.2,3328124.0,0.0,1.0,35.06,35.73,35.03,35.2,3328124.0
2018-03-21,35.55,35.915,35.26,35.38,3309628.0,0.0,1.0,35.55,35.915,35.26,35.38,3309628.0
2018-03-20,35.53,35.83,35.09,35.39,4014273.0,0.0,1.0,35.53,35.83,35.09,35.39,4014273.0
2018-03-19,35.83,35.83,35.21,35.53,2699028.0,0.0,1.0,35.83,35.83,35.21,35.53,2699028.0
2018-03-16,35.6,35.98,35.46,35.82,5115190.0,0.0,1.0,35.6,35.98,35.46,35.82,5115190.0
2018-03-15,35.35,35.665,35.21,35.62,3984777.0,0.0,1.0,35.35,35.665,35.21,35.62,3984777.0
2018-03-14,35.54,35.6,35.17,35.24,2784224.0,0.0,1.0,35.54,35.6,35.17,35.24,2784224.0
2018-03-13,35.27,35.56,35.23,35.55,3799641.0,0.0,1.0,35.27,35.56,35.23,35.55,3799641.0
2018-03-12,34.8,35.24,34.76,35.12,3444310.0,0.0,1.0,34.8,35.24,34.76,35.12,3444310.0
2018-03-09,34.68,34.86,34.45,34.86,3098984.0,0.0,1.0,34.68,34.86,34.45,34.86,3098984.0
2018-03-08,34.35,34.48,34.29,34.47,2539991.0,0.0,1.0,34.35,34.48,34.29,34.47,2539991.0
2018-03-07,33.95,34.36,33.95,34.28,4238398.0,0.0,1.0,33.95,34.36,33.95,34.28,4238398.0
2018-03-06,34.08,34.475,34.05,34.23,5804064.0,0.0,1.0,34.08,34.475,34.05,34.23,5804064.0
2018-03-05,34.41,34.585,34.0,34.01,4984713.0,0.0,1.0,34.41,34.585,34.0,34.01,4984713.0
2018-03-02,34.11,34.68,34.0,34.65,3106695.0,0.0,1.0,34.11,34.68,34.0,34.65,3106695.0
2018-03-01,34.84,34.91,34.13,34.36,4242863.0,0.32,1.0,34.84,34.91,34.13,34.36,4242863.0
2018-02-28,35.39,35.735,35.03,35.03,4553000.0,0.0,1.0,35.39,35.735,35.03,35.03,4553000.0
2018-02-27,35.65,35.85,35.08,35.26,4871742.0,0.0,1.0,35.65,35.85,35.08,35.26,4871742.0
2018-02-26,35.4,35.705,35.21,35.66,3869373.0,0.0,1.0,35.4,35.705,35.21,35.66,3869373.0
2018-02-23,35.0,35.41,35.0,35.4,2549148.0,0.0,1.0,35.0,35.41,35.0,35.4,2549148.0
2018-02-22,34.97,35.305,34.85,34.86,4251393.0,0.0,1.0,34.97,35.305,34.85,34.86,4251393.0
