Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,140.63,140.63,134.82,135.46,381524.0,0.0,1.0,140.63,140.63,134.82,135.46,381524.0
2018-03-26,140.22,142.26,138.05,140.4,512799.0,0.0,1.0,140.22,142.26,138.05,140.4,512799.0
2018-03-23,138.69,140.67,136.22,136.35,307711.0,0.0,1.0,138.69,140.67,136.22,136.35,307711.0
2018-03-22,141.96,142.6,138.12,138.29,393573.0,0.0,1.0,141.96,142.6,138.12,138.29,393573.0
2018-03-21,142.69,144.6467,142.645,143.46,286585.0,0.0,1.0,142.69,144.6467,142.645,143.46,286585.0
2018-03-20,139.9,142.56,139.88,142.34,269838.0,0.0,1.0,139.9,142.56,139.88,142.34,269838.0
2018-03-19,142.8,142.9476,139.25,139.89,350069.0,0.0,1.0,142.8,142.9476,139.25,139.89,350069.0
2018-03-16,144.28,145.1,143.34,143.34,491994.0,0.0,1.0,144.28,145.1,143.34,143.34,491994.0
2018-03-15,147.32,147.99,144.12,144.4,331736.0,0.0,1.0,147.32,147.99,144.12,144.4,331736.0
2018-03-14,144.78,147.89,144.37,146.79,375007.0,0.0,1.0,144.78,147.89,144.37,146.79,375007.0
2018-03-13,145.43,148.71,143.4001,144.2,803628.0,0.0,1.0,145.43,148.71,143.4001,144.2,803628.0
2018-03-12,142.75,145.18,142.75,144.75,363232.0,0.0,1.0,142.75,145.18,142.75,144.75,363232.0
2018-03-09,141.53,143.92,139.95,141.18,611370.0,0.0,1.0,141.53,143.92,139.95,141.18,611370.0
2018-03-08,144.82,144.98,141.27,141.4,253266.0,0.0,1.0,144.82,144.98,141.27,141.4,253266.0
2018-03-07,141.86,145.55,141.02,143.98,381002.0,0.0,1.0,141.86,145.55,141.02,143.98,381002.0
2018-03-06,141.56,143.41,141.4485,143.22,384844.0,0.0,1.0,141.56,143.41,141.4485,143.22,384844.0
2018-03-05,135.27,141.41,132.6483,141.02,546270.0,0.0,1.0,135.27,141.41,132.6483,141.02,546270.0
2018-03-02,139.3,139.995,135.16,135.45,398298.0,0.0,1.0,139.3,139.995,135.16,135.45,398298.0
2018-03-01,138.66,141.83,136.23,140.68,375676.0,0.0,1.0,138.66,141.83,136.23,140.68,375676.0
2018-02-28,140.4,141.76,137.8,138.14,310067.0,0.0,1.0,140.4,141.76,137.8,138.14,310067.0
2018-02-27,142.19,143.52,140.32,140.37,513564.0,0.0,1.0,142.19,143.52,140.32,140.37,513564.0
2018-02-26,142.24,144.53,140.25,140.99,770541.0,0.0,1.0,142.24,144.53,140.25,140.99,770541.0
2018-02-23,137.0,142.65,136.82,141.9,797511.0,0.0,1.0,137.0,142.65,136.82,141.9,797511.0
2018-02-22,129.0,137.5623,127.51,135.24,1418585.0,0.0,1.0,129.0,137.5623,127.51,135.24,1418585.0
2018-02-21,120.32,122.07,120.085,120.35,613909.0,0.0,1.0,120.32,122.07,120.085,120.35,613909.0
2018-02-20,119.91,121.51,119.35,120.07,532804.0,0.0,1.0,119.91,121.51,119.35,120.07,532804.0
2018-02-16,120.14,121.01,119.65,120.25,206827.0,0.0,1.0,120.14,121.01,119.65,120.25,206827.0
2018-02-15,119.66,120.62,118.25,120.54,286484.0,0.0,1.0,119.66,120.62,118.25,120.54,286484.0
2018-02-14,116.27,118.93,116.0,118.8,299445.0,0.0,1.0,116.27,118.93,116.0,118.8,299445.0
2018-02-13,115.7,116.94,115.38,116.71,193652.0,0.0,1.0,115.7,116.94,115.38,116.71,193652.0
2018-02-12,115.36,116.99,114.57,116.01,253426.0,0.0,1.0,115.36,116.99,114.57,116.01,253426.0
2018-02-09,114.8,115.66,110.4785,114.95,381889.0,0.0,1.0,114.8,115.66,110.4785,114.95,381889.0
2018-02-08,116.9,117.93,113.52,113.56,231080.0,0.0,1.0,116.9,117.93,113.52,113.56,231080.0
2018-02-07,116.18,117.1299,115.33,116.43,225330.0,0.0,1.0,116.18,117.1299,115.33,116.43,225330.0
2018-02-06,115.52,117.46,113.331,116.51,275532.0,0.0,1.0,115.52,117.46,113.331,116.51,275532.0
2018-02-05,119.28,121.84,117.23,117.315,293513.0,0.0,1.0,119.28,121.84,117.23,117.315,293513.0
2018-02-02,121.93,122.78,120.14,120.73,286270.0,0.0,1.0,121.93,122.78,120.14,120.73,286270.0
2018-02-01,122.55,123.25,120.75,121.525,259963.0,0.0,1.0,122.55,123.25,120.75,121.525,259963.0
2018-01-31,125.55,125.9528,122.83,123.16,214267.0,0.0,1.0,125.55,125.9528,122.83,123.16,214267.0
2018-01-30,124.2,124.6197,122.94200000000001,124.13,181304.0,0.0,1.0,124.2,124.6197,122.94200000000001,124.13,181304.0
2018-01-29,123.77,125.34,122.1,124.61,233593.0,0.0,1.0,123.77,125.34,122.1,124.61,233593.0
2018-01-26,123.88,124.581,122.7901,123.48,391002.0,0.0,1.0,123.88,124.581,122.7901,123.48,391002.0
2018-01-25,123.85,124.74,122.28,123.5,223261.0,0.0,1.0,123.85,124.74,122.28,123.5,223261.0
